# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.105
metadata : {}


# id : NWRW1800000045.105.1.1
[에너지 강국] 삼성전자 전 제품 친환경 기준 만족…협력사 제품도 철저히 사전 관리

[에너지	[/SS+에너지/NNG
강국]	강국/NNG+]/SS
삼성전자	삼성전자/NNP
전	전/MMN
제품	제품/NNG
친환경	친/XPN+환경/NNG
기준	기준/NNG
만족…협력사	만족/NNG+…/SE+협력사/NNG
제품도	제품/NNG+도/JX
철저히	철저히/MAG
사전	사전/NNG
관리	관리/NNG


# id : NWRW1800000045.105.2.1
1992년 삼성 환경선언으로 시작된 삼성전자의 환경보호활동은 1996년 녹색경영선언을 통해 강화됐다.

1992년	1992/SN+년/NNB
삼성	삼성/NNP
환경선언으로	환경/NNG+선언/NNG+으로/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
삼성전자의	삼성전자/NNP+의/JKG
환경보호활동은	환경/NNG+보호/NNG+활동/NNG+은/JX
1996년	1996/SN+년/NNB
녹색경영선언을	녹색/NNG+경영/NNG+선언/NNG+을/JKO
통해	통하/VV+아/EC
강화됐다.	강화/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.105.2.2
2009년에는 녹색경영 중장기 로드맵인 ‘에코 매니지먼트(Eco-Management 2013)’을 발표하고 회사의 경영이념과 경영원칙에 근거한 녹색경영 가치체계를 새롭게 정립했다.

2009년에는	2009/SN+년/NNB+에/JKB+는/JX
녹색경영	녹색/NNG+경영/NNG
중장기	중장기/NNG
로드맵인	로드맵/NNG+이/VCP+ㄴ/ETM
‘에코	‘/SS+에코/NNG
매니지먼트(Eco-Management	매니지먼트/NNG+(/SS+Eco/SL+-/SO+Management/SL
2013)’을	2013/SN+)/SS+’/SS+을/JKO
발표하고	발표/NNG+하/XSV+고/EC
회사의	회사/NNG+의/JKG
경영이념과	경영/NNG+이념/NNG+과/JC
경영원칙에	경영/NNG+원칙/NNG+에/JKB
근거한	근거/NNG+하/XSV+ㄴ/ETM
가치체계를	가치/NNG+체계/NNG+를/JKO
새롭게	새롭/VA+게/EC
정립했다.	정립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.105.3.1
삼성전자는 사람과 자연을 존중하는 기업 활동을 통해 인류의 삶과 지구 환경 보전에 이바지하기 위해 “고객에게 새로운 친환경 경험을 제공하고 지속가능한 미래를 선도한다”는 비전과 ‘Planet First’라는 슬로건 아래 녹색경영을 시행하고 있다.

삼성전자는	삼성전자/NNP+는/JX
사람과	사람/NNG+과/JC
자연을	자연/NNG+을/JKO
존중하는	존중/NNG+하/XSV+는/ETM
기업	기업/NNG
활동을	활동/NNG+을/JKO
통해	통하/VV+아/EC
인류의	인류/NNG+의/JKG
삶과	삶/NNG+과/JC
지구	지구/NNG
환경	환경/NNG
보전에	보전/NNG+에/JKB
이바지하기	이바지/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
“고객에게	“/SS+고객/NNG+에게/JKB
새로운	새롭/VA+ㄴ/ETM
친환경	친/XPN+환경/NNG
경험을	경험/NNG+을/JKO
제공하고	제공/NNG+하/XSV+고/EC
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
미래를	미래/NNG+를/JKO
선도한다”는	선도/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
비전과	비전/NNG+과/JC
‘Planet	‘/SS+Planet/SL
First’라는	First/SL+’/SS+이/VCP+라는/ETM
슬로건	슬로건/NNG
아래	아래/NNG
녹색경영을	녹색/NNG+경영/NNG+을/JKO
시행하고	시행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.105.4.1
이를 통해 2013년 말 삼성전자가 개발한 전 제품이 자체 친환경 제품 기준인 Good Eco 등급 이상을 만족시켰으며, 2008년 대비 사업장 온실가스 배출 원단위를 53% 감축했다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
2013년	2013/SN+년/NNB
말	말/NNB
삼성전자가	삼성전자/NNP+가/JKS
개발한	개발/NNG+하/XSV+ㄴ/ETM
전	전/MMN
제품이	제품/NNG+이/JKS
자체	자체/NNG
친환경	친/XPN+환경/NNG
제품	제품/NNG
기준인	기준/NNG+이/VCP+ㄴ/ETM
Good	Good/SL
Eco	Eco/SL
등급	등급/NNG
이상을	이상/NNG+을/JKO
만족시켰으며,	만족/NNG+시키/XSV+었/EP+으며/EC+,/SP
2008년	2008/SN+년/NNB
대비	대비/NNG
사업장	사업장/NNG
온실가스	온실가스/NNG
배출	배출/NNG
원단위를	원단위/NNG+를/JKO
53%	53/SN+%/SW
감축했다.	감축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.105.4.2
1차 녹색경영 중기목표를 성공적으로 달성함에 따라 2014년에는 2차 중장기 전략인 ‘에코 매니지먼트 2020’을 수립했다.

1차	1/SN+차/NNB
녹색경영	녹색/NNG+경영/NNG
중기목표를	중기/NNG+목표/NNG+를/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
달성함에	달성/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
2014년에는	2014/SN+년/NNB+에/JKB+는/JX
2차	2/SN+차/NNB
중장기	중장기/NNG
전략인	전략/NNG+이/VCP+ㄴ/ETM
‘에코	‘/SS+에코/NNG
매니지먼트	매니지먼트/NNG
2020’을	2020/SN+’/SS+을/JKO
수립했다.	수립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.105.4.3
2020년까지 2008년 대비 제품의 에너지 효율을 개선해 사용단계 온실가스 누적 감축량 2억5000만 t, 온실가스 원단위 70% 감축을 달성할 계획이다.

2020년까지	2020/SN+년/NNB+까지/JX
2008년	2008/SN+년/NNB
대비	대비/NNG
제품의	제품/NNG+의/JKG
에너지	에너지/NNG
효율을	효율/NNG+을/JKO
개선해	개선/NNG+하/XSV+아/EC
사용단계	사용/NNG+단계/NNG
온실가스	온실가스/NNG
누적	누적/NNG
감축량	감축량/NNG
2억5000만	2/SN+억/NR+5000/SN+만/NR
t,	t/SW+,/SP
원단위	원단위/NNG
70%	70/SN+%/SW
감축을	감축/NNG+을/JKO
달성할	달성/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.105.5.1
삼성전자는 글로벌 녹색경영시스템 운영을 통해 온실가스 감축, 제품환경 규제 대응, 환경안전사고 예방 목표 및 성과 관리 등 녹색경영 관련 정보를 통합적으로 관리하고 있다.

삼성전자는	삼성전자/NNP+는/JX
글로벌	글로벌/NNG
녹색경영시스템	녹색/NNG+경영/NNG+시스템/NNG
운영을	운영/NNG+을/JKO
통해	통하/VV+아/EC
온실가스	온실가스/NNG
감축,	감축/NNG+,/SP
제품환경	제품/NNG+환경/NNG
규제	규제/NNG
대응,	대응/NNG+,/SP
환경안전사고	환경/NNG+안전사고/NNG
예방	예방/NNG
목표	목표/NNG
및	및/MAG
성과	성과/NNG
관리	관리/NNG
등	등/NNB
녹색경영	녹색/NNG+경영/NNG
관련	관련/NNG
정보를	정보/NNG+를/JKO
통합적으로	통합/NNG+적/XSN+으로/JKB
관리하고	관리/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.105.5.2
협력사도 환경유해물질통합관리시스템을 통해 구매 단계에서 협력사의 환경경영시스템(ISO 14001) 인증 여부와 부품의 유해물질 함유 여부를 파악해 제품 내 유해물질이 포함되지 않도록 철저한 사전 관리를 하고 있다.

협력사도	협력사/NNG+도/JX
환경유해물질통합관리시스템을	환경/NNG+유해/NNG+물질/NNG+통합/NNG+관리/NNG+시스템/NNG+을/JKO
통해	통하/VV+아/EC
구매	구매/NNG
단계에서	단계/NNG+에서/JKB
협력사의	협력사/NNG+의/JKG
환경경영시스템(ISO	환경/NNG+경영/NNG+시스템/NNG+(/SS+ISO/SL
14001)	14001/SN+)/SS
인증	인증/NNG
여부와	여부/NNG+와/JC
부품의	부품/NNG+의/JKG
유해물질	유해/NNG+물질/NNG
함유	함유/NNG
여부를	여부/NNG+를/JKO
파악해	파악/NNG+하/XSV+아/EC
제품	제품/NNG
내	내/NNB
유해물질이	유해/NNG+물질/NNG+이/JKS
포함되지	포함/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
철저한	철저/NNG+하/XSA+ㄴ/ETM
사전	사전/NNG
관리를	관리/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


