# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.228
metadata : {}


# id : NWRW1800000040.228.1.1
판교 백현마을 임대주택 일반분양 논란

판교	판교/NNP
백현마을	백현마을/NNP
임대주택	임대/NNG+주택/NNG
일반분양	일반/NNG+분양/NNG
논란	논란/NNG


# id : NWRW1800000040.228.2.1
LH공사, 1869가구 입주자 모집

LH공사,	LH공사/NNP+,/SP
1869가구	1869/SN+가구/NNG
입주자	입주자/NNG
모집	모집/NNG


# id : NWRW1800000040.228.3.1
성남시 “재개발 주민 이주용” 반발

성남시	성남시/NNP
“재개발	“/SS+재/XPN+개발/NNG
주민	주민/NNG
이주용”	이주/NNG+용/XSN+”/SS
반발	반발/NNG


# id : NWRW1800000040.228.4.1
재개발구역 주민 이주용으로 지어졌으나 몇년째 빈집으로 방치돼 있던 판교새도시 백현마을 임대주택의 절반이 무주택 주민에게 공급된다.

재개발구역	재/XPN+개발/NNG+구역/NNG
주민	주민/NNG
이주용으로	이주/NNG+용/XSN+으로/JKB
지어졌으나	짓/VV+어/EC+지/VX+었/EP+으나/EC
몇년째	몇/NR+년/NNB+째/XSN
빈집으로	빈집/NNG+으로/JKB
방치돼	방치/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
판교새도시	판교/NNP+새/MMA+도시/NNG
백현마을	백현마을/NNP
임대주택의	임대/NNG+주택/NNG+의/JKG
절반이	절반/NNG+이/JKS
무주택	무/XPN+주택/NNG
주민에게	주민/NNG+에게/JKB
공급된다.	공급/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.228.4.2
그러나 성남시가 강하게 반발하고 나서 파장이 예상된다.

그러나	그러나/MAJ
성남시가	성남시/NNP+가/JKS
강하게	강하/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
나서	나서/VV+어/EC
파장이	파장/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.228.5.1
한국토지주택공사(LH)는 경기도 성남시 판교새도시 백현마을 3·4단지 아파트의 일부(A24-1블록) 1869가구를 일반에 임대 공급한다며 21일 입주자 모집 공고를 냈다.

한국토지주택공사(LH)는	한국토지주택공사/NNP+(/SS+LH/SL+)/SS+는/JX
경기도	경기도/NNP
성남시	성남시/NNP
판교새도시	판교/NNP+새/MMA+도시/NNG
백현마을	백현마을/NNP
3·4단지	3/SN+·/SP+4/SN+단지/NNG
아파트의	아파트/NNG+의/JKG
일부(A24-1블록)	일부/NNG+(/SS+A/SL+24/SN+-/SO+1/SN+블록/NNG+)/SS
1869가구를	1869/SN+가구/NNG+를/JKO
일반에	일반/NNG+에/JKB
임대	임대/NNG
공급한다며	공급/NNG+하/XSV+ㄴ다며/EC
21일	21/SN+일/NNB
입주자	입주자/NNG
모집	모집/NNG
공고를	공고/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.228.5.2
