# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.140
metadata : {}


# id : NWRW1800000046.140.1.1
脫北 국군포로 아들, 숨진 채 발견

脫北	脫北/SH
국군포로	국군/NNG+포로/NNG
아들,	아들/NNG+,/SP
숨진	숨지/VV+ㄴ/ETM
채	채/NNB
발견	발견/NNG


# id : NWRW1800000046.140.2.1
2세는 보상금 등 지원안돼… '억울하고 분통하다' 유서

2세는	2/SN+세/NNB+는/JX
보상금	보상금/NNG
등	등/NNB
지원안돼…	지원/NNG+안/MAG+되/XSV+어/EF+…/SE
'억울하고	'/SS+억울/NNG+하/XSA+고/EC
분통하다'	분통/NNG+하/XSA+다/EF+'/SS
유서	유서/NNG


# id : NWRW1800000046.140.3.1
27일 오전 11시쯤 서울 용산구 국방부 앞에 6·25 국군포로가족회 회원 27명이 모였다.

27일	27/SN+일/NNB
오전	오전/NNG
11시쯤	11/SN+시/NNB+쯤/XSN
서울	서울/NNP
용산구	용산구/NNP
국방부	국방부/NNG
앞에	앞/NNG+에/JKB
6·25	6/SN+·/SP+25/SN
국군포로가족회	국군/NNG+포로/NNG+가족회/NNG
회원	회원/NNG
27명이	27/SN+명/NNB+이/JKS
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.140.3.2
6·25전쟁 당시 북한에 억류된 국군 포로의 자손들로, 북한에서 태어나 살다 탈출한 이들은 "주락철씨의 죽음을 애도하기 위해 노제를 지내러 왔다"고 했다.

6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
당시	당시/NNG
북한에	북한/NNP+에/JKB
억류된	억류/NNG+되/XSV+ㄴ/ETM
국군	국군/NNG
포로의	포로/NNG+의/JKG
자손들로,	자손/NNG+들/XSN+로/JKB+,/SP
북한에서	북한/NNP+에서/JKB
태어나	태어나/VV+아/EC
살다	살/VV+다/EC
탈출한	탈출/NNG+하/XSV+ㄴ/ETM
이들은	이/NP+들/XSN+은/JX
"주락철씨의	"/SS+주락철/NNP+씨/NNB+의/JKG
죽음을	죽음/NNG+을/JKO
애도하기	애도/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
노제를	노제/NNG+를/JKO
지내러	지내/VV+러/EC
왔다"고	오/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.140.4.1
이 단체 회원 주씨는 지난 24일 서울 중구에 있는 가족회 사무실에서 숨진 채 발견됐다.

이	이/MMD
단체	단체/NNG
회원	회원/NNG
주씨는	주/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
서울	서울/NNP
중구에	중구/NNP+에/JKB
있는	있/VA+는/ETM
가족회	가족회/NNG
사무실에서	사무실/NNG+에서/JKB
숨진	숨지/VV+ㄴ/ETM
채	채/NNB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.140.4.2
사인(死因)은 신경안정제 과다 복용이었다.

사인(死因)은	사인/NNG+(/SS+死因/SH+)/SS+은/JX
