# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.89
metadata : {}


# id : NWRW1800000038.89.1.1
두통에 눈 뻐근하다면 녹내장 의심을

두통에	두통/NNG+에/JKB
눈	눈/NNG
뻐근하다면	뻐근하/VA+다면/EC
녹내장	녹내장/NNG
의심을	의심/NNG+을/JKO


# id : NWRW1800000038.89.2.1
안압 갑자기 높아져 통증… 초기에 레이저 치료해야

안압	안압/NNG
갑자기	갑자기/MAG
높아져	높아지/VV+어/EC
통증…	통증/NNG+…/SE
초기에	초기/NNG+에/JKB
레이저	레이저/NNG
치료해야	치료/NNG+하/XSV+아야/EC


# id : NWRW1800000038.89.3.1
두통과 함께 어두운 곳에서 눈이 뻐근한 증상이 있다면 녹내장 검사를 받는 게 좋겠다.

두통과	두통/NNG+과/JKB
함께	함께/MAG
어두운	어둡/VA+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
눈이	눈/NNG+이/JKS
뻐근한	뻐근하/VA+ㄴ/ETM
증상이	증상/NNG+이/JKS
있다면	있/VA+다면/EC
녹내장	녹내장/NNG
검사를	검사/NNG+를/JKO
받는	받/VV+는/ETM
게	거/NNB+이/JKS
좋겠다.	좋/VA+겠/EP+다/EF+./SF


# id : NWRW1800000038.89.3.2
'급성 폐쇄각 녹내장'의 전조증상일 수 있기 때문이다.

'급성	'/SS+급성/NNG
폐쇄각	폐쇄각/NNG
녹내장'의	녹내장/NNG+'/SS+의/JKG
전조증상일	전조/NNG+증상/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.89.4.1
급성 폐쇄각 녹내장은 전체 녹내장의 10% 정도를 차지한다.

급성	급성/NNG
폐쇄각	폐쇄각/NNG
녹내장은	녹내장/NNG+은/JX
전체	전체/NNG
녹내장의	녹내장/NNG+의/JKG
10%	10/SN+%/SW
정도를	정도/NNG+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.89.4.2
눈에 영양분을 공급하고 노폐물을 씻어내는 '방수'라는 액체가 안구 밖으로 빠져나가지 못해 안압이 높아지는 '간헐성 폐쇄각 녹내장'을 방치했을 때 생기는 병이다.

눈에	눈/NNG+에/JKB
영양분을	영양분/NNG+을/JKO
공급하고	공급/NNG+하/XSV+고/EC
노폐물을	노폐물/NNG+을/JKO
씻어내는	씻/VV+어/EC+내/VX+는/ETM
'방수'라는	'/SS+방수/NNG+'/SS+이/VCP+라는/ETM
액체가	액체/NNG+가/JKS
안구	안구/NNG
밖으로	밖/NNG+으로/JKB
빠져나가지	빠져나가/VV+지/EC
못해	못하/VX+아/EC
안압이	안압/NNG+이/JKS
높아지는	높아지/VV+는/ETM
'간헐성	'/SS+간헐/NNG+성/XSN
폐쇄각	폐쇄각/NNG
녹내장'을	녹내장/NNG+'/SS+을/JKO
방치했을	방치/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
생기는	생기/VV+는/ETM
병이다.	병/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.89.4.3
이안안과 임찬영 원장은 "안구의 압력이 갑자기 높아지기 때문에 두통이나 눈이 뻐근한 증상을 유발한다"며 "이런 증상은 수 분에서 수 시간 동안 지속되다가 사라진다"고 말했다.

이안안과	이안안과/NNP
임찬영	임찬영/NNP
원장은	원장/NNG+은/JX
"안구의	"/SS+안구/NNG+의/JKG
압력이	압력/NNG+이/JKS
갑자기	갑자기/MAG
높아지기	높아지/VV+기/ETN
때문에	때문/NNB+에/JKB
두통이나	두통/NNG+이나/JC
눈이	눈/NNG+이/JKS
뻐근한	뻐근하/VA+ㄴ/ETM
증상을	증상/NNG+을/JKO
유발한다"며	유발/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"이런	"/SS+이런/MMD
증상은	증상/NNG+은/JX
수	수/MMN
분에서	분/NNB+에서/JKB
시간	시간/NNB
동안	동안/NNG
지속되다가	지속/NNG+되/XSV+다가/EC
