# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.46
metadata : {}


# id : NWRW1800000038.46.1.1
"日개헌, 동남아 평화에 도움" 아베의 여론몰이

"日개헌,	"/SS+日/SH+개헌/NNG+,/SP
동남아	동남아/NNP
평화에	평화/NNG+에/JKB
도움"	도움/NNG+"/SS
아베의	아베/NNP+의/JKG
여론몰이	여론/NNG+몰이/NNG


# id : NWRW1800000038.46.2.1
필리핀·싱가포르·말레이시아 순방… 개헌 정당화 시도

필리핀·싱가포르·말레이시아	필리핀/NNP+·/SP+싱가포르/NNP+·/SP+말레이시아/NNP
순방…	순방/NNG+…/SE
개헌	개헌/NNG
정당화	정당화/NNG
시도	시도/NNG


# id : NWRW1800000038.46.3.1
아베 신조(安倍晋三) 일본 총리가 필리핀·싱가포르·말레이시아 등 동남아 국가 정상들과의 회담에서도 개헌과 집단적 자위권 도입 필요성을 강조했다고 28일 도쿄(東京)신문이 전했다.

아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리가	총리/NNG+가/JKS
필리핀·싱가포르·말레이시아	필리핀/NNP+·/SP+싱가포르/NNP+·/SP+말레이시아/NNP
등	등/NNB
동남아	동남아/NNP
국가	국가/NNG
정상들과의	정상/NNG+들/XSN+과/JKB+의/JKG
회담에서도	회담/NNG+에서/JKB+도/JX
개헌과	개헌/NNG+과/JC
집단적	집단/NNG+적/XSN
자위권	자위/NNG+권/XSN
도입	도입/NNG
필요성을	필요/NNG+성/XSN+을/JKO
강조했다고	강조/NNG+하/XSV+았/EP+다고/EC
28일	28/SN+일/NNB
도쿄(東京)신문이	도쿄/NNP+(/SS+東京/SH+)/SS+신문/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.46.3.2
7·21 참의원 선거에서 압승한 아베 총리가 개헌을 위해 국내뿐만 아니라 해외에서도 지지 세력의 확대를 꾀하고 있는 것이다.

7·21	7/SN+·/SP+21/SN
참의원	참의원/NNG
선거에서	선거/NNG+에서/JKB
압승한	압승/NNG+하/XSV+ㄴ/ETM
아베	아베/NNP
총리가	총리/NNG+가/JKS
개헌을	개헌/NNG+을/JKO
위해	위하/VV+아/EC
국내뿐만	국내/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
해외에서도	해외/NNG+에서/JKB+도/JX
지지	지지/NNG
세력의	세력/NNG+의/JKG
확대를	확대/NNG+를/JKO
꾀하고	꾀하/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.46.4.1
아베 총리는 지난 26일 싱가포르에서 리셴룽 총리와 가진 정상회담에서 "일본이 개헌하더라도 평화주의를 견지할 것"이라고 강조했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
싱가포르에서	싱가포르/NNP+에서/JKB
리셴룽	리셴룽/NNP
총리와	총리/NNG+와/JKB
가진	가지/VV+ㄴ/ETM
정상회담에서	정상/NNG+회담/NNG+에서/JKB
"일본이	"/SS+일본/NNP+이/JKS
개헌하더라도	개헌/NNG+하/XSV+더라도/EC
평화주의를	평화주의/NNG+를/JKO
견지할	견지/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.46.4.2
