# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.212
metadata : {}


# id : NWRW1800000024.212.1.1
“가나다라~” 할머니들의 희망 노래

“가나다라~”	“/SS+가/NNG+나/NNG+다/NNG+라/NNG+~/SO+”/SS
할머니들의	할머니/NNG+들/XSN+의/JKG
희망	희망/NNG
노래	노래/NNG


# id : NWRW1800000024.212.2.1
“친구, 내 친구, 정다운 친구.”

“친구,	“/SS+친구/NNG+,/SP
내	나/NP+의/JKG
친구,	친구/NNG+,/SP
정다운	정/NNG+답/XSA+ㄴ/ETM
친구.”	친구/NNG+./SF+”/SS


# id : NWRW1800000024.212.3.1
매주 화·목요일 오후 2시가 되면 울산 울주군 삼동면 출강마을 김말봉(78) 할머니 집에선 책 읽는 소리가 들린다.

매주	매주/MAG
화·목요일	화/NNG+·/SP+목요일/NNG
오후	오후/NNG
2시가	2/SN+시/NNB+가/JKC
되면	되/VV+면/EC
울산	울산/NNP
울주군	울주군/NNP
삼동면	삼동면/NNP
출강마을	출강마을/NNP
김말봉(78)	김말봉/NNP+(/SS+78/SN+)/SS
할머니	할머니/NNG
집에선	집/NNG+에서/JKB+ㄴ/JX
책	책/NNG
읽는	읽/VV+는/ETM
소리가	소리/NNG+가/JKS
들린다.	들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.212.3.2
책을 읽는 이들은 70~80대 할머니들로 1년6개월째 한글수업을 받고 있다.

책을	책/NNG+을/JKO
읽는	읽/VV+는/ETM
이들은	이/NNB+들/XSN+은/JX
70~80대	70/SN+~/SO+80/SN+대/NNB
할머니들로	할머니/NNG+들/XSN+로/JKB
1년6개월째	1/SN+년/NNB+6/SN+개월/NNB+째/XSN
한글수업을	한글/NNG+수업/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.212.4.1
이 마을에 한글교실이 문을 연 것은 지난해 1월이다.

이	이/MMD
마을에	마을/NNG+에/JKB
한글교실이	한글/NNG+교실/NNG+이/JKS
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난해	지난해/NNG
1월이다.	1/SN+월/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.212.4.2
자원봉사를 나온 대한적십자사 울산지사 남구지부 성침봉사회 공유정 회장이 혼자 사는 김 할머니 집에 들렀다가 김 할머니가 “우편물 내용이 무엇인지 읽어 달라”고 말하는 것을 듣고선 한글 가르치기에 나섰다.

자원봉사를	자원봉사/NNG+를/JKO
나온	나오/VV+ㄴ/ETM
대한적십자사	대한적십자사/NNP
울산지사	울산/NNP+지사/NNG
남구지부	남구/NNP+지부/NNG
성침봉사회	성침봉사회/NNP
공유정	공유정/NNP
회장이	회장/NNG+이/JKS
혼자	혼자/NNG
사는	살/VV+는/ETM
김	김/NNP
할머니	할머니/NNG
집에	집/NNG+에/JKB
들렀다가	들르/VV+었/EP+다가/EC
할머니가	할머니/NNG+가/JKS
“우편물	“/SS+우편물/NNG
내용이	내용/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC
읽어	읽/VV+어/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
말하는	말/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
듣고선	듣/VV+고서/EC+ㄴ/JX
한글	한글/NNG
가르치기에	가르치/VV+기/ETN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.212.5.1
입소문이 나면서 주변의 할머니들이 김 할머니 집으로 하나둘씩 모여들었다.

입소문이	입소문/NNG+이/JKS
나면서	나/VV+면서/EC
주변의	주변/NNG+의/JKG
할머니들이	할머니/NNG+들/XSN+이/JKS
김	김/NNP
할머니	할머니/NNG
집으로	집/NNG+으로/JKB
하나둘씩	하나둘/NNG+씩/XSN
모여들었다.	모여들/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.212.5.2
지금은 농번기여서 5명이 수업을 받고 있지만 평상시에는 수강생이 13명이나 된다.

지금은	지금/NNG+은/JX
농번기여서	농번기/NNG+이/VCP+어서/EC
5명이	5/SN+명/NNB+이/JKS
수업을	수업/NNG+을/JKO
받고	받/VV+고/EC
있지만	있/VX+지만/EC
평상시에는	평상시/NNG+에/JKB+는/JX
수강생이	수강/NNG+생/XSN+이/JKS
13명이나	13/SN+명/NNB+이나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.212.5.3
10리나 떨어진 절에 살고 있는 할머니도 걸어서 찾아온다.

10리나	10/SN+리/NNB+나/JX
떨어진	떨어지/VV+ㄴ/ETM
절에	절/NNG+에/JKB
살고	살/VV+고/EC
있는	있/VX+는/ETM
할머니도	할머니/NNG+도/JX
걸어서	걷/VV+어서/EC
찾아온다.	찾아오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.212.5.4
처음에는 공 회장이 혼자 수업을 했지만 제자들이 늘면서 다른 회원들이 돌아가면서 보조교사 구실을 한다.

처음에는	처음/NNG+에/JKB+는/JX
공	공/NNP
회장이	회장/NNG+이/JKS
혼자	혼자/NNG
수업을	수업/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
제자들이	제자/NNG+들/XSN+이/JKS
늘면서	늘/VV+면서/EC
다른	다른/MMD
회원들이	회원/NNG+들/XSN+이/JKS
돌아가면서	돌아가/VV+면서/EC
보조교사	보조/NNG+교사/NNG
구실을	구실/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.212.6.1
수업은 한글 실력에 따라 2개 반으로 나뉜다.

수업은	수업/NNG+은/JX
한글	한글/NNG
실력에	실력/NNG+에/JKB
따라	따르/VV+아/EC
2개	2/SN+개/NNB
반으로	반/NNG+으로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.212.6.2
아예 한글을 모르면 기역부터 시작한다.

아예	아예/MAG
한글을	한글/NNG+을/JKO
모르면	모르/VV+면/EC
기역부터	기역/NNG+부터/JX
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.212.6.3
기초가 다져지면 기초반에서 초급반으로 옮겨 초등 1학년 국어 교과서를 공부한다.

기초가	기초/NNG+가/JKS
다져지면	다지/VV+어/EC+지/VX+면/EC
기초반에서	기초반/NNG+에서/JKB
초급반으로	초급반/NNG+으로/JKB
옮겨	옮기/VV+어/EC
초등	초등/NNG
1학년	1/SN+학년/NNG
국어	국어/NNG
교과서를	교과서/NNG+를/JKO
공부한다.	공부/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.212.7.1
할머니들은 한글만큼 어려운 수학도 배운다.

할머니들은	할머니/NNG+들/XSN+은/JX
한글만큼	한글/NNG+만큼/JKB
어려운	어렵/VA+ㄴ/ETM
수학도	수학/NNG+도/JX
배운다.	배우/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.212.7.2
