# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.331
metadata : {}


# id : NWRW1800000033.331.1.1
[밥값하는 19대 국회로]새누리 “의원들 6월세비 15억 전액 반납”

[밥값하는	[/SS+밥값/NNG+하/XSV+는/ETM
19대	19/SN+대/NNB
국회로]새누리	국회/NNG+로/JKB+]/SS+새누리/NNP
“의원들	“/SS+의원/NNG+들/XSN
6월세비	6/SN+월/NNB+세비/NNG
15억	15/SN+억/NR
전액	전액/NNG
반납”	반납/NNG+”/SS


# id : NWRW1800000033.331.2.1
국회 못열어 무노동 무임금 黨계좌로 받은뒤 기부키로

국회	국회/NNG
못열어	못/MAG+열/VV+어/EC
무노동	무/XPN+노동/NNG
무임금	무/XPN+임금/NNG
黨계좌로	黨/SH+계좌/NNG+로/JKB
받은뒤	받/VV+은/ETM+뒤/NNG
기부키로	기부/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000033.331.3.1
141명 서명… 일부 반발

141명	141/SN+명/NNB
서명…	서명/NNG+…/SE
일부	일부/NNG
반발	반발/NNG


# id : NWRW1800000033.331.4.1
새누리당은 19대 국회 개원 지연에 대해 책임을 지고 소속 의원들의 6월 세비 전액을 반납하기로 결의했다.

새누리당은	새누리당/NNP+은/JX
19대	19/SN+대/NNB
국회	국회/NNG
개원	개원/NNG
지연에	지연/NNG+에/JKB
대해	대하/VV+아/EC
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
소속	소속/NNG
의원들의	의원/NNG+들/XSN+의/JKG
6월	6/SN+월/NNB
세비	세비/NNG
전액을	전액/NNG+을/JKO
반납하기로	반납/NNG+하/XSV+기/ETN+로/JKB
결의했다.	결의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.331.5.1
새누리당은 첫 세비 지급일을 하루 앞둔 19일 의원총회를 열어 소속 의원 대다수의 찬성으로 이같이 뜻을 모았다.

새누리당은	새누리당/NNP+은/JX
첫	첫/MMN
세비	세비/NNG
지급일을	지급일/NNG+을/JKO
하루	하루/NNG
앞둔	앞두/VV+ㄴ/ETM
19일	19/SN+일/NNB
의원총회를	의원/NNG+총회/NNG+를/JKO
열어	열/VV+어/EC
소속	소속/NNG
의원	의원/NNG
대다수의	대/XPN+다수/NNG+의/JKG
찬성으로	찬성/NNG+으로/JKB
이같이	이/NP+같이/JKB
뜻을	뜻/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.331.5.2
홍일표 원내대변인은 “국회 개원이 지연된 데 대한 정치적 책임 및 총선 공약 실천 1호의 의미”라고 밝혔다.

홍일표	홍일표/NNP
원내대변인은	원내/NNG+대변인/NNG+은/JX
“국회	“/SS+국회/NNG
개원이	개원/NNG+이/JKS
지연된	지연/NNG+되/XSV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
정치적	정치/NNG+적/XSN
책임	책임/NNG
및	및/MAG
총선	총선/NNG
공약	공약/NNG
실천	실천/NNG
1호의	1/SN+호/NNB+의/JKG
의미”라고	의미/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.331.5.3
특정 정당 소속 의원이 세비를 전액 자진 반납하기로 한 것은 헌정 사상 처음이다.

특정	특정/NNG
정당	정당/NNG
소속	소속/NNG
의원이	의원/NNG+이/JKS
세비를	세비/NNG+를/JKO
전액	전액/NNG
자진	자진/NNG
반납하기로	반납/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
헌정	헌정/NNG
사상	사상/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.331.6.1
새누리당은 6월 세비를 의원들의 세비 통장이 아닌 당 계좌로 입금하도록 할 방침이다.

새누리당은	새누리당/NNP+은/JX
6월	6/SN+월/NNB
세비를	세비/NNG+를/JKO
의원들의	의원/NNG+들/XSN+의/JKG
세비	세비/NNG
통장이	통장/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
당	당/NNG
계좌로	계좌/NNG+로/JKB
입금하도록	입금/NNG+하/XSV+도록/EC
할	하/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.331.6.2
이를 위해 의총에서 의원들에게 ‘세비 원천징수’를 위한 세비 공제 동의서를 받았다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
의총에서	의총/NNG+에서/JKB
의원들에게	의원/NNG+들/XSN+에게/JKB
‘세비	‘/SS+세비/NNG
원천징수’를	원천/NNG+징수/NNG+’/SS+를/JKO
위한	위하/VV+ㄴ/ETM
세비	세비/NNG
공제	공제/NNG
동의서를	동의서/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.331.6.3
이날 소속 의원 150명 중 141명이 동의서에 서명했다.

이날	이날/NNG
소속	소속/NNG
의원	의원/NNG
150명	150/SN+명/NNB
중	중/NNB
141명이	141/SN+명/NNB+이/JKS
동의서에	동의서/NNG+에/JKB
서명했다.	서명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.331.6.4
해외 출장 중이거나 연락이 닿지 않은 의원들에겐 자신의 세비 통장에 입금되는 대로 당에 반납하게 할 예정이다.

해외	해외/NNG
출장	출장/NNG
중이거나	중/NNB+이/VCP+거나/EC
연락이	연락/NNG+이/JKS
닿지	닿/VV+지/EC
않은	않/VX+은/ETM
의원들에겐	의원/NNG+들/XSN+에게/JKB+ㄴ/JX
자신의	자신/NNG+의/JKG
세비	세비/NNG
통장에	통장/NNG+에/JKB
입금되는	입금/NNG+되/XSV+는/ETM
대로	대로/NNB
당에	당/NNG+에/JKB
반납하게	반납/NNG+하/XSV+게/EC
할	하/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.331.7.1
새누리당 의원이 모두 동참하면 반납하는 세비는 1인당 1030만여 원씩 약 15억5000만 원에 이른다.

새누리당	새누리당/NNP
의원이	의원/NNG+이/JKS
모두	모두/MAG
동참하면	동참/NNG+하/XSV+면/EC
반납하는	반납/NNG+하/XSV+는/ETM
세비는	세비/NNG+는/JX
1인당	1/SN+인/NNG+당/XSN
1030만여	1030/SN+만/NR+여/XSN
원씩	원/NNB+씩/XSN
약	약/MMA
15억5000만	15/SN+억/NR+5000/SN+만/NR
원에	원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.331.7.2
반납 세비는 최고위원회의 논의를 거쳐 보훈단체 등에 기부하기로 했다.

반납	반납/NNG
세비는	세비/NNG+는/JX
최고위원회의	최고/NNG+위원회/NNG+의/JKG
논의를	논의/NNG+를/JKO
거쳐	거치/VV+어/EC
보훈단체	보훈/NNG+단체/NNG
등에	등/NNB+에/JKB
기부하기로	기부/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.331.8.1
의총에서는 김성태 의원 등 일부 반발도 있었다.

의총에서는	의총/NNG+에서/JKB+는/JX
김성태	김성태/NNP
의원	의원/NNG
등	등/NNB
일부	일부/NNG
반발도	반발/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.331.8.2
