# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.341
metadata : {}


# id : NWRW1800000034.341.1.1
돈줄 '사무총국' 놓고 갈등

돈줄	돈줄/NNG
'사무총국'	'/SS+사무/NNG+총국/NNG+'/SS
놓고	놓/VV+고/EC
갈등	갈등/NNG


# id : NWRW1800000034.341.2.1
국고보조금·당비 회계 총괄, 6년 동안 당권파가 장악 "집행위장 주면 비대위 참여" 당권파, 제의했다 거절당해

국고보조금·당비	국고/NNG+보조금/NNG+·/SP+당비/NNG
회계	회계/NNG
총괄,	총괄/NNG+,/SP
6년	6/SN+년/NNB
동안	동안/NNG
당권파가	당권파/NNG+가/JKS
장악	장악/NNG
"집행위장	"/SS+집행위장/NNG
주면	주/VV+면/EC
비대위	비대위/NNG
참여"	참여/NNG+"/SS
당권파,	당권파/NNG+,/SP
제의했다	제의/NNG+하/XSV+았/EP+다/EC
거절당해	거절/NNG+당하/XSV+아/EF


# id : NWRW1800000034.341.3.1
통합진보당 비례대표 부정선거 사태를 수습할 혁신비상대책위원회에 당권파가 참여하지 않은 데는 당의 돈줄과 인사권을 장악하고 있는 사무총국을 둘러싼 갈등도 작용한 것으로 알려졌다.

통합진보당	통합진보당/NNP
비례대표	비례/NNG+대표/NNG
부정선거	부정/NNG+선거/NNG
사태를	사태/NNG+를/JKO
수습할	수습/NNG+하/XSV+ㄹ/ETM
혁신비상대책위원회에	혁신/NNG+비상/NNG+대책/NNG+위원회/NNG+에/JKB
당권파가	당권파/NNG+가/JKS
참여하지	참여/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
데는	데/NNB+는/JX
당의	당/NNG+의/JKG
돈줄과	돈줄/NNG+과/JC
인사권을	인사/NNG+권/XSN+을/JKO
장악하고	장악/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
사무총국을	사무/NNG+총국/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
갈등도	갈등/NNG+도/JX
작용한	작용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.341.3.2
'경기동부연합+광주·전남연합' 중심의 당권파 측이 사무총국을 관할하는 집행위원장에 당권파 사람을 임명하면 비대위 참여를 검토할 수도 있었다는 것이다.

'경기동부연합+광주·전남연합'	'/SS+경기/NNP+동부/NNG+연합/NNG++/SW+광주/NNP+·/SP+전남/NNP+연합/NNG+'/SS
중심의	중심/NNG+의/JKG
당권파	당권파/NNG
측이	측/NNB+이/JKS
사무총국을	사무/NNG+총국/NNG+을/JKO
관할하는	관할/NNG+하/XSV+는/ETM
집행위원장에	집행/NNG+위원장/NNG+에/JKB
사람을	사람/NNG+을/JKO
임명하면	임명/NNG+하/XSV+면/EC
비대위	비대위/NNG
참여를	참여/NNG+를/JKO
검토할	검토/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있었다는	있/VA+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000034.341.3.3
그러나 강 위원장은 지난 16일 이를 거부하고 비당권파 출신의 두 사람을 공동집행위원장으로 임명하자 비대위 참여를 전면 거부했다는 것이다.

그러나	그러나/MAJ
강	강/NNP
위원장은	위원장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
이를	이/NP+를/JKO
거부하고	거부/NNG+하/XSV+고/EC
비당권파	비/XPN+당권파/NNG
출신의	출신/NNG+의/JKG
두	두/MMN
사람을	사람/NNG+을/JKO
공동집행위원장으로	공동/NNG+집행/NNG+위원장/NNG+으로/JKB
임명하자	임명/NNG+하/XSV+자/EC
비대위	비대위/NNG
참여를	참여/NNG+를/JKO
전면	전면/NNG
거부했다는	거부/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000034.341.4.1
이 때문에 17일 진보당 안팎에서는 "역시 돈줄을 장악하고 있는 사무총국이 핵심"이라는 말이 나왔다.

이	이/NP
때문에	때문/NNB+에/JKB
17일	17/SN+일/NNB
진보당	진보당/NNP
안팎에서는	안팎/NNG+에서/JKB+는/JX
"역시	"/SS+역시/MAG
돈줄을	돈줄/NNG+을/JKO
장악하고	장악/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
사무총국이	사무/NNG+총국/NNG+이/JKS
핵심"이라는	핵심/NNG+"/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.341.4.2
선관위에 따르면 진보당의 전신인 민주노동당은 2010년 국고보조금, 당비 등을 합해 194억3800만원의 수입을 올려, 189억300만원을 지출했다.

선관위에	선관위/NNG+에/JKB
따르면	따르/VV+면/EC
진보당의	진보당/NNP+의/JKG
전신인	전신/NNG+이/VCP+ㄴ/ETM
민주노동당은	민주노동당/NNP+은/JX
2010년	2010/SN+년/NNB
국고보조금,	국고/NNG+보조금/NNG+,/SP
당비	당비/NNG
등을	등/NNB+을/JKO
합해	합/NNG+하/XSV+아/EC
194억3800만원의	194/SN+억/NR+3800/SN+만/NR+원/NNB+의/JKG
수입을	수입/NNG+을/JKO
올려,	올리/VV+어/EC+,/SP
189억300만원을	189/SN+억/NR+300/SN+만/NR+원/NNB+을/JKO
지출했다.	지출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000034.341.4.3
2011년에는 합당된 국민참여당을 합해 152억5900만원의 수입을 올려, 150억7400만원을 썼다.

2011년에는	2011/SN+년/NNB+에/JKB+는/JX
합당된	합당/NNG+되/XSV+ㄴ/ETM
국민참여당을	국민참여당/NNP+을/JKO
합해	합/NNG+하/XSV+아/EC
152억5900만원의	152/SN+억/NR+5900/SN+만/NR+원/NNB+의/JKG
수입을	수입/NNG+을/JKO
올려,	올리/VV+어/EC+,/SP
150억7400만원을	150/SN+억/NR+7400/SN+만/NR+원/NNB+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.341.5.1
사무총국은 산하에 총무실, 조직실, 전략기획실, 의정지원단, 대외협력위원회, 정책위원회 등을 두고 있다.

사무총국은	사무/NNG+총국/NNG+은/JX
산하에	산하/NNG+에/JKB
총무실,	총무실/NNG+,/SP
조직실,	조직실/NNG+,/SP
전략기획실,	전략/NNG+기획실/NNG+,/SP
의정지원단,	의정/NNG+지원단/NNG+,/SP
대외협력위원회,	대외/NNG+협력/NNG+위원회/NNG+,/SP
정책위원회	정책/NNG+위원회/NNG
등을	등/NNB+을/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000034.341.5.2
당 관계자에 따르면 국고보조금·특별당비 등 회계와 당의 재정을 총괄하는 총무실과 당원 명부를 관리하는 조직실은 최근까지도 비당권파에 진입이 허락되지 않는 난공불락의 요지였다고 한다.

당	당/NNG
관계자에	관계자/NNG+에/JKB
따르면	따르/VV+면/EC
국고보조금·특별당비	국고/NNG+보조금/NNG+·/SP+특별/NNG+당비/NNG
등	등/NNB
회계와	회계/NNG+와/JC
당의	당/NNG+의/JKG
재정을	재정/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
총무실과	총무실/NNG+과/JC
당원	당원/NNG
명부를	명부/NNG+를/JKO
관리하는	관리/NNG+하/XSV+는/ETM
조직실은	조직실/NNG+은/JX
최근까지도	최근/NNG+까지/JX+도/JX
비당권파에	비/XPN+당권파/NNG+에/JKB
진입이	진입/NNG+이/JKS
허락되지	허락/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
난공불락의	난공불락/NNG+의/JKG
요지였다고	요지/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000034.341.6.1
2006년 경기동부연합의 지원 아래 광주·전남연합 출신의 김선동 사무총장 체제가 들어선 이후 당권파는 6년 동안 사무총국을 절대 내놓지 않았다.

2006년	2006/SN+년/NNB
경기동부연합의	경기/NNP+동부/NNG+연합/NNG+의/JKG
지원	지원/NNG
아래	아래/NNG
