# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.463
metadata : {}


# id : NWRW1800000024.463.1.1
서울에서 제주까지…‘전통주 대표선수’가 뛴다

서울에서	서울/NNP+에서/JKB
제주까지…‘전통주	제주/NNP+까지/JX+…/SE+‘/SS+전통주/NNG
대표선수’가	대표/NNG+선수/NNG+’/SS+가/JKS
뛴다	뛰/VV+ㄴ다/EF


# id : NWRW1800000024.463.2.1
“서울의 참이슬, 강원은 처음처럼, 경북 참소주, 전남 천년의 아침, 부산에서는 시원(C1)….”

“서울의	“/SS+서울/NNP+의/JKG
참이슬,	참이슬/NNP+,/SP
강원은	강원/NNP+은/JX
처음처럼,	처음처럼/NNP+,/SP
경북	경북/NNP
참소주,	참소주/NNP+,/SP
전남	전남/NNP
천년의	천/NR+년/NNB+의/JKG
아침,	아침/NNG+,/SP
부산에서는	부산/NNP+에서/JKB+는/JX
시원(C1)….”	시원/NNG+(/SS+C/SL+1/SN+)/SS+…/SE+./SF+”/SS


# id : NWRW1800000024.463.2.2
‘서민의 술’ 소주는 프로야구 리그와 더불어 오래전부터 지역 주류업체의 연고를 바탕으로 한 ‘전국 리그’를 구성하고 있다.

‘서민의	‘/SS+서민/NNG+의/JKG
술’	술/NNG+’/SS
소주는	소주/NNG+는/JX
프로야구	프로/NNG+야구/NNG
리그와	리그/NNG+와/JKB
더불어	더불/VV+어/EC
오래전부터	오래전/NNG+부터/JX
지역	지역/NNG
주류업체의	주류업체/NNG+의/JKG
연고를	연고/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
한	하/VV+ㄴ/ETM
‘전국	‘/SS+전국/NNG
리그’를	리그/NNG+’/SS+를/JKO
구성하고	구성/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.463.2.3
지역 대표선수를 자처하고 있는 소주는 “우리 동네 소주가 낫다”는 말이 술자리 말다툼의 원인이 될 만큼 높은 자존심을 자랑한다.

지역	지역/NNG
대표선수를	대표/NNG+선수/NNG+를/JKO
자처하고	자처/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
소주는	소주/NNG+는/JX
“우리	“/SS+우리/NP
동네	동네/NNG
소주가	소주/NNG+가/JKS
낫다”는	낫/VA+다/EF+”/SS+는/ETM
말이	말/NNG+이/JKS
술자리	술자리/NNG
말다툼의	말다툼/NNG+의/JKG
원인이	원인/NNG+이/JKC
될	되/VV+ㄹ/ETM
만큼	만큼/NNB
높은	높/VA+은/ETM
자존심을	자존심/NNG+을/JKO
자랑한다.	자랑/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.463.2.4
그러나 ‘소주 리그’ 탄생 이전부터 지역의 자존심을 걸고 수백년 동안 치열한 대결을 벌여온 ‘주류계의 어르신’이 있다.

그러나	그러나/MAJ
‘소주	‘/SS+소주/NNG
리그’	리그/NNG+’/SS
탄생	탄생/NNG
이전부터	이전/NNG+부터/JX
지역의	지역/NNG+의/JKG
자존심을	자존심/NNG+을/JKO
걸고	걸/VV+고/EC
수백년	수백/NR+년/NNB
동안	동안/NNG
치열한	치열/NNG+하/XSA+ㄴ/ETM
대결을	대결/NNG+을/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
‘주류계의	‘/SS+주류/NNG+계/XSN+의/JKG
어르신’이	어르신/NNG+’/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.463.2.5
멀게는 백제시대까지 거슬러 올라가는 그 이름은 ‘전통주 리그’.

멀게는	멀/VA+게/EC+는/JX
백제시대까지	백제/NNP+시대/NNG+까지/JX
거슬러	거스르/VV+어/EC
올라가는	올라가/VV+는/ETM
그	그/MMD
이름은	이름/NNG+은/JX
‘전통주	‘/SS+전통주/NNG
리그’.	리그/NNG+’/SS+./SF


# id : NWRW1800000024.463.2.6
전통주는 알코올 성분인 ‘주정’을 물에 섞어 만드는 ‘희석식 소주’와 달리 누룩(밀·찐 콩 등을 갈아 반죽한 뒤 누룩곰팡이를 피워 만든 술 발효제)으로 빚은 뒤 걸러 만들기 때문에 뿌리부터 다른 리그다.

전통주는	전통주/NNG+는/JX
알코올	알코올/NNG
성분인	성분/NNG+이/VCP+ㄴ/ETM
‘주정’을	‘/SS+주정/NNG+’/SS+을/JKO
물에	물/NNG+에/JKB
섞어	섞/VV+어/EC
만드는	만들/VV+는/ETM
‘희석식	‘/SS+희석식/NNG
소주’와	소주/NNG+’/SS+와/JKB
달리	달리/MAG
누룩(밀·찐	누룩/NNG+(/SS+밀/NNG+·/SP+찌/VV+ㄴ/ETM
콩	콩/NNG
등을	등/NNB+을/JKO
갈아	갈/VV+아/EC
반죽한	반죽/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
누룩곰팡이를	누룩곰팡이/NNG+를/JKO
피워	피우/VV+어/EC
만든	만들/VV+ㄴ/ETM
술	술/NNG
발효제)으로	발효제/NNG+)/SS+으로/JKB
빚은	빚/VV+은/ETM
걸러	거르/VV+어/EC
만들기	만들/VV+기/ETN
때문에	때문/NNB+에/JKB
뿌리부터	뿌리/NNG+부터/JX
다른	다르/VA+ㄴ/ETM
리그다.	리그/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.463.2.7
걸러낸 술의 맑기에 따라 약주와 탁주(막걸리 등)로 구분하는 전통주는 지역마다 집안 대대로 내려오는 개성 있는 제조 방식이 있어 마치 ‘올스타전’을 보는 것처럼 화려하다.

걸러낸	거르/VV+어/EC+내/VX+ㄴ/ETM
술의	술/NNG+의/JKG
맑기에	맑/VA+기/ETN+에/JKB
따라	따르/VV+아/EC
약주와	약주/NNG+와/JC
탁주(막걸리	탁주/NNG+(/SS+막걸리/NNG
등)로	등/NNB+)/SS+로/JKB
구분하는	구분/NNG+하/XSV+는/ETM
전통주는	전통주/NNG+는/JX
지역마다	지역/NNG+마다/JX
집안	집안/NNG
대대로	대대로/MAG
내려오는	내려오/VV+는/ETM
개성	개성/NNG
있는	있/VA+는/ETM
제조	제조/NNG
방식이	방식/NNG+이/JKS
있어	있/VA+어/EC
마치	마치/MAG
‘올스타전’을	‘/SS+올스타전/NNG+’/SS+을/JKO
보는	보/VV+는/ETM
것처럼	것/NNB+처럼/JKB
화려하다.	화려하/VA+다/EF+./SF


# id : NWRW1800000024.463.3.1
■ 대중의 인기를 한 몸에… 수도권 리그=서울은 전통주 대표선수로 ‘삼해주’를 내세운다.

■	■/SW
대중의	대중/NNG+의/JKG
인기를	인기/NNG+를/JKO
한	한/MMN
몸에…	몸/NNG+에/JKB+…/SE
수도권	수도/NNG+권/XSN
리그=서울은	리그/NNG+=/SW+서울/NNP+은/JX
전통주	전통주/NNG
대표선수로	대표/NNG+선수/NNG+로/JKB
‘삼해주’를	‘/SS+삼해주/NNG+’/SS+를/JKO
내세운다.	내세우/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.463.3.2
십이간지로 셈한 정월의 첫 해일(亥日·돼지날)로부터 12일이 지난 다음 해일, 그리고 그다음 해일까지 모두 세 번에 걸쳐 누룩을 앉힌다고 해 ‘삼해주’라고 이름을 붙였다.

십이간지로	십이/NR+간지/NNG+로/JKB
셈한	셈/NNG+하/XSV+ㄴ/ETM
정월의	정월/NNG+의/JKG
첫	첫/MMN
해일(亥日·돼지날)로부터	해일/NNG+(/SS+亥日/SH+·/SP+돼지날/NNG+)/SS+로부터/JKB
12일이	12/SN+일/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
다음	다음/NNG
해일,	해일/NNG+,/SP
그리고	그리고/MAJ
그다음	그다음/NNG
해일까지	해일/NNG+까지/JX
모두	모두/MAG
세	세/MMN
번에	번/NNB+에/JKB
걸쳐	걸치/VV+어/EC
누룩을	누룩/NNG+을/JKO
앉힌다고	앉히/VV+ㄴ다고/EC
해	하/VV+아/EC
‘삼해주’라고	‘/SS+삼해주/NNG+’/SS+라고/JKQ
이름을	이름/NNG+을/JKO
붙였다.	붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.463.3.3
맑고 푸른 빛이 도는 삼해주는 조선 중기 마포 나루터 일대 술집에서 인기를 끌어 술 항아리가 1000개가 넘었다는 기록도 있다.

맑고	맑/VA+고/EC
푸른	푸르/VA+ㄴ/ETM
빛이	빛/NNG+이/JKS
도는	돌/VV+는/ETM
삼해주는	삼해주/NNG+는/JX
조선	조선/NNP
중기	중기/NNG
마포	마포/NNP
나루터	나루터/NNG
일대	일대/NNG
술집에서	술집/NNG+에서/JKB
인기를	인기/NNG+를/JKO
끌어	끌/VV+어/EC
술	술/NNG
항아리가	항아리/NNG+가/JKS
1000개가	1000/SN+개/NNB+가/JKS
넘었다는	넘/VV+었/EP+다는/ETM
기록도	기록/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.463.4.1
평양에서 경기로 남하한 술도 있다.

평양에서	평양/NNP+에서/JKB
경기로	경기/NNP+로/JKB
남하한	남하/NNG+하/XSV+ㄴ/ETM
술도	술/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.463.4.2
그 주인공은 ‘문배주’.

그	그/MMD
주인공은	주인공/NNG+은/JX
‘문배주’.	‘/SS+문배주/NNG+’/SS+./SF


# id : NWRW1800000024.463.4.3
