# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.101
metadata : {}


# id : NWRW1800000037.101.1.1
[Outdoor]가벼운 산행부터 도심형 레포츠까지 모두 OK

[Outdoor]가벼운	[/SS+Outdoor/SL+]/SS+가볍/VA+ㄴ/ETM
산행부터	산행/NNG+부터/JX
도심형	도심/NNG+형/XSN
레포츠까지	레포츠/NNG+까지/JX
모두	모두/MAG
OK	OK/SL


# id : NWRW1800000037.101.2.1
합리적이고 기능성이 뛰어나며 디자인까지 생각한다면 2002년 론칭한 토종 멀티 아웃도어 브랜드 마운티아를 주목할 필요가 있다.

합리적이고	합리/NNG+적/XSN+이/VCP+고/EC
기능성이	기능/NNG+성/XSN+이/JKS
뛰어나며	뛰어나/VA+며/EC
디자인까지	디자인/NNG+까지/JX
생각한다면	생각/NNG+하/XSV+ㄴ다면/EC
2002년	2002/SN+년/NNB
론칭한	론칭/NNG+하/XSV+ㄴ/ETM
토종	토종/NNG
멀티	멀티/NNG
아웃도어	아웃도어/NNG
브랜드	브랜드/NNG
마운티아를	마운티아/NNP+를/JKO
주목할	주목/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.101.3.1
마운티아는 산을 뜻하는 ‘마운틴’과 천국을 뜻하는 ‘유토피아’를 합쳐 만든 이름이다.

마운티아는	마운티아/NNP+는/JX
산을	산/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
‘마운틴’과	‘/SS+마운틴/NNG+’/SS+과/JC
천국을	천국/NNG+을/JKO
‘유토피아’를	‘/SS+유토피아/NNG+’/SS+를/JKO
합쳐	합치/VV+어/EC
만든	만들/VV+ㄴ/ETM
이름이다.	이름/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.101.3.2
등산 및 각종 야외활동에 필요한 모든 제품을 아우르고 있다.

등산	등산/NNG
및	및/MAG
각종	각종/NNG
야외활동에	야외/NNG+활동/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
모든	모든/MMN
제품을	제품/NNG+을/JKO
아우르고	아우르/VV+고/EC
있다.	있/VX+다/EF+./SF


