# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.15
metadata : {}


# id : NWRW1800000037.15.1.1
삼성, 글로벌 스타셰프 5명과 손잡고 ‘명품 주방家電’ 만든다

삼성,	삼성/NNP+,/SP
글로벌	글로벌/NNG
스타셰프	스타/NNG+셰프/NNG
5명과	5/SN+명/NNB+과/JKB
손잡고	손잡/VV+고/EC
‘명품	‘/SS+명품/NNG
주방家電’	주방/NNG+家電/SH+’/SS
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000037.15.2.1
뉴욕서 ‘클럽 드 셰프’ 프로젝트 시작… 윤부근사장 “최고 가치제품 지속 출시”

뉴욕서	뉴욕/NNP+서/JKB
‘클럽	‘/SS+클럽/NNG
드	드/NNG
셰프’	셰프/NNG+’/SS
프로젝트	프로젝트/NNG
시작…	시작/NNG+…/SE
윤부근사장	윤부근/NNP+사장/NNG
“최고	“/SS+최고/NNG
가치제품	가치/NNG+제품/NNG
지속	지속/NNG
출시”	출시/NNG+”/SS


# id : NWRW1800000037.15.3.1
삼성전자는 세계적으로 유명한 스타 요리사 5명과 손잡고 프리미엄 주방가전 시장 1위를 달성하기 위한 프로젝트 ‘클럽 드 셰프(Club des Chefs)’를 시작한다고 13일 밝혔다.

삼성전자는	삼성전자/NNP+는/JX
세계적으로	세계/NNG+적/XSN+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
스타	스타/NNG
요리사	요리사/NNG
5명과	5/SN+명/NNB+과/JKB
손잡고	손잡/VV+고/EC
프리미엄	프리미엄/NNG
주방가전	주방/NNG+가전/NNG
시장	시장/NNG
1위를	1/SN+위/NNB+를/JKO
달성하기	달성/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
프로젝트	프로젝트/NNG
‘클럽	‘/SS+클럽/NNG
드	드/NNG
셰프(Club	셰프/NNG+(/SS+Club/SL
des	des/SL
Chefs)’를	Chefs/SL+)/SS+’/SS+를/JKO
시작한다고	시작/NNG+하/XSV+ㄴ다고/EC
13일	13/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.15.3.2
스타 셰프들의 전문적인 아이디어와 노하우를 주방가전 제품에 반영해 소비자에게 더욱 다양한 경험을 제공하려는 취지다.

스타	스타/NNG
셰프들의	셰프/NNG+들/XSN+의/JKG
전문적인	전문/NNG+적/XSN+이/VCP+ㄴ/ETM
아이디어와	아이디어/NNG+와/JC
노하우를	노하우/NNG+를/JKO
주방가전	주방/NNG+가전/NNG
제품에	제품/NNG+에/JKB
반영해	반영/NNG+하/XSV+아/EC
소비자에게	소비자/NNG+에게/JKB
더욱	더욱/MAG
다양한	다양/NNG+하/XSA+ㄴ/ETM
경험을	경험/NNG+을/JKO
제공하려는	제공/NNG+하/XSV+려는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.15.4.1
이날 미국 뉴욕에서 열린 행사에는 3대에 걸쳐 프랑스 미슐랭 가이드 3스타 레스토랑 셰프로 선정된 미셸 트루아그로가 참석해 눈길을 끌었다.

이날	이날/NNG
미국	미국/NNP
뉴욕에서	뉴욕/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
행사에는	행사/NNG+에/JKB+는/JX
3대에	3/SN+대/NNB+에/JKB
걸쳐	걸치/VV+어/EC
프랑스	프랑스/NNP
미슐랭	미슐랭/NNP
가이드	가이드/NNP
3스타	3/SN+스타/NNG
레스토랑	레스토랑/NNG
셰프로	셰프/NNG+로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
미셸	미셸/NNP
트루아그로가	트루아그로/NNP+가/JKS
참석해	참석/NNG+하/XSV+아/EC
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.15.4.2
2011년 프랑스 최우수 기능장이자 프랑스 파리의 명문 요리학교 페랑디의 교수인 에리크 트로숑, 미국의 크리스토퍼 코스토프와 프랭크 카트로노보, 프랭크 팔시넬리까지 프랑스와 미국을 대표하는 유명 레스토랑의 스타 셰프들이 참여했다.

2011년	2011/SN+년/NNB
프랑스	프랑스/NNP
최우수	최/XPN+우수/NNG
기능장이자	기능장/NNG+이/VCP+자/EC
파리의	파리/NNP+의/JKG
명문	명문/NNG
요리학교	요리/NNG+학교/NNG
페랑디의	페랑디/NNP+의/JKG
교수인	교수/NNG+이/VCP+ㄴ/ETM
에리크	에리크/NNP
트로숑,	트로숑/NNP+,/SP
미국의	미국/NNP+의/JKG
크리스토퍼	크리스토퍼/NNP
코스토프와	코스토프/NNP+와/JC
프랭크	프랭크/NNP
카트로노보,	카트로노보/NNP+,/SP
팔시넬리까지	팔시넬리/NNP+까지/JX
프랑스와	프랑스/NNP+와/JC
미국을	미국/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
유명	유명/NNG
레스토랑의	레스토랑/NNG+의/JKG
스타	스타/NNG
셰프들이	셰프/NNG+들/XSN+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.15.5.1
이들은 앞으로 삼성전자 주방가전 제품의 기획 단계부터 출시까지 직접 관여하며 이 회사 고유의 하드웨어 기술에 요리 전문가로서의 지식과 경험 등 소프트 경쟁력을 더하게 된다.

이들은	이/NP+들/XSN+은/JX
앞으로	앞/NNG+으로/JKB
삼성전자	삼성전자/NNP
주방가전	주방/NNG+가전/NNG
제품의	제품/NNG+의/JKG
기획	기획/NNG
단계부터	단계/NNG+부터/JX
출시까지	출시/NNG+까지/JX
직접	직접/MAG
관여하며	관여/NNG+하/XSV+며/EC
이	이/MMD
회사	회사/NNG
고유의	고유/NNG+의/JKG
하드웨어	하드웨어/NNG
기술에	기술/NNG+에/JKB
요리	요리/NNG
전문가로서의	전문가/NNG+로서/JKB+의/JKG
지식과	지식/NNG+과/JC
경험	경험/NNG
등	등/NNB
소프트	소프트/NNG
경쟁력을	경쟁력/NNG+을/JKO
더하게	더/MAG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.15.5.2
구체적으로 음식 재료를 관리하는 법, 조리하는 법 등을 소비자들에게 제공할 수 있을 것으로 보인다.

구체적으로	구체/NNG+적/XSN+으로/JKB
음식	음식/NNG
재료를	재료/NNG+를/JKO
관리하는	관리/NNG+하/XSV+는/ETM
법,	법/NNB+,/SP
조리하는	조리/NNG+하/XSV+는/ETM
법	법/NNB
등을	등/NNB+을/JKO
소비자들에게	소비자/NNG+들/XSN+에게/JKB
제공할	제공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.15.6.1
삼성전자는 이 프로젝트를 통해 자사의 주방가전을 업계 최고의 전문가들이 쓸 수 있는 수준으로 끌어올리는 한편 셰프들과 함께하는 다양한 마케팅 행사를 통해 프리미엄 글로벌 주방가전 브랜드로 발돋움한다는 계획이다.

삼성전자는	삼성전자/NNP+는/JX
이	이/MMD
프로젝트를	프로젝트/NNG+를/JKO
통해	통하/VV+아/EC
자사의	자사/NNG+의/JKG
주방가전을	주방/NNG+가전/NNG+을/JKO
업계	업계/NNG
최고의	최고/NNG+의/JKG
전문가들이	전문가/NNG+들/XSN+이/JKS
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
수준으로	수준/NNG+으로/JKB
끌어올리는	끌어올리/VV+는/ETM
한편	한편/NNG
셰프들과	셰프/NNG+들/XSN+과/JKB
함께하는	함께/MAG+하/XSV+는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
마케팅	마케팅/NNG
행사를	행사/NNG+를/JKO
프리미엄	프리미엄/NNG
글로벌	글로벌/NNG
주방가전	주방/NNG+가전/NNG
브랜드로	브랜드/NNG+로/JKB
발돋움한다는	발돋움/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.15.6.2
또 이들 5명 외에 젊은 셰프들을 지속적으로 프로젝트에 추가로 영입해 그들만의 창의적인 조리법과 제품 활용법을 주방가전에 반영하기로 했다.

또	또/MAG
이들	이/NP+들/XSN
5명	5/SN+명/NNB
외에	외/NNB+에/JKB
젊은	젊/VA+은/ETM
셰프들을	셰프/NNG+들/XSN+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
프로젝트에	프로젝트/NNG+에/JKB
추가로	추가/NNG+로/JKB
영입해	영입/NNG+하/XSV+아/EC
그들만의	그/NP+들/XSN+만/JX+의/JKG
