# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.221
metadata : {}


# id : NWRW1800000028.221.1.1
‘연극하는 사람들…’ 연극제 대상

‘연극하는	‘/SS+연극/NNG+하/XSV+는/ETM
사람들…’	사람/NNG+들/XSN+…/SE+’/SS
연극제	연극제/NNG
대상	대상/NNG


# id : NWRW1800000028.221.2.1
‘제28회 전국연극제’에서 전북의 극단 연극하는사람들 무대지기(대표 김정숙)가 연극 <눈 오는 봄날>(연출 안세형)로 최고상인 대상(대통령상)을 포함해 4관왕에 올랐다.

‘제28회	‘/SS+제/XPN+28/SN+회/NNB
전국연극제’에서	전국/NNG+연극제/NNG+’/SS+에서/JKB
전북의	전북/NNP+의/JKG
극단	극단/NNG
연극하는사람들	연극하는사람들/NNP
무대지기(대표	무대지기/NNG+(/SS+대표/NNG
김정숙)가	김정숙/NNP+)/SS+가/JKS
연극	연극/NNG
<눈	</SS+눈/NNG
오는	오/VV+는/ETM
봄날>(연출	봄날/NNG+>/SS+(/SS+연출/NNG
안세형)로	안세형/NNP+)/SS+로/JKB
최고상인	최고상/NNG+이/VCP+ㄴ/ETM
대상(대통령상)을	대상/NNG+(/SS+대통령상/NNG+)/SS+을/JKO
포함해	포함/NNG+하/XSV+아/EC
4관왕에	4관왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.221.3.1
극단 연극하는사람들 무대지기는 지난달 11~30일 부산에서 전국 15개 시·도 대표가 참가한 가운데 열린 이번 연극제에서 철거 직전 달동네 사람들을 따뜻하게 그린 작품으로 최우수연기상(서형화)·희곡상(김정숙)·연출상(안세영형)까지 휩쓸었다.

극단	극단/NNG
연극하는사람들	연극하는사람들/NNP
무대지기는	무대지기/NNG+는/JX
지난달	지난달/NNG
11~30일	11/SN+~/SO+30/SN+일/NNB
부산에서	부산/NNP+에서/JKB
전국	전국/NNG
15개	15/SN+개/NNB
시·도	시·도/NNG
대표가	대표/NNG+가/JKS
참가한	참가/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
열린	열리/VV+ㄴ/ETM
이번	이번/NNG
연극제에서	연극제/NNG+에서/JKB
철거	철거/NNG
직전	직전/NNG
달동네	달동네/NNG
사람들을	사람/NNG+들/XSN+을/JKO
따뜻하게	따뜻하/VA+게/EC
그린	그리/VV+ㄴ/ETM
작품으로	작품/NNG+으로/JKB
최우수연기상(서형화)·희곡상(김정숙)·연출상(안세영형)까지	최/XPN+우수/NNG+연기/NNG+상/NNG+(/SS+서형화/NNP+)/SS+·/SP+희곡/NNG+상/NNG+(/SS+김정숙/NNP+)/SS+·/SP+연출상/NNG+(/SS+안세영형/NNP+)/SS+까지/JX
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.221.4.1
금상은 극단 가람(제주)의 <땅 끝에 서면 바다가 보인다>와 극단 누리에(부산)의 <꿈꾸는 화석>이 공동 수상했다.

금상은	금상/NNG+은/JX
극단	극단/NNG
가람(제주)의	가람/NNP+(/SS+제주/NNP+)/SS+의/JKG
<땅	</SS+땅/NNG
끝에	끝/NNG+에/JKB
서면	서/VV+면/EC
바다가	바다/NNG+가/JKS
보인다>와	보이/VV+ㄴ다/EF+>/SS+와/JC
누리에(부산)의	누리에/NNP+(/SS+부산/NNP+)/SS+의/JKG
<꿈꾸는	</SS+꿈꾸/VV+는/ETM
화석>이	화석/NNG+>/SS+이/JKS
공동	공동/NNG
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


