# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.86
metadata : {}


# id : NWRW1800000021.86.1.1
추격포 역전표 쐐기포… ‘3포’로 끝냈다

추격포	추격/NNG+포/NNG
역전표	역전표/NNG
쐐기포…	쐐기포/NNG+…/SE
‘3포’로	‘/SS+3/SN+포/NNG+’/SS+로/JKB
끝냈다	끝내/VV+었/EP+다/EF


# id : NWRW1800000021.86.2.1
멕시코는 한국의 상대가 되지 못했다.

멕시코는	멕시코/NNP+는/JX
한국의	한국/NNP+의/JKG
상대가	상대/NNG+가/JKC
되지	되/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.86.3.1
제2회 월드베이스볼클래식(WBC) 1라운드에서 홈런포를 12개나 때려낸 멕시코였지만 한국을 상대로는 단타만 9개를 기록했다.

제2회	제/XPN+2/SN+회/NNB
월드베이스볼클래식(WBC)	월드베이스볼클래식/NNG+(/SS+WBC/SL+)/SS
1라운드에서	1/SN+라운드/NNG+에서/JKB
홈런포를	홈런포/NNG+를/JKO
12개나	12/SN+개/NNB+나/JX
때려낸	때리/VV+어/EC+내/VX+ㄴ/ETM
멕시코였지만	멕시코/NNP+이/VCP+었/EP+지만/EC
한국을	한국/NNP+을/JKO
상대로는	상대/NNG+로/JKB+는/JX
단타만	단타/NNG+만/JX
9개를	9/SN+개/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.86.3.2
홈런을 3개나 쏟아낸 쪽은 한국이었다.

홈런을	홈런/NNG+을/JKO
3개나	3/SN+개/NNB+나/JX
쏟아낸	쏟/VV+아/EC+내/VX+ㄴ/ETM
쪽은	쪽/NNB+은/JX
한국이었다.	한국/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.86.4.1
한국이 WBC 8강 라운드 첫 경기에서 산뜻한 승리를 거뒀다.

한국이	한국/NNP+이/JKS
WBC	WBC/SL
8강	8/SN+강/NNB
라운드	라운드/NNG
첫	첫/MMN
경기에서	경기/NNG+에서/JKB
산뜻한	산뜻/MAG+하/XSA+ㄴ/ETM
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.86.5.1
한국은 16일 미국 샌디에이고 펫코파크에서 열린 경기에서 홈런 3개를 포함해 12안타를 터뜨리며 멕시코를 8-2로 완파했다.

한국은	한국/NNP+은/JX
