# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.233
metadata : {}


# id : NWRW1800000033.233.1.1
‘슈퍼소닉’ 이대형, 연장전의 사나이… 이틀 연속 결승점-끝내기타

‘슈퍼소닉’	‘/SS+슈퍼소닉/NNG+’/SS
이대형,	이대형/NNP+,/SP
연장전의	연장전/NNG+의/JKG
사나이…	사나이/NNG+…/SE
이틀	이틀/NNG
연속	연속/NNG
결승점-끝내기타	결승점/NNG+-/SO+끝내기타/NNG


# id : NWRW1800000033.233.2.1
올 시즌 LG 이대형은 데뷔 후 최악의 한 해를 보냈다.

올	올/NNG
시즌	시즌/NNG
LG	LG/SL
이대형은	이대형/NNP+은/JX
데뷔	데뷔/NNG
후	후/NNG
최악의	최악/NNG+의/JKG
한	한/MMN
해를	해/NNB+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.233.2.2
9일 KIA와의 잠실 경기 전까지 타율은 0.164에 그쳤다.

9일	9/SN+일/NNB
KIA와의	KIA/SL+와/JKB+의/JKG
잠실	잠실/NNP
경기	경기/NNG
전까지	전/NNG+까지/JX
타율은	타율/NNG+은/JX
0.164에	0/SN+./SP+164/SN+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.233.2.3
1번 타자 자리도 박용택과 오지환에게 내준 지 오래였다.

1번	1/SN+번/NNB
타자	타자/NNG
자리도	자리/NNG+도/JX
박용택과	박용택/NNP+과/JC
오지환에게	오지환/NNP+에게/JKB
내준	내주/VV+ㄴ/ETM
지	지/NNB
오래였다.	오래/MAG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.233.2.4
2007년부터 4년 연속 도루 50개 이상을 기록했던 빠른 발도 2할대의 빈곤한 출루율(0.244) 앞에선 무용지물이었다.

2007년부터	2007/SN+년/NNB+부터/JX
4년	4/SN+년/NNB
연속	연속/NNG
도루	도루/NNG
50개	50/SN+개/NNB
이상을	이상/NNG+을/JKO
기록했던	기록/NNG+하/XSV+았/EP+던/ETM
빠른	빠르/VA+ㄴ/ETM
발도	발/NNG+도/JX
2할대의	2/SN+할/NNB+대/XSN+의/JKG
빈곤한	빈곤/NNG+하/XSA+ㄴ/ETM
출루율(0.244)	출루/NNG+율/XSN+(/SS+0/SN+./SP+244/SN+)/SS
앞에선	앞/NNG+에서/JKB+ㄴ/JX
무용지물이었다.	무용지물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.233.2.5
김무관 타격 코치는 “타격 준비 자세에서 왼쪽 팔이 내려가는 버릇을 고치지 못하고 있다”며 안타까워했다.

김무관	김무관/NNP
타격	타격/NNG
코치는	코치/NNG+는/JX
“타격	“/SS+타격/NNG
준비	준비/NNG
자세에서	자세/NNG+에서/JKB
왼쪽	왼쪽/NNG
팔이	팔/NNG+이/JKS
내려가는	내려가/VV+는/ETM
버릇을	버릇/NNG+을/JKO
고치지	고치/VV+지/EC
못하고	못하/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.233.3.1
그랬던 이대형이 이틀 연속 4강 싸움에 갈길 바쁜 KIA의 발목을 잡으며 팀의 연승을 이끌었다.

그랬던	그렇/VA+었/EP+던/ETM
이대형이	이대형/NNP+이/JKS
이틀	이틀/NNG
연속	연속/NNG
4강	4/SN+강/NNB
싸움에	싸움/NNG+에/JKB
갈길	가/VV+ㄹ/ETM+길/NNG
바쁜	바쁘/VA+ㄴ/ETM
KIA의	KIA/SL+의/JKG
발목을	발목/NNG+을/JKO
잡으며	잡/VV+으며/EC
팀의	팀/NNG+의/JKG
연승을	연승/NNG+을/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.233.3.2
전날 4-4로 맞선 연장 12회 선두타자로 나와 3루타를 치고 나간 뒤 결승 득점을 올렸던 이대형은 이날도 연장 10회 2사 만루에서 극적인 끝내기 안타로 팀의 4-3 승리를 이끌었다.

전날	전날/NNG
4-4로	4/SN+-/SO+4/SN+로/JKB
맞선	맞서/VV+ㄴ/ETM
연장	연장/NNG
12회	12/SN+회/NNB
선두타자로	선두/NNG+타자/NNG+로/JKB
나와	나오/VV+아/EC
3루타를	3루타/NNG+를/JKO
치고	치/VV+고/EC
나간	나가/VX+ㄴ/ETM
뒤	뒤/NNG
결승	결승/NNG
득점을	득점/NNG+을/JKO
올렸던	올리/VV+었/EP+던/ETM
이대형은	이대형/NNP+은/JX
이날도	이날/NNG+도/JX
10회	10/SN+회/NNB
2사	2/SN+사/NNG
만루에서	만루/NNG+에서/JKB
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
끝내기	끝내기/NNG
안타로	안타/NNG+로/JKB
팀의	팀/NNG+의/JKG
4-3	4/SN+-/SO+3/SN
승리를	승리/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.233.3.3
후반기 부진을 거듭하던 LG 선발 주키치는 7이닝 6안타 3실점(1자책)으로 모처럼 에이스다운 투구를 보였다.

후반기	후반기/NNG
부진을	부진/NNG+을/JKO
거듭하던	거듭/MAG+하/XSV+던/ETM
LG	LG/SL
선발	선발/NNG
주키치는	주키치/NNP+는/JX
7이닝	7/SN+이닝/NNG
6안타	6/SN+안타/NNG
3실점(1자책)으로	3/SN+실점/NNG+(/SS+1/SN+자책/NNG+)/SS+으로/JKB
모처럼	모처럼/MAG
에이스다운	에이스/NNG+답/XSA+ㄴ/ETM
투구를	투구/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.233.3.4
올 시즌 최다 실책 2위(80개)를 기록할 만큼 내야 수비에 구멍이 뚫린 KIA는 또다시 잇따른 실책성 플레이로 경기를 내주며 4강 진입에 빨간불이 켜졌다.

올	올/NNG
시즌	시즌/NNG
최다	최다/NNG
실책	실책/NNG
2위(80개)를	2/SN+위/NNB+(/SS+80/SN+개/NNB+)/SS+를/JKO
기록할	기록/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
내야	내야/NNG
수비에	수비/NNG+에/JKB
구멍이	구멍/NNG+이/JKS
뚫린	뚫리/VV+ㄴ/ETM
KIA는	KIA/SL+는/JX
또다시	또다시/MAG
잇따른	잇따르/VV+ㄴ/ETM
실책성	실책/NNG+성/XSN
플레이로	플레이/NNG+로/JKB
경기를	경기/NNG+를/JKO
내주며	내주/VV+며/EC
4강	4/SN+강/NNB
진입에	진입/NNG+에/JKB
빨간불이	빨간불/NNG+이/JKS
켜졌다.	켜/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.233.4.1
문학에서는 SK가 송은범의 6과 3분의 2이닝 1실점 호투에 힘입어 넥센을 4-1로 꺾었다.

문학에서는	문학/NNP+에서/JKB+는/JX
SK가	SK/SL+가/JKS
송은범의	송은범/NNP+의/JKG
6과	6/SN+과/JC
3분의	3/SN+분/XSN+의/JKG
2이닝	2/SN+이닝/NNG
1실점	1/SN+실점/NNG
호투에	호투/NNG+에/JKB
힘입어	힘입/VV+어/EC
넥센을	넥센/NNP+을/JKO
4-1로	4/SN+-/SO+1/SN+로/JKB
꺾었다.	꺾/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.233.4.2
SK 최정은 1-1로 맞선 3회 상대 선발 강윤구를 상대로 2점짜리 쐐기포를 터뜨려 개인 한 시즌 최다 홈런(21호) 기록을 세웠다.

SK	SK/SL
최정은	최정/NNP+은/JX
1-1로	1/SN+-/SO+1/SN+로/JKB
맞선	맞서/VV+ㄴ/ETM
3회	3/SN+회/NNB
상대	상대/NNG
선발	선발/NNG
강윤구를	강윤구/NNP+를/JKO
상대로	상대/NNG+로/JKB
2점짜리	2/SN+점/NNB+짜리/XSN
쐐기포를	쐐기포/NNG+를/JKO
터뜨려	터뜨리/VV+어/EC
개인	개인/NNG
한	한/MMN
시즌	시즌/NNG
최다	최다/NNG
홈런(21호)	홈런/NNG+(/SS+21/SN+호/NNB+)/SS
기록을	기록/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.233.4.3
사직(롯데-한화)과 대구(삼성-두산) 경기는 비로 취소됐다.

사직(롯데-한화)과	사직/NNP+(/SS+롯데/NNP+-/SO+한화/NNP+)/SS+과/JC
대구(삼성-두산)	대구/NNP+(/SS+삼성/NNP+-/SO+두산/NNP+)/SS
경기는	경기/NNG+는/JX
비로	비/NNG+로/JKB
취소됐다.	취소/NNG+되/XSV+었/EP+다/EF+./SF


