# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.372
metadata : {}


# id : NWRW1800000038.372.1.1
오바마·시진핑, 캘리포니아 휴양지서 넥타이 풀고 만난다

오바마·시진핑,	오바마/NNP+·/SP+시진핑/NNP+,/SP
캘리포니아	캘리포니아/NNP
휴양지서	휴양지/NNG+서/JKB
넥타이	넥타이/NNG
풀고	풀/VV+고/EC
만난다	만나/VV+ㄴ다/EF


# id : NWRW1800000038.372.2.1
내달 7~8일 첫 정상회담… 워싱턴 아닌 곳서 회담 '이례적'

내달	내달/NNG
7~8일	7/SN+~/SO+8/SN+일/NNB
첫	첫/MMN
정상회담…	정상/NNG+회담/NNG+…/SE
워싱턴	워싱턴/NNP
아닌	아니/VCN+ㄴ/ETM
곳서	곳/NNG+서/JKB
회담	회담/NNG
'이례적'	'/SS+이례/NNG+적/XSN+'/SS


# id : NWRW1800000038.372.3.1
G2(주요 2개국) 정상이 미 캘리포니아 휴양지에서 처음으로 만나 넥타이를 풀고 1박 2일간 '천하 대세'를 논의한다.

G2(주요	G/SL+2/SN+(/SS+주요/NNG
2개국)	2/SN+개국/NNB+)/SS
정상이	정상/NNG+이/JKS
미	미/NNP
캘리포니아	캘리포니아/NNP
휴양지에서	휴양지/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
만나	만나/VV+아/EC
넥타이를	넥타이/NNG+를/JKO
풀고	풀/VV+고/EC
1박	1/SN+박/NNB
2일간	2/SN+일/NNB+간/XSN
'천하	'/SS+천하/NNG
대세'를	대세/NNG+'/SS+를/JKO
논의한다.	논의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.372.4.1
미·중 양국은 버락 오바마얼굴 왼쪽> 미 대통령과 시진핑(習近平·오른쪽) 중국 국가주석이 다음 달 7~8일 캘리포니아 란초미라지의 서니랜즈에서 정상회담을 갖는다고 21일 발표했다.

미·중	미/NNP+·/SP+중/NNP
양국은	양국/NNG+은/JX
버락	버락/NNP
오바마얼굴	오바마/NNP+얼굴/NNG
왼쪽>	왼쪽/NNG+>/SS
미	미/NNP
대통령과	대통령/NNG+과/JC
시진핑(習近平·오른쪽)	시진핑/NNP+(/SS+習近平/SH+·/SP+오른쪽/NNG+)/SS
중국	중국/NNP
