# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.193
metadata : {}


# id : NWRW1800000033.193.1.1
[휴지통]이웃공장 전기 훔쳐쓰다 들통 ‘양심 감전’

[휴지통]이웃공장	[/SS+휴지통/NNG+]/SS+이웃/NNG+공장/NNG
전기	전기/NNG
훔쳐쓰다	훔치/VV+어/EC+쓰/VV+다/EC
들통	들통/NNG
‘양심	‘/SS+양심/NNG
감전’	감전/NNG+’/SS


# id : NWRW1800000033.193.2.1
충북 청원군 남이면에서 플라스틱 재생용품 공장을 운영하는 김모 씨(53)는 올 2월 10일 새로운 압출기를 한 대 들여놓았다.

충북	충북/NNP
청원군	청원군/NNP
남이면에서	남이면/NNP+에서/JKB
플라스틱	플라스틱/NNG
재생용품	재생/NNG+용품/NNG
공장을	공장/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
김모	김/NNP+모/NP
씨(53)는	씨/NNB+(/SS+53/SN+)/SS+는/JX
올	올/NNG
2월	2/SN+월/NNB
10일	10/SN+일/NNB
새로운	새롭/VA+ㄴ/ETM
압출기를	압출기/NNG+를/JKO
한	한/MMN
대	대/NNB
들여놓았다.	들여놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.193.2.2
기계 가동을 위해 전선을 배전반(配電盤)에 연결하던 김 씨는 자신 소유의 배전반이 아닌 인근에서 같은 제품을 생산하는 공장을 운영하는 강모 씨(44)의 배전반에 몰래 연결했다.

기계	기계/NNG
가동을	가동/NNG+을/JKO
위해	위하/VV+아/EC
전선을	전선/NNG+을/JKO
배전반(配電盤)에	배전반/NNG+(/SS+配電盤/SH+)/SS+에/JKB
연결하던	연결/NNG+하/XSV+던/ETM
김	김/NNP
씨는	씨/NNB+는/JX
자신	자신/NNG
소유의	소유/NNG+의/JKG
배전반이	배전반/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
인근에서	인근/NNG+에서/JKB
같은	같/VA+은/ETM
제품을	제품/NNG+을/JKO
생산하는	생산/NNG+하/XSV+는/ETM
공장을	공장/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
강모	강/NNP+모/NP
씨(44)의	씨/NNB+(/SS+44/SN+)/SS+의/JKG
배전반에	배전반/NNG+에/JKB
몰래	몰래/MAG
연결했다.	연결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.193.2.3
‘배전반’은 전류를 받고 보내는 등의 관리를 하는 장치.

‘배전반’은	‘/SS+배전반/NNG+’/SS+은/JX
전류를	전류/NNG+를/JKO
받고	받/VV+고/EC
보내는	보내/VV+는/ETM
등의	등/NNB+의/JKG
관리를	관리/NNG+를/JKO
하는	하/VV+는/ETM
장치.	장치/NNG+./SF


# id : NWRW1800000033.193.3.1
김 씨와 강 씨는 2년 전부터 지난해 9월까지만 해도 김 씨 공장에 있는 배전반을 함께 쓰고 전기료를 나눠 냈다.

김	김/NNP
씨와	씨/NNB+와/JC
강	강/NNP
씨는	씨/NNB+는/JX
2년	2/SN+년/NNB
전부터	전/NNG+부터/JX
지난해	지난해/NNG
9월까지만	9/SN+월/NNB+까지/JX+만/JX
해도	하/VV+아도/EC
씨	씨/NNB
공장에	공장/NNG+에/JKB
있는	있/VA+는/ETM
배전반을	배전반/NNG+을/JKO
함께	함께/MAG
쓰고	쓰/VV+고/EC
전기료를	전기료/NNG+를/JKO
나눠	나누/VV+어/EC
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.193.3.2
그러나 김 씨가 약속을 지키지 않자 강 씨는 혼자 두 달 정도 전기료를 내다가 한국전력에 같은 해 11월 전기 분할 신청을 하고 따로 쓰기 시작했다.

그러나	그러나/MAJ
김	김/NNP
씨가	씨/NNB+가/JKS
약속을	약속/NNG+을/JKO
지키지	지키/VV+지/EC
않자	않/VX+자/EC
강	강/NNP
씨는	씨/NNB+는/JX
혼자	혼자/MAG
두	두/MMN
달	달/NNB
정도	정도/NNG
전기료를	전기료/NNG+를/JKO
내다가	내/VV+다가/EC
한국전력에	한국전력/NNP+에/JKB
같은	같/VA+은/ETM
해	해/NNG
11월	11/SN+월/NNB
전기	전기/NNG
