# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.134
metadata : {}


# id : NWRW1800000048.134.1.1
“북 은하3호 ICBM 전환 10년이상 걸려”

“북	“/SS+북/NNP
은하3호	은하3호/NNP
ICBM	ICBM/SL
전환	전환/NNG
10년이상	10/SN+년/NNB+이상/NNG
걸려”	걸리/VV+어/EF+”/SS


# id : NWRW1800000048.134.2.1
미 MIT대 포스톨 교수 밝혀

미	미/NNP
MIT대	MIT대/NNP
포스톨	포스톨/NNP
교수	교수/NNG
밝혀	밝히/VV+어/EF


# id : NWRW1800000048.134.3.1
“사드 배치땐 중 핵공격 목표될수도”

“사드	“/SS+사드/NNG
배치땐	배치/NNG+때/NNG+ㄴ/JX
중	중/NNP
핵공격	핵/NNG+공격/NNG
목표될수도”	목표/NNG+되/XSV+ㄹ/ETM+수/NNB+도/JX+”/SS


# id : NWRW1800000048.134.4.1
북한이 지난 2012년 12월 인공위성을 탑재해 발사한 ‘은하3호’ 로켓 기술을 대륙간탄도미사일(ICBM)로 전환하려면 최소한 10년 이상의 상당한 시간이 걸릴 것이라는 주장이 나왔다.

북한이	북한/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
2012년	2012/SN+년/NNB
12월	12/SN+월/NNB
인공위성을	인공위성/NNG+을/JKO
탑재해	탑재/NNG+하/XSV+아/EC
발사한	발사/NNG+하/XSV+ㄴ/ETM
‘은하3호’	‘/SS+은하3호/NNP+’/SS
로켓	로켓/NNG
기술을	기술/NNG+을/JKO
대륙간탄도미사일(ICBM)로	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS+로/JKB
전환하려면	전환/NNG+하/XSV+려면/EC
최소한	최소한/NNG
10년	10/SN+년/NNB
이상의	이상/NNG+의/JKG
상당한	상당/NNG+하/XSA+ㄴ/ETM
시간이	시간/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
주장이	주장/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.134.5.1
미국의 대표적인 미사일 전문가인 시어도어 포스톨 미국 매사추세츠공과대학(MIT) 교수는 15일(현지시각) 워싱턴 싱크탱크인 카네기 국제평화재단 주최로 열린 ‘미국의 미사일 방어는 중국을 겨냥한 것인가’라는 주제의 세미나와 <한겨레> 등에 제공한 자료를 통해 이렇게 밝혔다.

미국의	미국/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
미사일	미사일/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
시어도어	시어도어/NNP
포스톨	포스톨/NNP
미국	미국/NNP
매사추세츠공과대학(MIT)	매사추세츠공과대학/NNP+(/SS+MIT/SL+)/SS
교수는	교수/NNG+는/JX
15일(현지시각)	15/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
워싱턴	워싱턴/NNP
싱크탱크인	싱크탱크/NNG+이/VCP+ㄴ/ETM
카네기	카네기/NNP
국제평화재단	국제평화재단/NNP
주최로	주최/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
‘미국의	‘/SS+미국/NNP+의/JKG
방어는	방어/NNG+는/JX
중국을	중국/NNP+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
것인가’라는	것/NNB+이/VCP+ㄴ가/EF+’/SS+이/VCP+라는/ETM
주제의	주제/NNG+의/JKG
세미나와	세미나/NNG+와/JC
<한겨레>	</SS+한겨레/NNP+>/SS
등에	등/NNB+에/JKB
제공한	제공/NNG+하/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
통해	통하/VV+아/EC
이렇게	이렇/VA+게/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.134.6.1
포스톨 교수는 이날 토론회에서 한국에 사드(고고도 미사일방어체계) 배치가 시급하지 않은 근거 중의 하나로 북한의 로켓 기술이 대륙간탄도미사일 수준에 아직 미치지 못했음을 들며, “은하3호는 순수하게 인공위성 발사를 위해 설계됐다는 점을 아주 자신있게 구체적으로 보여줄 수 있다”고 말했다.

포스톨	포스톨/NNP
교수는	교수/NNG+는/JX
이날	이날/NNG
토론회에서	토론회/NNG+에서/JKB
한국에	한국/NNP+에/JKB
사드(고고도	사드/NNG+(/SS+고/XPN+고도/NNG
미사일방어체계)	미사일/NNG+방어/NNG+체계/NNG+)/SS
배치가	배치/NNG+가/JKS
시급하지	시급하/VA+지/EC
않은	않/VX+은/ETM
근거	근거/NNG
중의	중/NNB+의/JKG
하나로	하나/NR+로/JKB
북한의	북한/NNP+의/JKG
로켓	로켓/NNG
기술이	기술/NNG+이/JKS
대륙간탄도미사일	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG
수준에	수준/NNG+에/JKB
아직	아직/MAG
미치지	미치/VV+지/EC
못했음을	못하/VX+았/EP+음/ETN+을/JKO
들며,	들/VV+며/EC+,/SP
“은하3호는	“/SS+은하3호/NNP+는/JX
순수하게	순수/NNG+하/XSA+게/EC
인공위성	인공위성/NNG
발사를	발사/NNG+를/JKO
위해	위하/VV+아/EC
설계됐다는	설계/NNG+되/XSV+었/EP+다는/ETM
점을	점/NNG+을/JKO
아주	아주/MAG
자신있게	자신/NNG+있/VA+게/EC
구체적으로	구체/NNG+적/XSN+으로/JKB
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.134.7.1
그는 은하3호를 미국 본토에 도달할 수 있는 대륙간탄도미사일로 전환하려면 “1t가량의 핵탄두를 얹어 1만㎞ 이상의 사거리를 날아가야 한다”며 “이를 위해선 1단 로켓을 전적으로 새로 만들어야 한다”고 강조했다.

그는	그/NP+는/JX
은하3호를	은하3호/NNP+를/JKO
미국	미국/NNP
본토에	본토/NNG+에/JKB
도달할	도달/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대륙간탄도미사일로	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+로/JKB
전환하려면	전환/NNG+하/XSV+려면/EC
“1t가량의	“/SS+1/SN+t/SW+가량/XSN+의/JKG
핵탄두를	핵탄두/NNG+를/JKO
얹어	얹/VV+어/EC
1만㎞	1/SN+만/NR+㎞/SW
이상의	이상/NNG+의/JKG
사거리를	사거리/NNG+를/JKO
날아가야	날아가/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“이를	“/SS+이/NP+를/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
1단	1/SN+단/NNG
로켓을	로켓/NNG+을/JKO
전적으로	전적/NNG+으로/JKB
새로	새로/MAG
만들어야	만들/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.134.7.2
은하3호는 모두 3단 로켓으로 구성돼 있으며, 2012년 발사 당시 탑재된 인공위성의 무게는 100㎏ 수준인 것으로 알려져 있다.

은하3호는	은하3호/NNP+는/JX
모두	모두/MAG
3단	3/SN+단/NNG
로켓으로	로켓/NNG+으로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있으며,	있/VX+으며/EC+,/SP
2012년	2012/SN+년/NNB
발사	발사/NNG
당시	당시/NNG
탑재된	탑재/NNG+되/XSV+ㄴ/ETM
인공위성의	인공위성/NNG+의/JKG
무게는	무게/NNG+는/JX
100㎏	100/SN+㎏/SW
수준인	수준/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.134.8.1
그는 이어 “50% 이상의 추가 연료와 6개의 노동 엔진으로 구성된 1단 로켓의 추진체를 새로 만드는 것은 상당히 거대한 작업”이라고 말했다.

그는	그/NP+는/JX
이어	이어/MAG
“50%	“/SS+50/SN+%/SW
이상의	이상/NNG+의/JKG
추가	추가/NNG
연료와	연료/NNG+와/JC
6개의	6/SN+개/NNB+의/JKG
노동	노동/NNG
엔진으로	엔진/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
1단	1/SN+단/NNG
로켓의	로켓/NNG+의/JKG
추진체를	추진체/NNG+를/JKO
새로	새로/MAG
만드는	만들/VV+는/ETM
것은	것/NNB+은/JX
상당히	상당히/MAG
거대한	거대/NNG+하/XSA+ㄴ/ETM
작업”이라고	작업/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.134.8.2
그는 또 “6개의 엔진의 출력 편차를 줄이는 것과 엔진 및 연료를 로켓기체로 통합하는 것은 미사일 기술개발 과정에서 상당한 도전”이라며 “북한이 새로운 단계의 기술을 발전시키려면 최소한 10년 이상이 걸릴 것”고 예상했다.

그는	그/NP+는/JX
또	또/MAG
