# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.231
metadata : {}


# id : NWRW1800000054.231.1.1
[땅, 땅… 오늘의 판결] "백제 풍납토성 복원 위해 삼표 레미콘공장 이전하라"

[땅,	[/SS+땅/MAG+,/SP
땅…	땅/MAG+…/SE
오늘의	오늘/NNG+의/JKG
판결]	판결/NNG+]/SS
"백제	"/SS+백제/NNP
풍납토성	풍납토성/NNP
복원	복원/NNG
위해	위하/VV+아/EC
삼표	삼표/NNP
레미콘공장	레미콘/NNG+공장/NNG
이전하라"	이전/NNG+하/XSV+라/EF+"/SS


# id : NWRW1800000054.231.2.1
대전 고법 "삼표 공장 지하에 유물 존재 가능성"… 1심 뒤집어

대전	대전/NNP
고법	고법/NNG
"삼표	"/SS+삼표/NNP
공장	공장/NNG
지하에	지하/NNG+에/JKB
유물	유물/NNG
존재	존재/NNG
가능성"…	가능/NNG+성/XSN+"/SS+…/SE
1심	1심/NNG
뒤집어	뒤집/VV+어/EC


# id : NWRW1800000054.231.3.1
레미콘 업체 삼표산업이 서울 송파구 풍납공장 이전 결정이 부당하다며 국토교통부를 상대로 제기한 항소심에서 패소했다.

레미콘	레미콘/NNG
업체	업체/NNG
삼표산업이	삼표산업/NNP+이/JKS
서울	서울/NNP
송파구	송파구/NNP
풍납공장	풍납/NNP+공장/NNG
이전	이전/NNG
결정이	결정/NNG+이/JKS
부당하다며	부당/NNG+하/XSA+다며/EC
국토교통부를	국토/NNG+교통부/NNG+를/JKO
상대로	상대/NNG+로/JKB
제기한	제기/NNG+하/XSV+ㄴ/ETM
항소심에서	항소심/NNG+에서/JKB
패소했다.	패소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.231.3.2
판결이 대법원에서 확정되면 삼표는 강남구 삼성동 현대차그룹 신사옥(GBC) 건설이라는 호재를 앞두고 풍납공장을 강제 이전해야 한다.

판결이	판결/NNG+이/JKS
대법원에서	대/XPN+법원/NNG+에서/JKB
확정되면	확정/NNG+되/XSV+면/EC
삼표는	삼표/NNP+는/JX
강남구	강남구/NNP
삼성동	삼성동/NNP
현대차그룹	현대차그룹/NNP
신사옥(GBC)	신/XPN+사옥/NNG+(/SS+GBC/SL+)/SS
건설이라는	건설/NNG+이/VCP+라는/ETM
호재를	호재/NNG+를/JKO
앞두고	앞두/VV+고/EC
풍납공장을	풍납/NNP+공장/NNG+을/JKO
강제	강제/NNG
이전해야	이전/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.231.3.3
서울시와 송파구, 문화재청은 삼표 공장 지하에 백제의 유물이 묻혀 있는 것으로 추정된다면서 공장 이전과 풍납토성 복원 사업을 추진해왔다.

서울시와	서울시/NNP+와/JC
송파구,	송파구/NNP+,/SP
문화재청은	문화재청/NNG+은/JX
삼표	삼표/NNP
공장	공장/NNG
지하에	지하/NNG+에/JKB
백제의	백제/NNP+의/JKG
유물이	유물/NNG+이/JKS
묻혀	묻히/VV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
추정된다면서	추정/NNG+되/XSV+ㄴ다면서/EC
이전과	이전/NNG+과/JC
풍납토성	풍납토성/NNP
복원	복원/NNG
사업을	사업/NNG+을/JKO
추진해왔다.	추진/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.231.3.4
국토부가 지난해 2월 이를 승인하자 삼표 측은 국토부를 상대로 소송을 제기했다.

국토부가	국토부/NNG+가/JKS
지난해	지난해/NNG
2월	2/SN+월/NNB
이를	이/NP+를/JKO
승인하자	승인/NNG+하/XSV+자/EC
삼표	삼표/NNP
측은	측/NNB+은/JX
국토부를	국토부/NNG+를/JKO
상대로	상대/NNG+로/JKB
소송을	소송/NNG+을/JKO
