# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.182
metadata : {}


# id : NWRW1800000046.182.1.1
[땅,땅… 오늘의 판결] 모뉴엘 대표 '3兆 사기대출' 징역 23년 외

[땅,땅…	[/SS+땅/MAG+,/SP+땅/MAG+…/SE
오늘의	오늘/NNG+의/JKG
판결]	판결/NNG+]/SS
모뉴엘	모뉴엘/NNP
대표	대표/NNG
'3兆	'/SS+3/SN+兆/SH
사기대출'	사기/NNG+대출/NNG+'/SS
징역	징역/NNG
23년	23/SN+년/NNB
외	외/NNB


# id : NWRW1800000046.182.2.1
모뉴엘 대표 '3兆 사기대출' 징역 23년

모뉴엘	모뉴엘/NNP
대표	대표/NNG
'3兆	'/SS+3/SN+兆/SH
사기대출'	사기/NNG+대출/NNG+'/SS
징역	징역/NNG
23년	23/SN+년/NNB


# id : NWRW1800000046.182.3.1
서울중앙지법 형사 25부(재판장 김동아)는 16일 사기대출 혐의로 구속기소된 모뉴엘 박홍석(53) 대표에게 징역 23년에 추징금 361억원을 선고했다.

서울중앙지법	서울중앙지법/NNP
형사	형사/NNG
25부(재판장	25/SN+부/NNG+(/SS+재판장/NNG
김동아)는	김동아/NNP+)/SS+는/JX
16일	16/SN+일/NNB
사기대출	사기/NNG+대출/NNG
혐의로	혐의/NNG+로/JKB
구속기소된	구속/NNG+기소/NNG+되/XSV+ㄴ/ETM
모뉴엘	모뉴엘/NNP
박홍석(53)	박홍석/NNP+(/SS+53/SN+)/SS
대표에게	대표/NNG+에게/JKB
징역	징역/NNG
23년에	23/SN+년/NNB+에/JKB
추징금	추징금/NNG
361억원을	361/SN+억/NR+원/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.182.4.1
박 대표가 이렇듯 중형(重刑)을 선고받은 것은 사기대출 규모와 그에 따른 피해가 막대하기 때문이다.

박	박/NNP
대표가	대표/NNG+가/JKS
이렇듯	이렇/VA+듯/EC
중형(重刑)을	중형/NNG+(/SS+重刑/SH+)/SS+을/JKO
선고받은	선고/NNG+받/XSV+은/ETM
것은	것/NNB+은/JX
사기대출	사기/NNG+대출/NNG
규모와	규모/NNG+와/JC
그에	그/NP+에/JKB
따른	따르/VV+ㄴ/ETM
피해가	피해/NNG+가/JKS
막대하기	막대하/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.182.4.2
대기업 영업맨 출신인 박씨는 2007년 가전(家電) 벤처 기업인 모뉴엘을 인수했다.

대기업	대/XPN+기업/NNG
영업맨	영업/NNG+맨/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
박씨는	박/NNP+씨/NNB+는/JX
2007년	2007/SN+년/NNB
가전(家電)	가전/NNG+(/SS+家電/SH+)/SS
벤처	벤처/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
모뉴엘을	모뉴엘/NNP+을/JKO
인수했다.	인수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.182.4.3
지난해 1조2000억원의 매출을 올리면서 '벤처 신화'라는 소리를 들었다.

지난해	지난해/NNG
1조2000억원의	1/SN+조/NR+2000/SN+억/NR+원/NNB+의/JKG
매출을	매출/NNG+을/JKO
올리면서	올리/VV+면서/EC
'벤처	'/SS+벤처/NNG
신화'라는	신화/NNG+'/SS+이/VCP+라는/ETM
소리를	소리/NNG+를/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.182.4.4
2010년부터 3년 연속 국무총리 표창도 받았다.

2010년부터	2010/SN+년/NNB+부터/JX
3년	3/SN+년/NNB
연속	연속/NNG
국무총리	국무총리/NNG
표창도	표창/NNG+도/JX
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.182.5.1
하지만 이는 제품 가격을 부풀리거나, 수출하지 않고도 수출한 것처럼 서류를 꾸며 만든 '가공(架空) 매출'이었다.

하지만	하지만/MAJ
이는	이/NP+는/JX
제품	제품/NNG
가격을	가격/NNG+을/JKO
부풀리거나,	부풀리/VV+거나/EC+,/SP
수출하지	수출/NNG+하/XSV+지/EC
