# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.332
metadata : {}


# id : NWRW1800000025.332.1.1
[10대 흡연 ‘청소년 골초’가 늘고 있다]<上>더 일찍…더 많이…어려지는 흡연층

[10대	[/SS+10/SN+대/NNB
흡연	흡연/NNG
‘청소년	‘/SS+청소년/NNG
골초’가	골초/NNG+’/SS+가/JKS
늘고	늘/VV+고/EC
있다]<上>더	있/VX+다/EF+]/SS+</SS+上/SH+>/SS+더/MAG
일찍…더	일찍/MAG+…/SE+더/MAG
많이…어려지는	많이/MAG+…/SE+어리/VA+어/EC+지/VX+는/ETM
흡연층	흡연/NNG+층/XSN


# id : NWRW1800000025.332.2.1
《국내 흡연율은 좀처럼 떨어질 줄 모른다.

《국내	《/SS+국내/NNG
흡연율은	흡연/NNG+율/XSN+은/JX
좀처럼	좀처럼/MAG
떨어질	떨어지/VV+ㄹ/ETM
줄	줄/NNB
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.332.2.2
더구나 매일 담배를 피우는 ‘골초’ 학생은 증가 일로다.

더구나	더구나/MAG
매일	매일/MAG
담배를	담배/NNG+를/JKO
피우는	피우/VV+는/ETM
‘골초’	‘/SS+골초/NNG+’/SS
학생은	학생/NNG+은/JX
증가	증가/NNG
일로다.	일로/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.332.2.3
정부와 지방자치단체는 담뱃값 인상과 금연구역 확대 등 정책을 펴려고 하지만 반발이 만만치 않아 아직 실시하지 못하고 있다.

정부와	정부/NNG+와/JC
지방자치단체는	지방/NNG+자치/NNG+단체/NNG+는/JX
담뱃값	담뱃값/NNG
인상과	인상/NNG+과/JC
금연구역	금연/NNG+구역/NNG
확대	확대/NNG
등	등/NNB
정책을	정책/NNG+을/JKO
펴려고	펴/VV+려고/EC
하지만	하/VX+지만/EC
반발이	반발/NNG+이/JKS
만만치	만만하/VA+지/EC
않아	않/VX+아/EC
아직	아직/MAG
실시하지	실시/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.332.2.4
동아일보는 보건복지부와 함께 청소년 흡연율 증가를 막고 금연정책의 돌파구를 마련하기 위해 금연 시리즈를 2회에 걸쳐 싣는다.》

동아일보는	동아일보/NNP+는/JX
보건복지부와	보건/NNG+복지부/NNG+와/JKB
함께	함께/MAG
청소년	청소년/NNG
흡연율	흡연/NNG+율/XSN
증가를	증가/NNG+를/JKO
막고	막/VV+고/EC
금연정책의	금연/NNG+정책/NNG+의/JKG
돌파구를	돌파구/NNG+를/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
금연	금연/NNG
시리즈를	시리즈/NNG+를/JKO
2회에	2/SN+회/NNB+에/JKB
걸쳐	걸치/VV+어/EC
싣는다.》	싣/VV+는다/EF+./SF+》/SS


# id : NWRW1800000025.332.3.1
○ 골초 학생 급증

○	○/SW
골초	골초/NNG
학생	학생/NNG
급증	급증/NNG


# id : NWRW1800000025.332.4.1
5년 동안 매일 담배를 피우던 김모 군(17)은 최근 발가락 끝이 파랗게 변해 병원을 찾았다.

5년	5/SN+년/NNB
동안	동안/NNG
매일	매일/MAG
담배를	담배/NNG+를/JKO
피우던	피우/VV+던/ETM
김모	김/NNP+모/NP
군(17)은	군/NNB+(/SS+17/SN+)/SS+은/JX
최근	최근/NNG
발가락	발가락/NNG
끝이	끝/NNG+이/JKS
파랗게	파랗/VA+게/EC
변해	변하/VV+아/EC
병원을	병원/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.332.4.2
40대 흡연자들이 자주 걸리는 버거병이었다.

40대	40/SN+대/NNB
흡연자들이	흡연자/NNG+들/XSN+이/JKS
자주	자주/MAG
걸리는	걸리/VV+는/ETM
버거병이었다.	버거병/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.332.4.3
의료진은 김 군에게 “담배를 끊지 않으면 말초혈관이 막혀 발가락을 하나씩 잘라야 한다”고 경고했다.

의료진은	의료진/NNG+은/JX
김	김/NNP
군에게	군/NNB+에게/JKB
“담배를	“/SS+담배/NNG+를/JKO
