# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.393
metadata : {}


# id : NWRW1800000028.393.1.1
“양천고 비리고발 교사 해임은 위법

“양천고	“/SS+양천고/NNP
비리고발	비리/NNG+고발/NNG
교사	교사/NNG
해임은	해임/NNG+은/JX
위법	위법/NNG


# id : NWRW1800000028.393.2.1
학교 내부 비리를 고발한 서울 양천고 전 교사 김형태(45·서울시 교육의원)씨에 대한 해임 처분은 위법하므로 취소해야 한다는 법원의 판결이 나왔다.

학교	학교/NNG
내부	내부/NNG
비리를	비리/NNG+를/JKO
고발한	고발/NNG+하/XSV+ㄴ/ETM
서울	서울/NNP
양천고	양천고/NNP
전	전/MMD
교사	교사/NNG
김형태(45·서울시	김형태/NNP+(/SS+45/SN+·/SP+서울시/NNP
교육의원)씨에	교육/NNG+의원/NNG+)/SS+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
해임	해임/NNG
처분은	처분/NNG+은/JX
위법하므로	위법/NNG+하/XSV+므로/EC
취소해야	취소/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
법원의	법원/NNG+의/JKG
판결이	판결/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.393.2.2
학교 쪽 ‘파면’ 처분에 대해 심사한 교육과학기술부가 처분을 ‘해임’으로 낮추는 데 그치자 법원이 “(해임 처분도) 균형을 잃은 과중한 처분으로 재량권을 일탈·남용했다”고 지적한 것이다.

학교	학교/NNG
쪽	쪽/NNB
‘파면’	‘/SS+파면/NNG+’/SS
처분에	처분/NNG+에/JKB
대해	대하/VV+아/EC
심사한	심사/NNG+하/XSV+ㄴ/ETM
교육과학기술부가	교육/NNG+과학/NNG+기술부/NNG+가/JKS
처분을	처분/NNG+을/JKO
‘해임’으로	‘/SS+해임/NNG+’/SS+으로/JKB
낮추는	낮추/VV+는/ETM
데	데/NNB
그치자	그치/VV+자/EC
법원이	법원/NNG+이/JKS
“(해임	“/SS+(/SS+해임/NNG
처분도)	처분/NNG+도/JX+)/SS
균형을	균형/NNG+을/JKO
잃은	잃/VV+은/ETM
과중한	과중하/VA+ㄴ/ETM
처분으로	처분/NNG+으로/JKB
재량권을	재량/NNG+권/XSN+을/JKO
일탈·남용했다”고	일탈/NNG+·/SP+남용/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
지적한	지적/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.393.3.1
서울행정법원 행정6부(재판장 김홍도)는 김씨가 교과부 교원소청심사위원회를 상대로 낸 ‘파면처분 취소 소청심사결정 취소’ 청구소송에서 “파면처분을 해임처분으로 바꾼 결정은 과중한 처분으로 취소돼야 한다”고 판결했다고 7일 밝혔다.

서울행정법원	서울행정법원/NNP
행정6부(재판장	행정/NNG+6/SN+부/NNG+(/SS+재판장/NNG
김홍도)는	김홍도/NNP+)/SS+는/JX
김씨가	김/NNP+씨/NNB+가/JKS
교과부	교과부/NNG
교원소청심사위원회를	교원/NNG+소청/NNG+심사/NNG+위원회/NNG+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
‘파면처분	‘/SS+파면/NNG+처분/NNG
취소	취소/NNG
소청심사결정	소청/NNG+심사/NNG+결정/NNG
