# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.283
metadata : {}


# id : NWRW1800000029.283.1.1
스타 기근 LPGA “미셸 위, 빨리 졸업해”

스타	스타/NNG
기근	기근/NNG
LPGA	LPGA/SL
“미셸	“/SS+미셸/NNP
위,	위/NNP+,/SP
빨리	빨리/MAG
졸업해”	졸업/NNG+하/XSV+아/EC+”/SS


# id : NWRW1800000029.283.2.1
투어 전념 못해 성적 부진내년 봄 졸업, 두학기 남아

투어	투어/NNG
전념	전념/NNG
못해	못/MAG+하/VV+아/EC
성적	성적/NNG
부진내년	부진/NNG+내년/NNG
봄	봄/NNG
졸업,	졸업/NNG+,/SP
두학기	두/MMN+학기/NNG
남아	남/VV+아/EF


# id : NWRW1800000029.283.3.1
혹시나 했더니 역시나였다.

혹시나	혹시나/MAG
했더니	하/VV+았/EP+더니/EC
역시나였다.	역시/MAG+나/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.283.4.1
천재 골프 소녀 미셸 위(22·사진) 얘기다.

천재	천재/NNG
골프	골프/NNG
소녀	소녀/NNG
미셸	미셸/NNP
위(22·사진)	위/NNP+(/SS+22/SN+·/SP+사진/NNG+)/SS
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.283.4.2
그는 유소연(한화)의 우승으로 끝난 올 US여자오픈에서 본선 진출자 71명 중 공동 55위에 그쳤다.

그는	그/NP+는/JX
유소연(한화)의	유소연/NNP+(/SS+한화/NNP+)/SS+의/JKG
우승으로	우승/NNG+으로/JKB
끝난	끝나/VV+ㄴ/ETM
올	올/NNG
US여자오픈에서	US/SL+여자/NNG+오픈/NNG+에서/JKB
본선	본선/NNG
진출자	진출자/NNG
71명	71/SN+명/NNB
중	중/NNB
공동	공동/NNG
55위에	55/SN+위/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.283.4.3
대회가 열린 미국 콜로라도스프링스 브로드무어골프장(파71)에서 만난 미셸 위는 개막 전부터 논란을 일으켰다.

대회가	대회/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
미국	미국/NNP
콜로라도스프링스	콜로라도스프링스/NNP
브로드무어골프장(파71)에서	브로드무어골프장/NNP+(/SS+파/NNG+71/SN+)/SS+에서/JKB
만난	만나/VV+ㄴ/ETM
미셸	미셸/NNP
위는	위/NNP+는/JX
개막	개막/NNG
