# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.341
metadata : {}


# id : NWRW1800000021.341.1.1
[Money & Life]배당주의 계절이 왔다

[Money	[/SS+Money/SL
&	&/SW
Life]배당주의	Life/SL+]/SS+배당주/NNG+의/JKG
계절이	계절/NNG+이/JKS
왔다	오/VV+았/EP+다/EF


# id : NWRW1800000021.341.2.1
《 연말이 다가올수록 투자자들 사이에선 배당주에 대한 관심이 커진다.

《	《/SS
연말이	연말/NNG+이/JKS
다가올수록	다가오/VV+ㄹ수록/EC
투자자들	투자자/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
배당주에	배당주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
커진다.	커지/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.341.2.2
배당주 투자는 형식은 주식투자와 다를 바 없지만 내용을 보면 적금이나 채권 투자 개념에 가깝다.

배당주	배당주/NNG
투자는	투자/NNG+는/JX
형식은	형식/NNG+은/JX
주식투자와	주식/NNG+투자/NNG+와/JKB
다를	다르/VA+ㄹ/ETM
바	바/NNB
없지만	없/VA+지만/EC
내용을	내용/NNG+을/JKO
보면	보/VV+면/EC
적금이나	적금/NNG+이나/JC
채권	채권/NNG
투자	투자/NNG
개념에	개념/NNG+에/JKB
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000021.341.2.3
시황이 계속 하락하는 국면에서도 상대적으로 안정적인 수익을 거둘 수 있기 때문이다.

시황이	시황/NNG+이/JKS
계속	계속/MAG
하락하는	하락/NNG+하/XSV+는/ETM
국면에서도	국면/NNG+에서/JKB+도/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
수익을	수익/NNG+을/JKO
거둘	거두/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.341.2.4
또 최근 증시가 단기급등에 대한 우려로 조정 가능성이 제기되면서 배당을 많이 주는 주식에 대한 관심이 더 많아졌다.

또	또/MAG
최근	최근/NNG
증시가	증시/NNG+가/JKS
단기급등에	단기/NNG+급등/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려로	우려/NNG+로/JKB
조정	조정/NNG
가능성이	가능/NNG+성/XSN+이/JKS
제기되면서	제기/NNG+되/XSV+면서/EC
배당을	배당/NNG+을/JKO
많이	많이/MAG
주는	주/VV+는/ETM
주식에	주식/NNG+에/JKB
관심이	관심/NNG+이/JKS
더	더/MAG
많아졌다.	많아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.341.3.1
배당주 투자에는 크게 두 가지 방법이 있다.

배당주	배당주/NNG
투자에는	투자/NNG+에/JKB+는/JX
크게	크/VA+게/EC
두	두/MMN
가지	가지/NNB
방법이	방법/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.341.3.2
우선 배당 기준일까지 주식을 보유한 뒤 나중에 실제 배당을 받아 그 이득을 취하는 방법이 있고 또 연말로 갈수록 배당 매력이 커져 주가가 오르면 이 주식을 중간에 팔아 차익을 챙기는 방법이 있다.》

우선	우선/MAG
배당	배당/NNG
기준일까지	기준일/NNG+까지/JX
주식을	주식/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
나중에	나중/NNG+에/JKB
실제	실제/NNG
배당을	배당/NNG+을/JKO
받아	받/VV+아/EC
그	그/MMD
이득을	이득/NNG+을/JKO
취하는	취하/VV+는/ETM
방법이	방법/NNG+이/JKS
있고	있/VA+고/EC
또	또/MAG
연말로	연말/NNG+로/JKB
갈수록	갈수록/MAG
매력이	매력/NNG+이/JKS
커져	커지/VV+어/EC
주가가	주가/NNG+가/JKS
오르면	오르/VV+면/EC
이	이/MMD
중간에	중간/NNG+에/JKB
팔아	팔/VV+아/EC
차익을	차익/NNG+을/JKO
챙기는	챙기/VV+는/ETM
있다.》	있/VA+다/EF+./SF+》/SS


# id : NWRW1800000021.341.4.1
전자의 경우는 배당수익률이 높을 것으로 예상되는 주식을 잘 잡아야 한다.

전자의	전자/NNG+의/JKG
경우는	경우/NNG+는/JX
배당수익률이	배당/NNG+수익/NNG+률/XSN+이/JKS
높을	높/VA+을/ETM
