# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.108
metadata : {}


# id : NWRW1800000052.108.1.1
중국, 북한 석탄 수입 일시중단 발표

중국,	중국/NNP+,/SP
북한	북한/NNP
석탄	석탄/NNG
수입	수입/NNG
일시중단	일시/NNG+중단/NNG
발표	발표/NNG


# id : NWRW1800000052.108.2.1
유엔 안보리 새 결의안에 따라 이달 말까지 중단

유엔	유엔/NNP
안보리	안보리/NNG
새	새/MMA
결의안에	결의안/NNG+에/JKB
따라	따르/VV+아/EC
이달	이달/NNG
말까지	말/NNB+까지/JX
중단	중단/NNG


# id : NWRW1800000052.108.3.1
중국 석탄 산지 서부 집중…동북 수요 어떻게?

중국	중국/NNP
석탄	석탄/NNG
산지	산지/NNG
서부	서부/NNG
집중…동북	집중/NNG+…/SE+동북/NNG
수요	수요/NNG
어떻게?	어떻/VA+게/EF+?/SF


# id : NWRW1800000052.108.4.1
북한산 석탄 수출에 제한을 가한 유엔 안전보장이사회의 새로운 대북제재 결의안(2321호)이 채택된 가운데, 중국이 올해 말까지 북한산 석탄 수입을 일시 중단한다고 공식 발표했다.

북한산	북한/NNP+산/XSN
석탄	석탄/NNG
수출에	수출/NNG+에/JKB
제한을	제한/NNG+을/JKO
가한	가하/VV+ㄴ/ETM
유엔	유엔/NNP
안전보장이사회의	안전/NNG+보장/NNG+이사회/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
대북제재	대북/NNG+제재/NNG
결의안(2321호)이	결의안/NNG+(/SS+2321/SN+호/NNB+)/SS+이/JKS
채택된	채택/NNG+되/XSV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
중국이	중국/NNP+이/JKS
올해	올해/NNG
말까지	말/NNB+까지/JX
수입을	수입/NNG+을/JKO
일시	일시/MAG
중단한다고	중단/NNG+하/XSV+ㄴ다고/EC
공식	공식/NNG
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.108.5.1
중국 상무부는 10일 오후 누리집 공고를 통해 “조선(북)산 석탄 수입을 일시 중단한다”며 “공고가 집행되기 전 발송됐거나 이미 중국에 도착한 경우는 통과를 허가해도 좋다”고 밝혔다.

중국	중국/NNP
상무부는	상무부/NNG+는/JX
10일	10/SN+일/NNB
오후	오후/NNG
누리집	누리집/NNG
공고를	공고/NNG+를/JKO
통해	통하/VV+아/EC
“조선(북)산	“/SS+조선/NNP+(/SS+북/NNP+)/SS+산/XSN
석탄	석탄/NNG
수입을	수입/NNG+을/JKO
일시	일시/MAG
중단한다”며	중단/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“공고가	“/SS+공고/NNG+가/JKS
집행되기	집행/NNG+되/XSV+기/ETN
전	전/NNG
발송됐거나	발송/NNG+되/XSV+었/EP+거나/EC
이미	이미/MAG
중국에	중국/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
경우는	경우/NNG+는/JX
통과를	통과/NNG+를/JKO
허가해도	허가/NNG+하/XSV+아도/EC
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.108.5.2
발표일이 9일인 이 공고는 11일부터 집행돼 31일까지 유효하다고 명시했다.

발표일이	발표일/NNG+이/JKS
9일인	9/SN+일/NNB+이/VCP+ㄴ/ETM
이	이/MMD
공고는	공고/NNG+는/JX
11일부터	11/SN+일/NNB+부터/JX
집행돼	집행/NNG+되/XSV+어/EC
31일까지	31/SN+일/NNB+까지/JX
유효하다고	유효/NNG+하/XSA+다고/EC
명시했다.	명시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.108.5.3
20일가량 한시적이지만 중국이 북한산 석탄 수입을 전면 중단한 것은 이례적인 조처이다.

20일가량	20/SN+일/NNB+가량/XSN
한시적이지만	한시/NNG+적/XSN+이/VCP+지만/EC
중국이	중국/NNP+이/JKS
북한산	북한/NNP+산/XSN
석탄	석탄/NNG
수입을	수입/NNG+을/JKO
전면	전면/NNG
중단한	중단/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
조처이다.	조처/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.108.5.4
공고는 “유엔 안보리 2321호 결의를 집행하기 위해서”라고 목적을 밝혔다.

공고는	공고/NNG+는/JX
“유엔	“/SS+유엔/NNP
안보리	안보리/NNG
2321호	2321/SN+호/NNB
결의를	결의/NNG+를/JKO
집행하기	집행/NNG+하/XSV+기/ETN
위해서”라고	위하/VV+아서/EC+”/SS+라고/JKQ
목적을	목적/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.108.6.1
지난달 30일 채택된 안보리 결의안 2321호는 올해 말까지 북한의 석탄 수출이 약 5350만달러어치 또는 100만t을 초과하지 않도록, 내년부터는 연간 수출이 약 4억87만달러 또는 750만t을 초과하지 않도록 금지하고 있다.

지난달	지난달/NNG
30일	30/SN+일/NNB
채택된	채택/NNG+되/XSV+ㄴ/ETM
안보리	안보리/NNG
결의안	결의안/NNG
2321호는	2321/SN+호/NNB+는/JX
올해	올해/NNG
말까지	말/NNB+까지/JX
북한의	북한/NNP+의/JKG
석탄	석탄/NNG
수출이	수출/NNG+이/JKS
약	약/MMA
5350만달러어치	5350/SN+만/NR+달러/NNB+어치/XSN
또는	또는/MAG
100만t을	100/SN+만/NR+t/SW+을/JKO
초과하지	초과/NNG+하/XSV+지/EC
않도록,	않/VX+도록/EC+,/SP
내년부터는	내년/NNG+부터/JX+는/JX
연간	연간/NNG
4억87만달러	4/SN+억/NR+87/SN+만/NR+달러/NNB
750만t을	750/SN+만/NR+t/SW+을/JKO
않도록	않/VX+도록/EC
금지하고	금지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.108.6.2
만약, 상한선을 넘으면 유엔은 회원국들에 북한산 석탄 수입 중단을 지시하게 된다.

만약,	만약/MAG+,/SP
상한선을	상한선/NNG+을/JKO
넘으면	넘/VV+으면/EC
유엔은	유엔/NNP+은/JX
회원국들에	회원국/NNG+들/XSN+에/JKB
북한산	북한/NNP+산/XSN
석탄	석탄/NNG
수입	수입/NNG
중단을	중단/NNG+을/JKO
지시하게	지시/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.108.7.1
한국 정부 고위당국자는 “북한 석탄을 수입하는 나라가 중국 밖에 없으니, 사실상 중국에 대한 요구”라고 말했다.

한국	한국/NNP
정부	정부/NNG
고위당국자는	고위/NNG+당국자/NNG+는/JX
“북한	“/SS+북한/NNP
석탄을	석탄/NNG+을/JKO
수입하는	수입/NNG+하/XSV+는/ETM
나라가	나라/NNG+가/JKS
중국	중국/NNP
밖에	밖에/JX
없으니,	없/VA+으니/EC+,/SP
사실상	사실/NNG+상/XSN
중국에	중국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
요구”라고	요구/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.108.7.2
지난해 북한이 중국에 수출한 석탄은 10억5천만달러, 1960만t 규모로, 이를 기준으로 보면 금액·물량을 모두 38~39% 수준으로 낮추겠다는 뜻이다.

지난해	지난해/NNG
북한이	북한/NNP+이/JKS
중국에	중국/NNP+에/JKB
수출한	수출/NNG+하/XSV+ㄴ/ETM
석탄은	석탄/NNG+은/JX
10억5천만달러,	10/SN+억/NR+5/SN+천만/NR+달러/NNB+,/SP
1960만t	1960/SN+만/NR+t/SW
규모로,	규모/NNG+로/JKB+,/SP
이를	이/NP+를/JKO
기준으로	기준/NNG+으로/JKB
보면	보/VV+면/EC
금액·물량을	금액/NNG+·/SP+물량/NNG+을/JKO
모두	모두/MAG
38~39%	38/SN+~/SO+39/SN+%/SW
수준으로	수준/NNG+으로/JKB
낮추겠다는	낮추/VV+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.108.8.1
