# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.453
metadata : {}


# id : NWRW1800000022.453.1.1
양동근 19점… 모비스 20승 선착;동부에 72대69로 역전

양동근	양동근/NNP
19점…	19/SN+점/NNB+…/SE
모비스	모비스/NNP
20승	20/SN+승/NNB
선착;동부에	선착/NNG+;/SW+동부/NNP+에/JKB
72대69로	72/SN+대/NNB+69/SN+로/JKB
역전	역전/NNG


# id : NWRW1800000022.453.2.1
울산 모비스의 포인트가드 양동근은 팀을 06~07시즌 챔피언으로 이끈 뒤 상무에 입대했다.

울산	울산/NNP
모비스의	모비스/NNP+의/JKG
포인트가드	포인트가드/NNG
양동근은	양동근/NNP+은/JX
팀을	팀/NNG+을/JKO
06~07시즌	06/SN+~/SO+07/SN+시즌/NNG
챔피언으로	챔피언/NNG+으로/JKB
이끈	이끌/VV+ㄴ/ETM
뒤	뒤/NNG
상무에	상무/NNP+에/JKB
입대했다.	입대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.453.2.2
모비스는 그가 빠지고 곧바로 치른 07~08시즌에는 9위로 추락했지만 지난 시즌에는 정규리그 1위를 차지했다.

모비스는	모비스/NNP+는/JX
그가	그/NP+가/JKS
빠지고	빠지/VV+고/EC
곧바로	곧바로/MAG
치른	치르/VV+ㄴ/ETM
07~08시즌에는	07/SN+~/SO+08/SN+시즌/NNG+에/JKB+는/JX
9위로	9/SN+위/NNB+로/JKB
추락했지만	추락/NNG+하/XSV+았/EP+지만/EC
지난	지나/VV+ㄴ/ETM
시즌에는	시즌/NNG+에/JKB+는/JX
정규리그	정규/NNG+리그/NNG
1위를	1/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.453.2.3
첫해엔 양동근의 공백을 메우지 못해 애를 먹었지만 08~09시즌에는 김현중·박구영 등이 포인트가드 역할을 잘해냈다.

첫해엔	첫해/NNG+에/JKB+ㄴ/JX
양동근의	양동근/NNP+의/JKG
공백을	공백/NNG+을/JKO
메우지	메우/VV+지/EC
못해	못하/VX+아/EC
애를	애/NNG+를/JKO
먹었지만	먹/VV+었/EP+지만/EC
08~09시즌에는	08/SN+~/SO+09/SN+시즌/NNG+에/JKB+는/JX
김현중·박구영	김현중/NNP+·/SP+박구영/NNP
등이	등/NNB+이/JKS
포인트가드	포인트가드/NNG
역할을	역할/NNG+을/JKO
잘해냈다.	잘/MAG+하/XSV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.453.2.4
양동근은 당시 상무에서 뛰면서 "가드들이 너무 잘해 제대하면 내가 뛸 자리가 있을지 모르겠다"며 엄살을 떨기도 했다.

양동근은	양동근/NNP+은/JX
당시	당시/NNG
상무에서	상무/NNP+에서/JKB
뛰면서	뛰/VV+면서/EC
"가드들이	"/SS+가드/NNG+들/XSN+이/JKS
너무	너무/MAG
잘해	잘/MAG+하/XSV+아/EC
제대하면	제대/NNG+하/XSV+면/EC
내가	내/NP+가/JKS
뛸	뛰/VV+ㄹ/ETM
자리가	자리/NNG+가/JKS
있을지	있/VA+을지/EF
모르겠다"며	모르/VV+겠/EP+다/EF+"/SS+며/EC
엄살을	엄살/NNG+을/JKO
떨기도	떨/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.453.3.1
하지만 양동근은 병역 의무를 마치고 올 시즌 팀의 주전 포인트가드를 맡자마자 두 시즌 공백을 전혀 느끼지 못할 만큼 활약하며 팀의 정규리그 1위를 이끌고 있다.

하지만	하지만/MAJ
양동근은	양동근/NNP+은/JX
병역	병역/NNG
의무를	의무/NNG+를/JKO
마치고	마치/VV+고/EC
올	올/NNG
시즌	시즌/NNG
팀의	팀/NNG+의/JKG
주전	주전/NNG
포인트가드를	포인트가드/NNG+를/JKO
맡자마자	맡/VV+자마자/EC
두	두/MMN
공백을	공백/NNG+을/JKO
전혀	전혀/MAG
느끼지	느끼/VV+지/EC
못할	못하/VX+ㄹ/ETM
만큼	만큼/NNB
활약하며	활약/NNG+하/XSV+며/EC
정규리그	정규/NNG+리그/NNG
1위를	1/SN+위/NNB+를/JKO
이끌고	이끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.453.3.2
양동근은 20일 동부와의 원주 원정경기에서 19점 5어시스트 2스틸로 맹활약하며 72대69 역전극을 연출했다.

양동근은	양동근/NNP+은/JX
20일	20/SN+일/NNB
동부와의	동부/NNP+와/JKB+의/JKG
원주	원주/NNP
원정경기에서	원정/NNG+경기/NNG+에서/JKB
19점	19/SN+점/NNB
5어시스트	5/SN+어시스트/NNG
2스틸로	2/SN+스틸/NNG+로/JKB
맹활약하며	맹활약/NNG+하/XSV+며/EC
72대69	72/SN+대/NNB+69/SN
역전극을	역전극/NNG+을/JKO
연출했다.	연출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.453.3.3
승부의 분수령이던 4쿼터에서 61―59로 앞서던 종료 4분 37초 전 이날 세 번째 3점포를 터뜨려 경기 흐름을 모비스 쪽으로 완전히 돌려놨다.

승부의	승부/NNG+의/JKG
분수령이던	분수령/NNG+이/VCP+던/ETM
4쿼터에서	4/SN+쿼터/NNB+에서/JKB
61―59로	61/SN+―/SS+59/SN+로/JKB
앞서던	앞서/VV+던/ETM
종료	종료/NNG
4분	4/SN+분/NNB
37초	37/SN+초/NNB
전	전/NNG
이날	이날/NNG
세	세/MMN
번째	번/NNB+째/XSN
3점포를	3/SN+점/NNB+포/NNG+를/JKO
터뜨려	터뜨리/VV+어/EC
경기	경기/NNG
흐름을	흐름/NNG+을/JKO
모비스	모비스/NNP
쪽으로	쪽/NNB+으로/JKB
완전히	완전히/MAG
돌려놨다.	돌려놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.453.3.4
동부와의 올 시즌 두 경기에서 평균 22.5점을 넣었던 팀 동료 김동우가 3득점으로 묶였지만 모비스는 40분 동안 풀로 뛴 양동근과 함지훈(16점9리바운드)의 활약으로 승리했다.

동부와의	동부/NNP+와/JKB+의/JKG
올	올/NNG
시즌	시즌/NNG
두	두/MMN
경기에서	경기/NNG+에서/JKB
평균	평균/NNG
22.5점을	22/SN+./SP+5/SN+점/NNB+을/JKO
넣었던	넣/VV+었/EP+던/ETM
팀	팀/NNG
동료	동료/NNG
김동우가	김동우/NNP+가/JKS
3득점으로	3/SN+득점/NNG+으로/JKB
묶였지만	묶이/VV+었/EP+지만/EC
모비스는	모비스/NNP+는/JX
40분	40/SN+분/NNB
동안	동안/NNG
풀로	풀/NNG+로/JKB
뛴	뛰/VV+ㄴ/ETM
양동근과	양동근/NNP+과/JC
함지훈(16점9리바운드)의	함지훈/NNP+(/SS+16/SN+점/NNB+9/SN+리바운드/NNG+)/SS+의/JKG
활약으로	활약/NNG+으로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.453.3.5
양동근은 올 시즌 스틸 1위(1.96개) 어시스트 4위(5.21개) 득점 26위(12.0점)에 올라 있다.

양동근은	양동근/NNP+은/JX
올	올/NNG
시즌	시즌/NNG
스틸	스틸/NNG
1위(1.96개)	1/SN+위/NNB+(/SS+1/SN+./SP+96/SN+개/NNB+)/SS
어시스트	어시스트/NNG
4위(5.21개)	4/SN+위/NNB+(/SS+5/SN+./SP+21/SN+개/NNB+)/SS
득점	득점/NNG
26위(12.0점)에	26/SN+위/NNB+(/SS+12/SN+./SP+0/SN+점/NNB+)/SS+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.453.3.6
모비스는 3연승을 달리면서 올 시즌 프로농구에서 가장 먼저 20승(7패) 고지에 올랐고, 2위 KT(19승8패)와의 승차를 다시 1게임으로 벌렸다.

모비스는	모비스/NNP+는/JX
3연승을	3/SN+연승/NNG+을/JKO
달리면서	달리/VV+면서/EC
올	올/NNG
시즌	시즌/NNG
프로농구에서	프로/NNG+농구/NNG+에서/JKB
가장	가장/MAG
먼저	먼저/MAG
20승(7패)	20/SN+승/NNB+(/SS+7/SN+패/NNB+)/SS
고지에	고지/NNG+에/JKB
올랐고,	오르/VV+았/EP+고/EC+,/SP
2위	2/SN+위/NNB
KT(19승8패)와의	KT/SL+(/SS+19/SN+승/NNB+8/SN+패/NNB+)/SS+와/JKB+의/JKG
승차를	승차/NNG+를/JKO
다시	다시/MAG
1게임으로	1/SN+게임/NNG+으로/JKB
벌렸다.	벌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.453.4.1
창원 LG와 서울 삼성의 잠실경기에선 LG가 90대83으로 승리했다.

창원	창원/NNP
LG와	LG/SL+와/JC
서울	서울/NNP
삼성의	삼성/NNP+의/JKG
잠실경기에선	잠실/NNP+경기/NNG+에서/JKB+ㄴ/JX
LG가	LG/SL+가/JKS
90대83으로	90/SN+대/NNB+83/SN+으로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.453.4.2
크리스 알렉산더(21점 13리바운드)와 문태영(20점 14리바운드)이 골밑 리바운드 싸움(37―26)에서 우위를 점했고, 기승호(21점)와 조상현(16점)의 외곽 지원 사격이 위력을 발휘했다.

크리스	크리스/NNP
알렉산더(21점	알렉산더/NNP+(/SS+21/SN+점/NNB
13리바운드)와	13/SN+리바운드/NNG+)/SS+와/JC
문태영(20점	문태영/NNP+(/SS+20/SN+점/NNB
14리바운드)이	14/SN+리바운드/NNG+)/SS+이/JKS
골밑	골/NNG+밑/NNG
리바운드	리바운드/NNG
싸움(37―26)에서	싸움/NNG+(/SS+37/SN+―/SS+26/SN+)/SS+에서/JKB
우위를	우위/NNG+를/JKO
점했고,	점하/VV+았/EP+고/EC+,/SP
기승호(21점)와	기승호/NNP+(/SS+21/SN+점/NNB+)/SS+와/JC
조상현(16점)의	조상현/NNP+(/SS+16/SN+점/NNB+)/SS+의/JKG
외곽	외곽/NNG
지원	지원/NNG
사격이	사격/NNG+이/JKS
위력을	위력/NNG+을/JKO
발휘했다.	발휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.453.4.3
삼성은 3연패에 빠졌다.

삼성은	삼성/NNP+은/JX
3연패에	3/SN+연패/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.453.5.1
대구 오리온스는 안양 KT&G를 72대66으로 눌러 5연패를 끝내면서 8위(8승18패)로 다시 올라섰다.

대구	대구/NNP
오리온스는	오리온스/NNP+는/JX
안양	안양/NNP
KT&G를	KT/SL+&/SW+G/SL+를/JKO
72대66으로	72/SN+대/NNB+66/SN+으로/JKB
눌러	누르/VV+어/EC
5연패를	5/SN+연패/NNG+를/JKO
끝내면서	끝내/VV+면서/EC
8위(8승18패)로	8/SN+위/NNB+(/SS+8/SN+승/NNB+18/SN+패/NNB+)/SS+로/JKB
다시	다시/MAG
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.453.5.2
8승19패를 기록 중인 서울 SK와 인천 전자랜드가 다시 공동 최하위로 내려갔다.

8승19패를	8/SN+승/NNB+19/SN+패/NNB+를/JKO
기록	기록/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울	서울/NNP
SK와	SK/SL+와/JC
인천	인천/NNP
전자랜드가	전자랜드/NNP+가/JKS
다시	다시/MAG
공동	공동/NNG
최하위로	최/XPN+하위/NNG+로/JKB
내려갔다.	내려가/VV+았/EP+다/EF+./SF


