# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.400
metadata : {}


# id : NWRW1800000052.400.1.1
장시호-김종 공모 범행의 배후도 최순실

장시호-김종	장시호/NNP+-/SO+김종/NNP
공모	공모/NNG
범행의	범행/NNG+의/JKG
배후도	배후/NNG+도/JX
최순실	최순실/NNP


# id : NWRW1800000052.400.2.1
삼성전자에 16억 뜯어낸 혐의 등 장시호씨 기소

삼성전자에	삼성전자/NNP+에/JKB
16억	16/SN+억/NR
뜯어낸	뜯어내/VV+ㄴ/ETM
혐의	혐의/NNG
등	등/NNB
장시호씨	장시호/NNP+씨/NNB
기소	기소/NNG


# id : NWRW1800000052.400.3.1
최씨가 뒤에서 지시…김종 전 차관도 지시 받아

최씨가	최/NNP+씨/NNB+가/JKS
뒤에서	뒤/NNG+에서/JKB
지시…김종	지시/NNG+…/SE+김종/NNP
전	전/MMD
차관도	차관/NNG+도/JX
지시	지시/NNG
받아	받/VV+아/EF


# id : NWRW1800000052.400.4.1
최씨 “태블릿피시 내 거 아니다” 거듭 부인

최씨	최/NNP+씨/NNB
“태블릿피시	“/SS+태블릿/NNG+피시/NNG
내	나/NP+의/JKG
거	거/NNB
아니다”	아니/VCN+다/EF+”/SS
거듭	거듭/MAG
부인	부인/NNG


# id : NWRW1800000052.400.5.1
검찰 “최씨 것 확실…물타기에 나선 것”

검찰	검찰/NNG
“최씨	“/SS+최/NNP+씨/NNB
것	것/NNB
확실…물타기에	확실/XR+…/SE+물타기/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000052.400.6.1
최순실씨의 조카 장시호씨와 김종 전 문체부 차관이 동계스포츠 사업을 빌미로 삼성그룹 등으로부터 십억여원을 뜯어낸 배후에 최씨가 있었던 것으로 검찰 수사 결과 드러났다.

최순실씨의	최순실/NNP+씨/NNB+의/JKG
조카	조카/NNG
장시호씨와	장시호/NNP+씨/NNB+와/JC
김종	김종/NNP
전	전/MMD
문체부	문체부/NNG
차관이	차관/NNG+이/JKS
동계스포츠	동계/NNG+스포츠/NNG
사업을	사업/NNG+을/JKO
빌미로	빌미/NNG+로/JKB
삼성그룹	삼성그룹/NNP
등으로부터	등/NNB+으로부터/JKB
십억여원을	십억/NR+여/XSN+원/NNB+을/JKO
뜯어낸	뜯어내/VV+ㄴ/ETM
배후에	배후/NNG+에/JKB
최씨가	최/NNP+씨/NNB+가/JKS
있었던	있/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
검찰	검찰/NNG
수사	수사/NNG
결과	결과/NNG
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.400.6.2
최씨의 ‘수행비서’ 역할을 한 김 전 차관은 최씨의 지시를 받아 움직이면서 기업들에 ‘대통령의 지시사항’이라고 언급한 것으로 드러났다.

최씨의	최/NNP+씨/NNB+의/JKG
‘수행비서’	‘/SS+수행/NNG+비서/NNG+’/SS
역할을	역할/NNG+을/JKO
한	하/VV+ㄴ/ETM
김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
지시를	지시/NNG+를/JKO
받아	받/VV+아/EC
움직이면서	움직이/VV+면서/EC
기업들에	기업/NNG+들/XSN+에/JKB
‘대통령의	‘/SS+대통령/NNG+의/JKG
지시사항’이라고	지시/NNG+사항/NNG+’/SS+이라고/JKQ
언급한	언급/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.400.7.1
8일 검찰 특별수사본부는 최씨가 조카 장씨와 김 전 차관 등과 함께 삼성그룹 계열사인 제일기획 김재열 사장을 압박해 삼성전자가 지난해 10월부터 한국동계스포츠영재센터 후원금 명목으로 16억여원을 지원하도록 했다고 밝혔다.

8일	8/SN+일/NNB
검찰	검찰/NNG
특별수사본부는	특별/NNG+수사본부/NNG+는/JX
최씨가	최/NNP+씨/NNB+가/JKS
조카	조카/NNG
장씨와	장/NNP+씨/NNB+와/JC
김	김/NNP
전	전/MMD
차관	차관/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
삼성그룹	삼성그룹/NNP
계열사인	계열사/NNG+이/VCP+ㄴ/ETM
제일기획	제일기획/NNP
김재열	김재열/NNP
사장을	사장/NNG+을/JKO
압박해	압박/NNG+하/XSV+아/EC
삼성전자가	삼성전자/NNP+가/JKS
지난해	지난해/NNG
10월부터	10/SN+월/NNB+부터/JX
한국동계스포츠영재센터	한국동계스포츠영재센터/NNP
후원금	후원금/NNG
명목으로	명목/NNG+으로/JKB
16억여원을	16/SN+억/NR+여/XSN+원/NNB+을/JKO
지원하도록	지원/NNG+하/XSV+도록/EC
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.400.7.2
이들은 또 공기업인 그랜드코리아레저도 같은 수법으로 압박해 올해 2월부터 2억여원을 지원받았고, 사업계획서를 거짓 작성해 문체부에서 7억여원의 국가보조금을 타내기도 했다.

이들은	이/NP+들/XSN+은/JX
또	또/MAG
공기업인	공기업/NNG+이/VCP+ㄴ/ETM
그랜드코리아레저도	그랜드코리아레저/NNP+도/JX
같은	같/VA+은/ETM
수법으로	수법/NNG+으로/JKB
압박해	압박/NNG+하/XSV+아/EC
올해	올해/NNG
2월부터	2/SN+월/NNB+부터/JX
2억여원을	2/SN+억/NR+여/XSN+원/NNB+을/JKO
지원받았고,	지원/NNG+받/XSV+았/EP+고/EC+,/SP
사업계획서를	사업/NNG+계획서/NNG+를/JKO
거짓	거짓/NNG
작성해	작성/NNG+하/XSV+아/EC
문체부에서	문체부/NNG+에서/JKB
7억여원의	7/SN+억/NR+여/XSN+원/NNB+의/JKG
국가보조금을	국가/NNG+보조금/NNG+을/JKO
타내기도	타/VV+아/EC+내/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.400.8.1
최씨가 큰 그림을 그려 지시하면 장씨와 김 전 차관이 실행하는 방식이었다.

최씨가	최/NNP+씨/NNB+가/JKS
큰	크/VA+ㄴ/ETM
그림을	그림/NNG+을/JKO
그려	그리/VV+어/EC
지시하면	지시/NNG+하/XSV+면/EC
장씨와	장/NNP+씨/NNB+와/JC
김	김/NNP
전	전/MMD
차관이	차관/NNG+이/JKS
실행하는	실행/NNG+하/XSV+는/ETM
방식이었다.	방식/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.400.8.2
검찰은 “최씨가 동계스포츠 사업을 빌미로 정부지원금과 공공기관, 민간기업 등의 지원금을 가로챌 목적으로 조카 장씨를 시켜 영재센터를 설립하도록 했다”며 김 전 차관도 최씨의 지시를 받고 삼성그룹 등과 접촉했다고 밝혔다.

검찰은	검찰/NNG+은/JX
“최씨가	“/SS+최/NNP+씨/NNB+가/JKS
동계스포츠	동계/NNG+스포츠/NNG
사업을	사업/NNG+을/JKO
빌미로	빌미/NNG+로/JKB
정부지원금과	정부/NNG+지원금/NNG+과/JC
공공기관,	공공/NNG+기관/NNG+,/SP
민간기업	민간/NNG+기업/NNG
등의	등/NNB+의/JKG
지원금을	지원금/NNG+을/JKO
