# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.64
metadata : {}


# id : NWRW1800000021.64.1.1
[인문사회]프로파일러가 파헤친 살인마 현장보고서

[인문사회]프로파일러가	[/SS+인문/NNG+사회/NNG+]/SS+프로파일러/NNG+가/JKS
파헤친	파헤치/VV+ㄴ/ETM
살인마	살인마/NNG
현장보고서	현장/NNG+보고서/NNG


# id : NWRW1800000021.64.2.1
◇ 인간이라는 야수·토마스 뮐러 지음·김태희 옮김·287쪽·1만 3800원·황소자리

◇	◇/SW
인간이라는	인간/NNG+이/VCP+라는/ETM
야수·토마스	야수/NNG+·/SP+토마스/NNP
뮐러	뮐러/NNP
지음·김태희	짓/VV+음/ETN+·/SP+김태희/NNP
옮김·287쪽·1만	옮기/VV+ㅁ/ETN+·/SP+287/SN+쪽/NNG+·/SP+1/SN+만/NR
3800원·황소자리	3800/SN+원/NNB+·/SP+황소자리/NNG


# id : NWRW1800000021.64.3.1
연쇄살인범 강호순 사건으로 매스컴에 자주 나오는 용어가 프로파일러(profiler)다.

연쇄살인범	연쇄/NNG+살인범/NNG
강호순	강호순/NNP
사건으로	사건/NNG+으로/JKB
매스컴에	매스컴/NNG+에/JKB
자주	자주/MAG
나오는	나오/VV+는/ETM
용어가	용어/NNG+가/JKS
프로파일러(profiler)다.	프로파일러/NNG+(/SS+profiler/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000021.64.3.2
범죄심리학을 바탕으로 범죄사건 현장에서 범인이 남긴 행동 유형을 분석해 용의자의 특징을 찾아내고, 신문(訊問)에도 참여하는 전문가를 일컫는 말이다.

범죄심리학을	범죄/NNG+심리학/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
범죄사건	범죄/NNG+사건/NNG
현장에서	현장/NNG+에서/JKB
범인이	범인/NNG+이/JKS
남긴	남기/VV+ㄴ/ETM
행동	행동/NNG
유형을	유형/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
용의자의	용의자/NNG+의/JKG
특징을	특징/NNG+을/JKO
찾아내고,	찾아내/VV+고/EC+,/SP
신문(訊問)에도	신문/NNG+(/SS+訊問/SH+)/SS+에/JKB+도/JX
참여하는	참여/NNG+하/XSV+는/ETM
전문가를	전문가/NNG+를/JKO
일컫는	일컫/VV+는/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.64.4.1
이 책은 오스트리아 출신으로 세계적 프로파일러인 저자가 1982년 경찰에 입문해 프로파일러로 성장한 뒤 2003년 10월 함부르크의 형무소에서 살인범 루츠 라인슈트롬을 만났을 때까지의 경험담을 담았다.

이	이/MMD
책은	책/NNG+은/JX
오스트리아	오스트리아/NNP
출신으로	출신/NNG+으로/JKB
세계적	세계/NNG+적/XSN
프로파일러인	프로파일러/NNG+이/VCP+ㄴ/ETM
저자가	저자/NNG+가/JKS
1982년	1982/SN+년/NNB
경찰에	경찰/NNG+에/JKB
입문해	입문/NNG+하/XSV+아/EC
프로파일러로	프로파일러/NNG+로/JKB
성장한	성장/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
2003년	2003/SN+년/NNB
10월	10/SN+월/NNB
함부르크의	함부르크/NNP+의/JKG
형무소에서	형무소/NNG+에서/JKB
살인범	살인범/NNG
루츠	루츠/NNP
라인슈트롬을	라인슈트롬/NNP+을/JKO
만났을	만나/VV+았/EP+을/ETM
때까지의	때/NNG+까지/JX+의/JKG
경험담을	경험담/NNG+을/JKO
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.64.5.1
저자는 연쇄살인범이 ‘카인의 징표’를 새기고 다니지 않는다고 말한다.

저자는	저자/NNG+는/JX
연쇄살인범이	연쇄/NNG+살인범/NNG+이/JKS
‘카인의	‘/SS+카인/NNP+의/JKG
징표’를	징표/NNG+’/SS+를/JKO
새기고	새기/VV+고/EC
다니지	다니/VV+지/EC
않는다고	않/VX+는다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.64.5.2
집에서 여성 2명을 염산통에 담가 살해한 라인슈트롬은 잘생긴 외모에 절제되고 위엄 있는 태도에 신중하면서도 사려 깊은 단어를 사용했다.

집에서	집/NNG+에서/JKB
여성	여성/NNG
2명을	2/SN+명/NNB+을/JKO
염산통에	염산/NNG+통/NNG+에/JKB
담가	담그/VV+아/EC
살해한	살해/NNG+하/XSV+ㄴ/ETM
라인슈트롬은	라인슈트롬/NNP+은/JX
잘생긴	잘생기/VV+ㄴ/ETM
외모에	외모/NNG+에/JKB
절제되고	절제/NNG+되/XSV+고/EC
위엄	위엄/NNG
있는	있/VA+는/ETM
태도에	태도/NNG+에/JKB
신중하면서도	신중/NNG+하/XSA+면서/EC+도/JX
사려	사려/NNG
깊은	깊/VA+은/ETM
단어를	단어/NNG+를/JKO
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.64.5.3
미국 밀워키에서 17명의 젊은 남성을 살해하고 집에 시체를 숨긴 범인은 이웃에서 친절하다는 평판을 들어왔다.

미국	미국/NNP
밀워키에서	밀워키/NNP+에서/JKB
17명의	17/SN+명/NNB+의/JKG
젊은	젊/VA+은/ETM
남성을	남성/NNG+을/JKO
살해하고	살해/NNG+하/XSV+고/EC
집에	집/NNG+에/JKB
시체를	시체/NNG+를/JKO
숨긴	숨기/VV+ㄴ/ETM
범인은	범인/NNG+은/JX
이웃에서	이웃/NNG+에서/JKB
친절하다는	친절/NNG+하/XSA+다는/ETM
평판을	평판/NNG+을/JKO
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.64.6.1
연쇄살인범들은 위장술과 예지력이 뛰어났다고 한다.

연쇄살인범들은	연쇄/NNG+살인범/NNG+들/XSN+은/JX
위장술과	위장술/NNG+과/JC
예지력이	예지력/NNG+이/JKS
뛰어났다고	뛰어나/VA+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.64.6.2
1990년대 초 오스트리아와 프라하, 로스앤젤레스에서 11명의 성매매 여성을 살해한 야크 운터베거는 1970년대 한 여성을 살해한 혐의로 무기징역을 선고받고도 모범수라는 평가를 받아 10여 년 만에 석방될 정도였다.

1990년대	1990/SN+년대/NNB
초	초/NNB
오스트리아와	오스트리아/NNP+와/JKB
프라하,	프라하/NNP+,/SP
로스앤젤레스에서	로스앤젤레스/NNP+에서/JKB
11명의	11/SN+명/NNB+의/JKG
성매매	성매매/NNG
여성을	여성/NNG+을/JKO
살해한	살해/NNG+하/XSV+ㄴ/ETM
야크	야크/NNP
운터베거는	운터베거/NNP+는/JX
1970년대	1970/SN+년대/NNB
한	한/MMN
혐의로	혐의/NNG+로/JKB
무기징역을	무기/NNG+징역/NNG+을/JKO
선고받고도	선고/NNG+받/XSV+고도/EC
모범수라는	모범수/NNG+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받아	받/VV+아/EC
10여	10/SN+여/XSN
년	년/NNB
만에	만/NNB+에/JKB
석방될	석방/NNG+되/XSV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.64.6.3
편지 폭탄을 발송해 수십 명의 사상자를 내며 오스트리아를 공포에 몰아넣은 프란츠 푹스는 ‘바이에른 해방군’이라는 가명으로 편지를 보내 경찰을 혼란에 빠뜨렸다.

편지	편지/NNG
폭탄을	폭탄/NNG+을/JKO
발송해	발송/NNG+하/XSV+아/EC
수십	수십/NR
명의	명/NNB+의/JKG
사상자를	사상자/NNG+를/JKO
내며	내/VV+며/EC
오스트리아를	오스트리아/NNP+를/JKO
공포에	공포/NNG+에/JKB
몰아넣은	몰아넣/VV+은/ETM
프란츠	프란츠/NNP
푹스는	푹스/NNP+는/JX
‘바이에른	‘/SS+바이에른/NNP
해방군’이라는	해방군/NNG+’/SS+이/VCP+라는/ETM
가명으로	가명/NNG+으로/JKB
편지를	편지/NNG+를/JKO
보내	보내/VV+어/EC
경찰을	경찰/NNG+을/JKO
혼란에	혼란/NNG+에/JKB
빠뜨렸다.	빠뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.64.7.1
저자는 인간이 ‘끔찍한 야수’가 되는 데는 소통의 부재가 있었다고 말한다.

저자는	저자/NNG+는/JX
인간이	인간/NNG+이/JKS
‘끔찍한	‘/SS+끔찍하/VA+ㄴ/ETM
야수’가	야수/NNG+’/SS+가/JKC
되는	되/VV+는/ETM
데는	데/NNB+는/JX
소통의	소통/NNG+의/JKG
부재가	부재/NNG+가/JKS
있었다고	있/VA+었/EP+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.64.7.2
흉악범의 경우 대부분 어린 시절부터 대화상대가 없어 스트레스 해소 통로를 찾지 못하다가 폭력으로 상대를 제압하는 판타지를 꿈꾸고 실현하는 과정을 겪었다는 설명이다.

흉악범의	흉악범/NNG+의/JKG
경우	경우/NNG
대부분	대/XPN+부분/NNG
어린	어리/VA+ㄴ/ETM
시절부터	시절/NNG+부터/JX
대화상대가	대화/NNG+상대/NNG+가/JKS
없어	없/VA+어/EC
스트레스	스트레스/NNG
해소	해소/NNG
통로를	통로/NNG+를/JKO
찾지	찾/VV+지/EC
못하다가	못하/VX+다가/EC
폭력으로	폭력/NNG+으로/JKB
상대를	상대/NNG+를/JKO
제압하는	제압/NNG+하/XSV+는/ETM
판타지를	판타지/NNG+를/JKO
