# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.14
metadata : {}


# id : NWRW1800000028.14.1.1
폭설·한파…전력이 모자란다

폭설·한파…전력이	폭설/NNG+·/SP+한파/NNG+…/SE+전력/NNG+이/JKS
모자란다	모자라/VV+ㄴ다/EF


# id : NWRW1800000028.14.2.1
폭설과 한파가 계속되면서 난방 수요가 급증해, 겨울철 전력 수급에 비상이 걸렸다.

폭설과	폭설/NNG+과/JC
한파가	한파/NNG+가/JKS
계속되면서	계속/NNG+되/XSV+면서/EC
난방	난방/NNG
수요가	수요/NNG+가/JKS
급증해,	급증/NNG+하/XSV+아/EC+,/SP
겨울철	겨울철/NNG
전력	전력/NNG
수급에	수급/NNG+에/JKB
비상이	비상/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.14.2.2
지난주에만 4일 연속(5~8일) 최대 전력수요 기록이 경신되면서 정부도 비상대책 마련에 나섰다.

지난주에만	지난주/NNG+에/JKB+만/JX
4일	4/SN+일/NNB
연속(5~8일)	연속/NNG+(/SS+5/SN+~/SO+8/SN+일/NNB+)/SS
최대	최대/NNG
전력수요	전력/NNG+수요/NNG
기록이	기록/NNG+이/JKS
경신되면서	경신/NNG+되/XSV+면서/EC
정부도	정부/NNG+도/JX
비상대책	비상/NNG+대책/NNG
마련에	마련/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.14.3.1
12일 지식경제부가 발표한 ‘최근 전력 수급 현황’을 보면, 지난 8일 오전 11시 최대 전력 수요량은 6856만㎾로 예비전력이 441만㎾로 낮아졌다.

12일	12/SN+일/NNB
지식경제부가	지식/NNG+경제부/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘최근	‘/SS+최근/NNG
전력	전력/NNG
수급	수급/NNG
현황’을	현황/NNG+’/SS+을/JKO
보면,	보/VV+면/EC+,/SP
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
최대	최대/NNG
수요량은	수요량/NNG+은/JX
6856만㎾로	6856/SN+만/NR+㎾/SW+로/JKB
예비전력이	예비/NNG+전력/NNG+이/JKS
441만㎾로	441/SN+만/NR+㎾/SW+로/JKB
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.14.3.2
전체 전력공급 능력에서 최대수요를 뺀 예비전력의 안정적 수준인 600만㎾를 한참 밑도는 수준이다.

전체	전체/NNG
전력공급	전력/NNG+공급/NNG
능력에서	능력/NNG+에서/JKB
최대수요를	최대/NNG+수요/NNG+를/JKO
뺀	빼/VV+ㄴ/ETM
예비전력의	예비/NNG+전력/NNG+의/JKG
안정적	안정/NNG+적/XSN
수준인	수준/NNG+이/VCP+ㄴ/ETM
600만㎾를	600/SN+만/NR+㎾/SW+를/JKO
한참	한참/MAG
밑도는	밑돌/VV+는/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.14.3.3
전력 예비율도 6.4%로, 2000년대 이후 최저 수준까지 떨어졌다.

전력	전력/NNG
예비율도	예비/NNG+율/XSN+도/JX
6.4%로,	6/SN+./SP+4/SN+%/SW+로/JKB+,/SP
2000년대	2000/SN+년대/NNB
이후	이후/NNG
최저	최저/NNG
수준까지	수준/NNG+까지/JX
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.14.3.4
특히 8일 전력 수요는 1993년 이후 16년 만에 여름철 최대 수요(6321만㎾)를 훌쩍 넘었다.

특히	특히/MAG
8일	8/SN+일/NNB
전력	전력/NNG
수요는	수요/NNG+는/JX
1993년	1993/SN+년/NNB
이후	이후/NNG
16년	16/SN+년/NNB
만에	만/NNB+에/JKB
여름철	여름철/NNG
최대	최대/NNG
수요(6321만㎾)를	수요/NNG+(/SS+6321/SN+만/NR+㎾/SW+)/SS+를/JKO
훌쩍	훌쩍/MAG
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.14.3.5
전력 수요가 계속 늘어 예비전력이 400만㎾ 이하로 내려갈 경우, 광역 정전과 같은 비상사태가 발생할 수 있다고 지경부는 설명했다.

전력	전력/NNG
수요가	수요/NNG+가/JKS
계속	계속/MAG
늘어	늘/VV+어/EC
예비전력이	예비/NNG+전력/NNG+이/JKS
400만㎾	400/SN+만/NR+㎾/SW
이하로	이하/NNG+로/JKB
내려갈	내려가/VV+ㄹ/ETM
경우,	경우/NNG+,/SP
광역	광역/NNG
정전과	정전/NNG+과/JKB
같은	같/VA+은/ETM
비상사태가	비상사태/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
지경부는	지경부/NNG+는/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.14.4.1
최근 전력수요 증가는 경기회복에 따른 산업용 전력소비 증가세에다 계속된 한파에 따른 난방 수요가 늘어난 탓이다.

최근	최근/MAG
전력수요	전력/NNG+수요/NNG
증가는	증가/NNG+는/JX
경기회복에	경기/NNG+회복/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
산업용	산업/NNG+용/XSN
전력소비	전력/NNG+소비/NNG
증가세에다	증가세/NNG+에/JKB+다/JX
계속된	계속/NNG+되/XSV+ㄴ/ETM
한파에	한파/NNG+에/JKB
난방	난방/NNG
수요가	수요/NNG+가/JKS
늘어난	늘어나/VV+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.14.4.2
통상적으로 기온이 1도씩 떨어질 때마다 전력수요는 40.9만㎾씩 증가하는 것으로 알려져 있다.

통상적으로	통상/NNG+적/XSN+으로/JKB
기온이	기온/NNG+이/JKS
1도씩	1/SN+도/NNB+씩/XSN
떨어질	떨어지/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
전력수요는	전력/NNG+수요/NNG+는/JX
40.9만㎾씩	40/SN+./SP+9/SN+만/NR+㎾/SW+씩/XSN
증가하는	증가/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.14.4.3
지경부 관계자는 “영하 10도 이하의 날씨가 지속되는 등 이상 한파가 계속될 경우, 최대 전력수요가 7000만㎾ 수준에 도달할 가능성을 배제할 수 없다”며 “이럴 경우 예비전력은 322만㎾(예비율 4.6%)로 떨어지는 비상상황을 맞게 된다”고 말했다.

지경부	지경부/NNG
관계자는	관계자/NNG+는/JX
“영하	“/SS+영하/NNG
10도	10/SN+도/NNB
이하의	이하/NNG+의/JKG
날씨가	날씨/NNG+가/JKS
지속되는	지속/NNG+되/XSV+는/ETM
등	등/NNB
이상	이상/NNG
한파가	한파/NNG+가/JKS
계속될	계속/NNG+되/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
최대	최대/NNG
전력수요가	전력/NNG+수요/NNG+가/JKS
7000만㎾	7000/SN+만/NR+㎾/SW
수준에	수준/NNG+에/JKB
도달할	도달/NNG+하/XSV+ㄹ/ETM
가능성을	가능/NNG+성/XSN+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“이럴	“/SS+이렇/VA+ㄹ/ETM
경우	경우/NNG
예비전력은	예비/NNG+전력/NNG+은/JX
