# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.113
metadata : {}


# id : NWRW1800000022.113.1.1
美 자동차 빅2, 죽어야 산다?

美	美/SH
자동차	자동차/NNG
빅2,	빅/NNG+2/SN+,/SP
죽어야	죽/VV+어야/EC
산다?	살/VV+ㄴ다/EF+?/SF


# id : NWRW1800000022.113.1.2
;오바마, 주주·채권자·노조 압박… 알짜 부문만 떼어내 독자생존 노림수

;오바마,	;/SP+오바마/NNP+,/SP
주주·채권자·노조	주주/NNG+·/SP+채권자/NNG+·/SP+노조/NNG
압박…	압박/NNG+…/SE
알짜	알짜/NNG
부문만	부문/NNG+만/JX
떼어내	떼/VV+어/EC+내/VX+어/EC
독자생존	독자/NNG+생존/NNG
노림수	노림수/NNG


# id : NWRW1800000022.113.2.1
미국 자동차 산업의 대표주자 GM과 크라이슬러가 결국 정부의 채찍을 맞으며 급박한 구조조정의 길로 접어들었다.

미국	미국/NNP
자동차	자동차/NNG
산업의	산업/NNG+의/JKG
대표주자	대표/NNG+주자/NNG
GM과	GM/SL+과/JC
크라이슬러가	크라이슬러/NNP+가/JKS
결국	결국/MAG
정부의	정부/NNG+의/JKG
채찍을	채찍/NNG+을/JKO
맞으며	맞/VV+으며/EC
급박한	급박/NNG+하/XSA+ㄴ/ETM
구조조정의	구조/NNG+조정/NNG+의/JKG
길로	길/NNG+로/JKB
접어들었다.	접어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.113.2.2
버락 오바마 미국 대통령은 30일 GM에겐 독자생존, 크라이슬러에겐 피아트와의 합병을 생존전략으로 제시하며, 각각 60일과 30일이라는 최후의 시간을 통보했다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
30일	30/SN+일/NNB
GM에겐	GM/SL+에게/JKB+ㄴ/JX
독자생존,	독자/NNG+생존/NNG+,/SP
크라이슬러에겐	크라이슬러/NNP+에게/JKB+ㄴ/JX
피아트와의	피아트/NNP+와/JKB+의/JKG
합병을	합병/NNG+을/JKO
생존전략으로	생존/NNG+전략/NNG+으로/JKB
제시하며,	제시/NNG+하/XSV+며/EC+,/SP
각각	각각/MAG
60일과	60/SN+일/NNB+과/JC
30일이라는	30/SN+일/NNB+이/VCP+라는/ETM
최후의	최후/NNG+의/JKG
시간을	시간/NNG+을/JKO
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.113.2.3
이 기간 내에 독자생존이 가능하도록 획기적인 비용절감 계획을 내고, 합병협상을 타결지으라는 최후통첩이다.

