# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.212
metadata : {}


# id : NWRW1800000054.212.1.1
"김명수 대법원장 후보자, 아파트 다운계약서 써"

"김명수	"/SS+김명수/NNP
대법원장	대법원장/NNG
후보자,	후보자/NNG+,/SP
아파트	아파트/NNG
다운계약서	다운/NNG+계약서/NNG
써"	쓰/VV+어/EF+"/SS


# id : NWRW1800000054.212.2.1
주광덕 의원 "1998년 2건 확인, 최소 세금 400만원 탈루"

주광덕	주광덕/NNP
의원	의원/NNG
"1998년	"/SS+1998/SN+년/NNB
2건	2/SN+건/NNB
확인,	확인/NNG+,/SP
최소	최소/NNG
세금	세금/NNG
400만원	400/SN+만/NR+원/NNB
탈루"	탈루/NNG+"/SS


# id : NWRW1800000054.212.3.1
김명수(58) 대법원장 후보자가 1998년 거주용 아파트를 사고팔 때 아파트 가격을 실제 거래가보다 수천만원 낮게 신고한 것으로 나타났다.

김명수(58)	김명수/NNP+(/SS+58/SN+)/SS
대법원장	대법원장/NNG
후보자가	후보자/NNG+가/JKS
1998년	1998/SN+년/NNB
거주용	거주/NNG+용/XSN
아파트를	아파트/NNG+를/JKO
사고팔	사고팔/VV+ㄹ/ETM
때	때/NNG
아파트	아파트/NNG
가격을	가격/NNG+을/JKO
실제	실제/NNG
거래가보다	거래/NNG+가/XSN+보다/JKB
수천만원	수천만/NR+원/NNB
낮게	낮/VA+게/EC
신고한	신고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.212.3.2
아파트 매매 과정에서 실거래가보다 낮게 신고하는 일명 다운 계약서를 썼다는 것이다.

아파트	아파트/NNG
매매	매매/NNG
과정에서	과정/NNG+에서/JKB
실거래가보다	실거래/NNG+가/XSN+보다/JKB
낮게	낮/VA+게/EC
신고하는	신고/NNG+하/XSV+는/ETM
일명	일명/NNG
다운	다운/NNG
계약서를	계약서/NNG+를/JKO
썼다는	쓰/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.212.4.1
김 후보자 측과 국토교통부가 국회 인사청문회 위원인 자유한국당 주광덕 의원에게 낸 자료를 보면 김 후보자는 1998년 12월 7일 당시 살던 서울 강동구 명일동 S아파트 89㎡(27평형)를 1억1200만원에 파는 계약을 맺었다.

김	김/NNP
후보자	후보자/NNG
측과	측/NNB+과/JC
국토교통부가	국토/NNG+교통부/NNG+가/JKS
국회	국회/NNG
인사청문회	인사/NNG+청문회/NNG
위원인	위원/NNG+이/VCP+ㄴ/ETM
자유한국당	자유한국당/NNP
주광덕	주광덕/NNP
의원에게	의원/NNG+에게/JKB
낸	내/VV+ㄴ/ETM
자료를	자료/NNG+를/JKO
보면	보/VV+면/EC
후보자는	후보자/NNG+는/JX
1998년	1998/SN+년/NNB
12월	12/SN+월/NNB
7일	7/SN+일/NNB
당시	당시/NNG
살던	살/VV+던/ETM
서울	서울/NNP
강동구	강동구/NNP
명일동	명일동/NNP
S아파트	S/SL+아파트/NNG
89㎡(27평형)를	89/SN+㎡/SW+(/SS+27/SN+평/NNB+형/XSN+)/SS+를/JKO
1억1200만원에	1/SN+억/NR+1200/SN+만/NR+원/NNB+에/JKB
파는	팔/VV+는/ETM
계약을	계약/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.212.4.2
김 후보자는 관할 관청에는 아파트를 실제 거래 가격보다 4200만원 낮은 7000만원에 팔았다고 신고했다.

김	김/NNP
후보자는	후보자/NNG+는/JX
관할	관할/NNG
관청에는	관청/NNG+에/JKB+는/JX
아파트를	아파트/NNG+를/JKO
실제	실제/NNG
거래	거래/NNG
가격보다	가격/NNG+보다/JKB
4200만원	4200/SN+만/NR+원/NNB
낮은	낮/VA+은/ETM
7000만원에	7000/SN+만/NR+원/NNB+에/JKB
팔았다고	팔/VV+았/EP+다고/EC
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.212.5.1
김 후보자는 이날 같은 아파트 단지에 있는 99㎡(30평형) 아파트를 1억7000만원에 사기로 계약했다.

김	김/NNP
후보자는	후보자/NNG+는/JX
이날	이날/NNG
같은	같/VA+은/ETM
아파트	아파트/NNG
단지에	단지/NNG+에/JKB
있는	있/VA+는/ETM
99㎡(30평형)	99/SN+㎡/SW+(/SS+30/SN+평/NNB+형/XSN+)/SS
아파트를	아파트/NNG+를/JKO
1억7000만원에	1/SN+억/NR+7000/SN+만/NR+원/NNB+에/JKB
사기로	사/VV+기/ETN+로/JKB
계약했다.	계약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.212.5.2
하지만 이 역시 8000만원 낮은 9000만원에 매수했다고 신고한 것으로 돼 있다.

하지만	하지만/MAJ
이	이/NP
역시	역시/MAG
8000만원	8000/SN+만/NR+원/NNB
낮은	낮/VA+은/ETM
9000만원에	9000/SN+만/NR+원/NNB+에/JKB
매수했다고	매수/NNG+하/XSV+았/EP+다고/EC
신고한	신고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.212.6.1
주광덕 의원은 "아파트를 사고팔 때 무는 취득세·등록세와 양도소득세 등을 낮추려고 실거래가보다 축소 신고한 것으로 보인다"며 "당시 세율을 감안하면 김 후보자는 다운 계약서 작성을 통해 세금을 최소 400만원 탈루한 것"이라고 말했다.

주광덕	주광덕/NNP
의원은	의원/NNG+은/JX
"아파트를	"/SS+아파트/NNG+를/JKO
사고팔	사고팔/VV+ㄹ/ETM
때	때/NNG
무는	물/VV+는/ETM
취득세·등록세와	취득세/NNG+·/SP+등록세/NNG+와/JC
양도소득세	양도/NNG+소득세/NNG
등을	등/NNB+을/JKO
낮추려고	낮추/VV+려고/EC
실거래가보다	실거래/NNG+가/XSN+보다/JKB
축소	축소/NNG
신고한	신고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다"며	보이/VV+ㄴ다/EF+"/SS+며/EC
"당시	"/SS+당시/NNG
세율을	세율/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
김	김/NNP
후보자는	후보자/NNG+는/JX
다운	다운/NNG
계약서	계약서/NNG
작성을	작성/NNG+을/JKO
통해	통하/VV+아/EC
세금을	세금/NNG+을/JKO
최소	최소/NNG
400만원	400/SN+만/NR+원/NNB
탈루한	탈루/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.212.6.2
주 의원 측은 "세금 탈루는 문재인 대통령이 대선 후보 시절부터 밝힌 5대 인사 배제 원칙에 해당한다"고도 했다.

주	주/NNP
의원	의원/NNG
측은	측/NNB+은/JX
"세금	"/SS+세금/NNG
탈루는	탈루/NNG+는/JX
문재인	문재인/NNP
대통령이	대통령/NNG+이/JKS
대선	대선/NNG
후보	후보/NNG
시절부터	시절/NNG+부터/JX
밝힌	밝히/VV+ㄴ/ETM
5대	5/SN+대/NNG
인사	인사/NNG
배제	배제/NNG
원칙에	원칙/NNG+에/JKB
해당한다"고도	해당/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.212.6.3
이에 대해 김 후보자 측은 "20년 전 거래여서 명확한 기억이 없고 관련 서류도 모두 보관하고 있지는 않은 상황"이라며 "자료를 면밀히 검토해 청문회에서 답변하겠다"고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
김	김/NNP
후보자	후보자/NNG
측은	측/NNB+은/JX
"20년	"/SS+20/SN+년/NNB
전	전/NNG
거래여서	거래/NNG+이/VCP+어서/EC
명확한	명확하/VA+ㄴ/ETM
기억이	기억/NNG+이/JKS
없고	없/VA+고/EC
관련	관련/NNG
서류도	서류/NNG+도/JX
모두	모두/MAG
보관하고	보관/NNG+하/XSV+고/EC
있지는	있/VX+지/EC+는/JX
않은	않/VX+은/ETM
상황"이라며	상황/NNG+"/SS+이/VCP+라며/EC
"자료를	"/SS+자료/NNG+를/JKO
면밀히	면밀히/MAG
검토해	검토/NNG+하/XSV+아/EC
청문회에서	청문회/NNG+에서/JKB
답변하겠다"고	답변/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.212.7.1
김 후보자에 대한 국회 인사청문회는 오는 12일과 13일 이틀간 열린다.

김	김/NNP
후보자에	후보자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국회	국회/NNG
인사청문회는	인사/NNG+청문회/NNG+는/JX
오는	오/VV+는/ETM
12일과	12/SN+일/NNB+과/JC
13일	13/SN+일/NNB
이틀간	이틀/NNG+간/XSN
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.212.7.2
김 후보자가 국회에 신고한 재산은 8억6000여만원(김 후보자 부모 재산 포함)이다.

김	김/NNP
후보자가	후보자/NNG+가/JKS
국회에	국회/NNG+에/JKB
신고한	신고/NNG+하/XSV+ㄴ/ETM
재산은	재산/NNG+은/JX
8억6000여만원(김	8/SN+억/NR+6000/SN+여/XSN+만/NR+원/NNB+(/SS+김/NNP
후보자	후보자/NNG
부모	부모/NNG
재산	재산/NNG
포함)이다.	포함/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.212.7.3
이 중 서울 송파구 문정동 아파트의 전세 보증금이 7억원이며 김 후보자 부부가 가진 부동산은 없는 것으로 돼 있다.

이	이/NP
중	중/NNB
서울	서울/NNP
송파구	송파구/NNP
문정동	문정동/NNP
아파트의	아파트/NNG+의/JKG
전세	전세/NNG
보증금이	보증금/NNG+이/JKS
7억원이며	7/SN+억/NR+원/NNB+이/VCP+며/EC
김	김/NNP
후보자	후보자/NNG
