# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.295
metadata : {}


# id : NWRW1800000026.295.1.1
실형 받은 피고인, 판사에 '볼펜 테러' 시도;재판 끝나자 돌진… 제압당해

실형	실형/NNG
받은	받/VV+은/ETM
피고인,	피고인/NNG+,/SP
판사에	판사/NNG+에/JKB
'볼펜	'/SS+볼펜/NNG
테러'	테러/NNG+'/SS
시도;재판	시도/NNG+;/SP+재판/NNG
끝나자	끝나/VV+자/EC
돌진…	돌진/NNG+…/SE
제압당해	제압/NNG+당하/XSV+아/EF


# id : NWRW1800000026.295.2.1
실형을 선고받은 피고인이 법정에서 판사에게 위해를 가하려다 제지당했다.

실형을	실형/NNG+을/JKO
선고받은	선고/NNG+받/XSV+은/ETM
피고인이	피고인/NNG+이/JKS
법정에서	법정/NNG+에서/JKB
판사에게	판사/NNG+에게/JKB
위해를	위해/NNG+를/JKO
가하려다	가하/VV+려다/EC
제지당했다.	제지/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.295.2.2
31일 오전 10시 20분쯤 서울중앙지법 서관 5층 형사법정에서 절도죄로 구속기소된 피고인 손모(54)씨가 실형을 선고받은 직후 양손에 볼펜 한 자루씩을 들고 재판장인 이모(43) 판사에게 달려들다 교도관 4명과 법정 경위 1명에게 곧바로 제압당했다.

31일	31/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
20분쯤	20/SN+분/NNB+쯤/XSN
서울중앙지법	서울중앙지법/NNP
서관	서관/NNG
5층	5/SN+층/NNG
형사법정에서	형사/NNG+법정/NNG+에서/JKB
절도죄로	절도죄/NNG+로/JKB
구속기소된	구속/NNG+기소/NNG+되/XSV+ㄴ/ETM
피고인	피고인/NNG
손모(54)씨가	손/NNP+모/NP+(/SS+54/SN+)/SS+씨/NNB+가/JKS
실형을	실형/NNG+을/JKO
선고받은	선고/NNG+받/XSV+은/ETM
직후	직후/NNG
양손에	양손/NNG+에/JKB
볼펜	볼펜/NNG
한	한/MMN
자루씩을	자루/NNG+씩/XSN+을/JKO
들고	들/VV+고/EC
재판장인	재판장/NNG+이/VCP+ㄴ/ETM
이모(43)	이/NNP+모/NP+(/SS+43/SN+)/SS
판사에게	판사/NNG+에게/JKB
달려들다	달려들/VV+다/EC
교도관	교도관/NNG
4명과	4/SN+명/NNB+과/JC
법정	법정/NNG
경위	경위/NNG
1명에게	1/SN+명/NNB+에게/JKB
곧바로	곧바로/MAG
제압당했다.	제압/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.295.2.3
이 볼펜은 구치소에서 판매하는 것으로 잉크가 나오는 끝부분이 날카롭게 돼 있다.

이	이/MMD
볼펜은	볼펜/NNG+은/JX
구치소에서	구치소/NNG+에서/JKB
판매하는	판매/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
잉크가	잉크/NNG+가/JKS
나오는	나오/VV+는/ETM
끝부분이	끝부분/NNG+이/JKS
날카롭게	날카롭/VA+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.295.3.1
손씨는 양손에 이 볼펜 한 자루씩을 움켜쥐고 법정에 나왔다.

손씨는	손/NNP+씨/NNB+는/JX
양손에	양손/NNG+에/JKB
이	이/MMD
볼펜	볼펜/NNG
한	한/MMN
자루씩을	자루/NNG+씩/XSN+을/JKO
움켜쥐고	움켜쥐/VV+고/EC
법정에	법정/NNG+에/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.295.3.2
교도관이 볼펜을 회수하려 시도했으나 손씨가 응하지 않은 상태로 판결 선고가 시작됐다.

교도관이	교도관/NNG+이/JKS
볼펜을	볼펜/NNG+을/JKO
회수하려	회수/NNG+하/XSV+려/EC
시도했으나	시도/NNG+하/XSV+았/EP+으나/EC
손씨가	손/NNP+씨/NNB+가/JKS
응하지	응하/VV+지/EC
않은	않/VX+은/ETM
상태로	상태/NNG+로/JKB
판결	판결/NNG
선고가	선고/NNG+가/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.295.3.3
이 판사는 "여러 차례 범행했고 특별한 합의 노력을 하지도 않아 실형을 선고할 수밖에 없다"며 손씨에게 징역 1년2월을 선고했다.

이	이/NNP
판사는	판사/NNG+는/JX
"여러	"/SS+여러/MMN
차례	차례/NNG
범행했고	범행/NNG+하/XSV+았/EP+고/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
합의	합의/NNG
노력을	노력/NNG+을/JKO
하지도	하/VV+지/EC+도/JX
않아	않/VX+아/EC
실형을	실형/NNG+을/JKO
선고할	선고/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"며	없/VA+다/EF+"/SS+며/EC
손씨에게	손/NNP+씨/NNB+에게/JKB
징역	징역/NNG
1년2월을	1/SN+년/NNB+2/SN+월/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.295.4.1
손씨는 재판이 끝나자 퇴정하는 듯한 자세를 취하다 판사석 쪽으로 갑자기 몸을 틀어 판사에게 달려들었다고, 목격자들은 전했다.

손씨는	손/NNP+씨/NNB+는/JX
재판이	재판/NNG+이/JKS
끝나자	끝나/VV+자/EC
퇴정하는	퇴정/NNG+하/XSV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
자세를	자세/NNG+를/JKO
취하다	취하/VV+다/EC
판사석	판사석/NNG
쪽으로	쪽/NNB+으로/JKB
갑자기	갑자기/MAG
몸을	몸/NNG+을/JKO
틀어	틀/VV+어/EC
판사에게	판사/NNG+에게/JKB
달려들었다고,	달려들/VV+었/EP+다고/EC+,/SP
목격자들은	목격자/NNG+들/XSN+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.295.5.1
교도관은 손씨에게 수갑을 채워 퇴정시켰지만, 소동 때문에 나머지 재판이 일시 중단됐다.

교도관은	교도관/NNG+은/JX
손씨에게	손/NNP+씨/NNB+에게/JKB
수갑을	수갑/NNG+을/JKO
채워	채우/VV+어/EC
퇴정시켰지만,	퇴정/NNG+시키/XSV+었/EP+지만/EC+,/SP
소동	소동/NNG
때문에	때문/NNB+에/JKB
나머지	나머지/NNG
재판이	재판/NNG+이/JKS
일시	일시/MAG
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.295.6.1
