# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.384
metadata : {}


# id : NWRW1800000033.384.1.1
[선택 2012 대선 D-12]朴-文 돌연 “국회의원 정수 축소” 약속… 대선후에도 추진할까

[선택	[/SS+선택/NNG
2012	2012/SN
대선	대선/NNG
D-12]朴-文	D/SL+-/SO+12/SN+]/SS+朴/SH+-/SO+文/SH
돌연	돌연/MAG
“국회의원	“/SS+국회/NNG+의원/NNG
정수	정수/NNG
축소”	축소/NNG+”/SS
약속…	약속/NNG+…/SE
대선후에도	대선/NNG+후/NNG+에/JKB+도/JX
추진할까	추진/NNG+하/XSV+ㄹ까/EF


# id : NWRW1800000033.384.2.1
■ 선거용 정치쇄신 봇물

■	■/SW
선거용	선거/NNG+용/XSN
정치쇄신	정치/NNG+쇄신/NNG
봇물	봇물/NNG


# id : NWRW1800000033.384.3.1
새누리당 박근혜 대선후보 측과 민주통합당 문재인 후보가 6일 국회의원 정수 축소를 들고 나왔다.

새누리당	새누리당/NNP
박근혜	박근혜/NNP
대선후보	대선/NNG+후보/NNG
측과	측/NNB+과/JC
민주통합당	민주통합당/NNP
문재인	문재인/NNP
후보가	후보/NNG+가/JKS
6일	6/SN+일/NNB
국회의원	국회/NNG+의원/NNG
정수	정수/NNG
축소를	축소/NNG+를/JKO
들고	들/VV+고/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.384.3.2
안철수 전 후보가 제안했던 정원 축소에 부정적이던 기존 입장을 바꾼 것으로 ‘안철수 부동층’ 흡수를 위한 대선용 정치쇄신 카드라는 분석이 나온다.

안철수	안철수/NNP
전	전/MMD
후보가	후보/NNG+가/JKS
제안했던	제안/NNG+하/XSV+았/EP+던/ETM
정원	정원/NNG
축소에	축소/NNG+에/JKB
부정적이던	부정/NNG+적/XSN+이/VCP+던/ETM
기존	기존/NNG
입장을	입장/NNG+을/JKO
바꾼	바꾸/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
‘안철수	‘/SS+안철수/NNP
부동층’	부동/NNG+층/XSN+’/SS
흡수를	흡수/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
대선용	대선/NNG+용/XSN
정치쇄신	정치/NNG+쇄신/NNG
카드라는	카드/NNG+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.384.3.3
