# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.367
metadata : {}


# id : NWRW1800000033.367.1.1
安 “에잇, 투표 좀 합시다”… 文도 “오후 9시까지”

安	安/SH
“에잇,	“/SS+에잇/IC+,/SP
투표	투표/NNG
좀	좀/MAG
합시다”…	하/VV+ㅂ시다/EF+”/SS+…/SE
文도	文/SH+도/JX
“오후	“/SS+오후/NNG
9시까지”	9/SN+시/NNB+까지/JX+”/SS


# id : NWRW1800000033.367.2.1
무소속 안철수 후보가 투표율을 높이기 위한 투표시간 연장 캠페인을 본격화했다.

무소속	무/XPN+소속/NNG
안철수	안철수/NNP
후보가	후보/NNG+가/JKS
투표율을	투표/NNG+율/XSN+을/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
투표시간	투표/NNG+시간/NNG
연장	연장/NNG
캠페인을	캠페인/NNG+을/JKO
본격화했다.	본격/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.367.2.2
새누리당과 민주통합당이 이달 초부터 샅바싸움 중이던 투표시간 연장 논쟁에 뛰어든 것이다.

새누리당과	새누리당/NNP+과/JC
민주통합당이	민주통합당/NNP+이/JKS
이달	이달/NNG
초부터	초/NNB+부터/JX
샅바싸움	샅바/NNG+싸움/NNG
중이던	중/NNB+이/VCP+던/ETM
투표시간	투표/NNG+시간/NNG
연장	연장/NNG
논쟁에	논쟁/NNG+에/JKB
뛰어든	뛰어들/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.367.3.1
문·안 캠프는 투표시간을 연장하면 20, 30대 투표율이 올라가 자신들에게 유리할 것으로 판단하고 있다.

문·안	문/NNP+·/SP+안/NNP
캠프는	캠프/NNG+는/JX
투표시간을	투표/NNG+시간/NNG+을/JKO
연장하면	연장/NNG+하/XSV+면/EC
20,	20/SN+,/SP
30대	30/SN+대/NNB
투표율이	투표/NNG+율/XSN+이/JKS
올라가	올라가/VV+아/EC
자신들에게	자신/NNG+들/XSN+에게/JKB
유리할	유리/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
판단하고	판단/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.367.4.1
안 후보는 28일 서울 종로구 공평동 캠프에서 열린 ‘투표시간 연장 국민행동’ 출범식에서 “국민은 21세기인데 투표시간(오전 6시∼오후 6시)은 1970년대에 멈춰 있다”며 “오후 8시까지 2시간을 연장하면 더 많은 국민이 선택하는 투표가 시작된다”고 강조했다.

안	안/NNP
후보는	후보/NNG+는/JX
28일	28/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
공평동	공평동/NNP
캠프에서	캠프/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘투표시간	‘/SS+투표/NNG+시간/NNG
연장	연장/NNG
국민행동’	국민/NNG+행동/NNG+’/SS
출범식에서	출범식/NNG+에서/JKB
“국민은	“/SS+국민/NNG+은/JX
21세기인데	21/SN+세기/NNG+이/VCP+ㄴ데/EC
투표시간(오전	투표/NNG+시간/NNG+(/SS+오전/NNG
6시∼오후	6/SN+시/NNB+∼/SO+오후/NNG
6시)은	6/SN+시/NNB+)/SS+은/JX
1970년대에	1970/SN+년대/NNB+에/JKB
멈춰	멈추/VV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“오후	“/SS+오후/NNG
8시까지	8/SN+시/NNB+까지/JX
2시간을	2/SN+시간/NNB+을/JKO
연장하면	연장/NNG+하/XSV+면/EC
더	더/MAG
많은	많/VA+은/ETM
국민이	국민/NNG+이/JKS
선택하는	선택/NNG+하/XSV+는/ETM
투표가	투표/NNG+가/JKS
시작된다”고	시작/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.367.4.2
그는 “투표 연장전을 통해 패자부활전이 가능한 미래가 만들어진다”고도 했다.

그는	그/NP+는/JX
“투표	“/SS+투표/NNG
연장전을	연장전/NNG+을/JKO
통해	통하/VV+아/EC
패자부활전이	패자/NNG+부활전/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
미래가	미래/NNG+가/JKS
만들어진다”고도	만들/VV+어/EC+지/VX+ㄴ다/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.367.4.3
이어 트위터에도 “에잇(8시), 투표 좀 합시다!”라는 글을 올려 ‘오후 8시까지 투표 연장’을 촉구했다.

이어	이어/MAG
트위터에도	트위터/NNP+에/JKB+도/JX
“에잇(8시),	“/SS+에잇/IC+(/SS+8/SN+시/NNB+)/SS+,/SP
투표	투표/NNG
좀	좀/MAG
합시다!”라는	하/VV+ㅂ시다/EF+!/SF+”/SS+이/VCP+라는/ETM
글을	글/NNG+을/JKO
올려	올리/VV+어/EC
‘오후	‘/SS+오후/NNG
8시까지	8/SN+시/NNB+까지/JX
연장’을	연장/NNG+’/SS+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.367.5.1
