# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.140
metadata : {}


# id : NWRW1800000026.140.1.1
[6·2 지방선거] "서울 경선, 꼬이네";한나라는 시기, 민주는 TV토론 놓고 갈등

[6·2	[/SS+6/SN+·/SP+2/SN
지방선거]	지방/NNG+선거/NNG+]/SS
"서울	"/SS+서울/NNP
경선,	경선/NNG+,/SP
꼬이네";한나라는	꼬이/VV+네/EF+"/SS+;/SW+한나라/NNP+는/JX
시기,	시기/NNG+,/SP
민주는	민주/NNP+는/JX
TV토론	TV/SL+토론/NNG
놓고	놓/VV+고/EC
갈등	갈등/NNG


# id : NWRW1800000026.140.2.1
여야(與野)의 서울시장 후보 경선 준비가 꼬이고 있다.

여야(與野)의	여야/NNG+(/SS+與野/SH+)/SS+의/JKG
서울시장	서울시장/NNG
후보	후보/NNG
경선	경선/NNG
준비가	준비/NNG+가/JKS
꼬이고	꼬이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.140.2.2
한나라당은 내부 진통 끝에 경선일자를 뒤늦게 늦췄고 민주당은 경선방식을 중심으로 불협화음이 매일 터져 나오는 상황이다.

한나라당은	한나라당/NNP+은/JX
내부	내부/NNG
진통	진통/NNG
끝에	끝/NNG+에/JKB
경선일자를	경선/NNG+일자/NNG+를/JKO
뒤늦게	뒤늦/VA+게/EC
늦췄고	늦추/VV+었/EP+고/EC
민주당은	민주당/NNP+은/JX
경선방식을	경선/NNG+방식/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
불협화음이	불협화음/NNG+이/JKS
매일	매일/MAG
터져	터지/VV+어/EC
나오는	나오/VV+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.140.3.1
한나라당 중앙당 공천심사위원회는 25일 당초 예정됐던 서울시장 경선일(29일)을 내달 3일로 연기했다.

한나라당	한나라당/NNP
중앙당	중앙당/NNG
공천심사위원회는	공천/NNG+심사/NNG+위원회/NNG+는/JX
25일	25/SN+일/NNB
당초	당초/NNG
예정됐던	예정/NNG+되/XSV+었/EP+던/ETM
서울시장	서울시장/NNG
경선일(29일)을	경선일/NNG+(/SS+29/SN+일/NNB+)/SS+을/JKO
내달	내달/NNG
3일로	3/SN+일/NNB+로/JKB
연기했다.	연기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.140.3.2
공심위는 당초의 경선일자가 천안함 침몰 희생 장병의 영결식 날과 겹치게 되자 경선을 하루 늦출 생각이었다.

공심위는	공심위/NNG+는/JX
당초의	당초/NNG+의/JKG
경선일자가	경선/NNG+일자/NNG+가/JKS
천안함	천안함/NNP
침몰	침몰/NNG
희생	희생/NNG
장병의	장병/NNG+의/JKG
영결식	영결식/NNG
날과	날/NNG+과/JKB
겹치게	겹치/VV+게/EC
되자	되/VV+자/EC
경선을	경선/NNG+을/JKO
하루	하루/NNG
늦출	늦추/VV+ㄹ/ETM
생각이었다.	생각/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.140.4.1
하지만 선두주자인 오세훈 현 서울시장을 제외한 원희룡·나경원·김충환 등 다른 후보들이 "천안함 조문 정국으로 선거운동이 어려워 일주일 정도 늦추는 것이 합리적"이라며 '5월 6일 실시'를 요구하는 바람에 줄다리기가 벌어졌다.

하지만	하지만/MAJ
선두주자인	선두/NNG+주자/NNG+이/VCP+ㄴ/ETM
오세훈	오세훈/NNP
현	현/MMD
서울시장을	서울시장/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
원희룡·나경원·김충환	원희룡/NNP+·/SP+나경원/NNP+·/SP+김충환/NNP
등	등/NNB
다른	다른/MMD
후보들이	후보/NNG+들/XSN+이/JKS
"천안함	"/SS+천안함/NNP
조문	조문/NNG
정국으로	정국/NNG+으로/JKB
선거운동이	선거/NNG+운동/NNG+이/JKS
어려워	어렵/VA+어/EC
일주일	일주일/NNG
정도	정도/NNG
늦추는	늦추/VV+는/ETM
것이	것/NNB+이/JKS
합리적"이라며	합리/NNG+적/XSN+"/SS+이/VCP+라며/EC
'5월	'/SS+5/SN+월/NNB
6일	6/SN+일/NNB
실시'를	실시/NNG+'/SS+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
줄다리기가	줄다리기/NNG+가/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.140.5.1
