# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.212
metadata : {}


# id : NWRW1800000037.212.1.1
年7%대 학자금 대출, 내년 2%대로 갈아탈듯

年7%대	年/SH+7/SN+%/SW+대/XSN
학자금	학자금/NNG
대출,	대출/NNG+,/SP
내년	내년/NNG
2%대로	2/SN+%/SW+대/XSN+로/JKB
갈아탈듯	갈아타/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000037.212.2.1
김희정 의원, 특별법 개정안 발의… 2010년 1학기 이전 대출 66만명 혜택

김희정	김희정/NNP
의원,	의원/NNG+,/SP
특별법	특별법/NNG
개정안	개정안/NNG
발의…	발의/NNG+…/SE
2010년	2010/SN+년/NNB
1학기	1/SN+학기/NNG
이전	이전/NNG
대출	대출/NNG
66만명	66/SN+만/NR+명/NNB
혜택	혜택/NNG


# id : NWRW1800000037.212.3.1
학자금 대출상환을 6개월 이상 연체한 사람이 국민행복기금을 통해 빚의 절반을 탕감 받을 수 있을 것으로 보인다.

학자금	학자금/NNG
대출상환을	대출/NNG+상환/NNG+을/JKO
6개월	6/SN+개월/NNB
이상	이상/NNG
연체한	연체/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
국민행복기금을	국민행복기금/NNP+을/JKO
통해	통하/VV+아/EC
빚의	빚/NNG+의/JKG
절반을	절반/NNG+을/JKO
탕감	탕감/NNG
받을	받/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.212.3.2
연 7%대 학자금 대출은 내년 1년간 2%대 대출로 전환할 수 있을 것으로 전망된다.

연	연/NNG
7%대	7/SN+%/SW+대/XSN
학자금	학자금/NNG
대출은	대출/NNG+은/JX
내년	내년/NNG
1년간	1/SN+년/NNB+간/XSN
2%대	2/SN+%/SW+대/XSN
대출로	대출/NNG+로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.212.4.1
국회 교육문화체육관광위원회 소속 새누리당 김희정 의원은 8일 이 같은 내용을 골자로 하는 한국장학재단법과 취업 후 학자금 상환 특별법 개정안을 국회에 제출했다.

국회	국회/NNG
교육문화체육관광위원회	교육/NNG+문화/NNG+체육/NNG+관광/NNG+위원회/NNG
소속	소속/NNG
새누리당	새누리당/NNP
김희정	김희정/NNP
의원은	의원/NNG+은/JX
8일	8/SN+일/NNB
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
한국장학재단법과	한국장학재단/NNP+법/NNG+과/JC
취업	취업/NNG
후	후/NNG
학자금	학자금/NNG
상환	상환/NNG
특별법	특별법/NNG
개정안을	개정안/NNG+을/JKO
국회에	국회/NNG+에/JKB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.212.4.2
이 법이 국회를 통과하면 학자금대출 연체자 6만3000명이 탕감 혜택을 볼 수 있을 것으로 보인다.

이	이/MMD
법이	법/NNG+이/JKS
국회를	국회/NNG+를/JKO
통과하면	통과/NNG+하/XSV+면/EC
학자금대출	학자금/NNG+대출/NNG
연체자	연체자/NNG
6만3000명이	6/SN+만/NR+3000/SN+명/NNB+이/JKS
탕감	탕감/NNG
혜택을	혜택/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.212.4.3
전환 대출을 받을 수 있는 대상자는 66만 명에 달하는 것으로 추산된다.

전환	전환/NNG
대출을	대출/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
대상자는	대상자/NNG+는/JX
66만	66/SN+만/NR
명에	명/NNB+에/JKB
달하는	달하/VV+는/ETM
것으로	것/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.212.5.1
개정안에 따르면 상각채권(손실처리 채권)이 아닌 대출채권이라도 6개월 이상 연체되면 국민행복기금이 매입할 수 있다.

개정안에	개정안/NNG+에/JKB
따르면	따르/VV+면/EC
상각채권(손실처리	상각/NNG+채권/NNG+(/SS+손실/NNG+처리/NNG
채권)이	채권/NNG+)/SS+이/JKC
아닌	아니/VCN+ㄴ/ETM
대출채권이라도	대출/NNG+채권/NNG+이/VCP+라도/EC
6개월	6/SN+개월/NNB
이상	이상/NNG
연체되면	연체/NNG+되/XSV+면/EC
국민행복기금이	국민행복기금/NNP+이/JKS
매입할	매입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.212.5.2
금융위원회는 3월 국민행복기금 출범 당시 한국장학재단에서 받은 학자금대출 연체자가 국민행복기금 지원을 받을 수 있다고 발표했다.

금융위원회는	금융/NNG+위원회/NNG+는/JX
3월	3/SN+월/NNB
국민행복기금	국민행복기금/NNP
출범	출범/NNG
당시	당시/NNG
한국장학재단에서	한국장학재단/NNP+에서/JKB
받은	받/VV+은/ETM
학자금대출	학자금/NNG+대출/NNG
연체자가	연체자/NNG+가/JKS
지원을	지원/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.212.5.3
하지만 관련법(장학재단법)에 연체채권을 매각할 수 있는 근거가 없다는 이유로 행복기금 지원은 4개월 넘게 미뤄졌다.

하지만	하지만/MAJ
관련법(장학재단법)에	관련/NNG+법/NNG+(/SS+장학/NNG+재단/NNG+법/NNG+)/SS+에/JKB
연체채권을	연체/NNG+채권/NNG+을/JKO
매각할	매각/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
근거가	근거/NNG+가/JKS
없다는	없/VA+다는/ETM
이유로	이유/NNG+로/JKB
행복기금	행복/NNG+기금/NNG
지원은	지원/NNG+은/JX
4개월	4/SN+개월/NNB
넘게	넘/VV+게/EC
미뤄졌다.	미루/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.212.5.4
국민행복기금 지원을 받으면 연체자는 대출금 일부를 탕감 받은 뒤 나머지 잔액을 장기 분할 상환할 수 있다.

국민행복기금	국민행복기금/NNP
지원을	지원/NNG+을/JKO
받으면	받/VV+으면/EC
연체자는	연체자/NNG+는/JX
대출금	대출금/NNG
일부를	일부/NNG+를/JKO
탕감	탕감/NNG
받은	받/VV+은/ETM
뒤	뒤/NNG
나머지	나머지/NNG
잔액을	잔액/NNG+을/JKO
장기	장기/NNG
분할	분할/NNG
상환할	상환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.212.5.5
금융위는 학자금 대출에 대해 원금의 50%까지 탕감해 줄 계획이다.

금융위는	금융위/NNG+는/JX
학자금	학자금/NNG
대출에	대출/NNG+에/JKB
대해	대하/VV+아/EC
원금의	원금/NNG+의/JKG
50%까지	50/SN+%/SW+까지/JX
탕감해	탕감/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.212.5.6
개정안은 또 2010년 1학기 이전에 받은 고금리 학자금 대출을 낮은 금리의 든든학자금(취업 후 상환 학자금·ICL) 또는 일반상환 학자금으로 전환할 수 있도록 규정했다.

개정안은	개정안/NNG+은/JX
또	또/MAG
2010년	2010/SN+년/NNB
1학기	1/SN+학기/NNG
이전에	이전/NNG+에/JKB
받은	받/VV+은/ETM
고금리	고/XPN+금리/NNG
학자금	학자금/NNG
대출을	대출/NNG+을/JKO
낮은	낮/VA+은/ETM
금리의	금리/NNG+의/JKG
든든학자금(취업	든든학자금/NNP+(/SS+취업/NNG
후	후/NNG
상환	상환/NNG
학자금·ICL)	학자금/NNG+·/SP+ICL/SL+)/SS
또는	또는/MAG
일반상환	일반/NNG+상환/NNG
학자금으로	학자금/NNG+으로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.212.5.7
이에 따라 평균 연 7.1%의 금리로 정부보증부 대출을 받은 사람은 앞으로 연 2.9%의 든든학자금으로 전환할 수 있는 길이 열린다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
평균	평균/NNG
연	연/NNG
7.1%의	7/SN+./SP+1/SN+%/SW+의/JKG
금리로	금리/NNG+로/JKB
정부보증부	정부/NNG+보증/NNG+부/XSN
대출을	대출/NNG+을/JKO
받은	받/VV+은/ETM
사람은	사람/NNG+은/JX
앞으로	앞/NNG+으로/JKB
2.9%의	2/SN+./SP+9/SN+%/SW+의/JKG
든든학자금으로	든든학자금/NNP+으로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길이	길/NNG+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.212.5.8
교육부는 관련법이 통과되면 내년 1월부터 대출 전환을 신청 받아 1년간 한시적으로 전환을 시행할 예정이다.

교육부는	교육부/NNG+는/JX
관련법이	관련/NNG+법/NNG+이/JKS
통과되면	통과/NNG+되/XSV+면/EC
내년	내년/NNG
1월부터	1/SN+월/NNB+부터/JX
대출	대출/NNG
전환을	전환/NNG+을/JKO
신청	신청/NNG
받아	받/VV+아/EC
1년간	1/SN+년/NNB+간/XSN
한시적으로	한시/NNG+적/XSN+으로/JKB
시행할	시행/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


