# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.175
metadata : {}


# id : NWRW1800000038.175.1.1
年 7억대 경호받는 전두환 前대통령, 지방세 3년 체납

年	年/SH
7억대	7/SN+억/NR+대/XSN
경호받는	경호/NNG+받/XSV+는/ETM
전두환	전두환/NNP
前대통령,	前/SH+대통령/NNG+,/SP
지방세	지방세/NNG
3년	3/SN+년/NNB
체납	체납/NNG


# id : NWRW1800000038.175.2.1
상습 체납명단 공개 통보 받아

상습	상습/NNG
체납명단	체납/NNG+명단/NNG
공개	공개/NNG
통보	통보/NNG
받아	받/VV+아/EC


# id : NWRW1800000038.175.3.1
전두환 전 대통령이 지방세 3017만원을 3년째 내지 않아 최근 서울시로부터 고액·상습 체납자 명단 공개 예정 통보를 받았다.

전두환	전두환/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
지방세	지방세/NNG
3017만원을	3017/SN+만/NR+원/NNB+을/JKO
3년째	3/SN+년/NNB+째/XSN
내지	내/VV+지/EC
않아	않/VX+아/EC
최근	최근/MAG
서울시로부터	서울시/NNP+로부터/JKB
고액·상습	고액/NNG+·/SP+상습/NNG
체납자	체납자/NNG
명단	명단/NNG
공개	공개/NNG
예정	예정/NNG
통보를	통보/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.175.4.1
서울시는 2년 이상, 3000만원 이상의 세금을 체납한 942명에게 지난 3일 명단 공개 사전 예고문을 발송했고, 이 명단에 전 전 대통령이 포함된 것으로 16일 확인됐다.

서울시는	서울시/NNP+는/JX
2년	2/SN+년/NNB
이상,	이상/NNG+,/SP
3000만원	3000/SN+만/NR+원/NNB
이상의	이상/NNG+의/JKG
세금을	세금/NNG+을/JKO
체납한	체납/NNG+하/XSV+ㄴ/ETM
942명에게	942/SN+명/NNB+에게/JKB
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
명단	명단/NNG
공개	공개/NNG
사전	사전/NNG
예고문을	예고문/NNG+을/JKO
발송했고,	발송/NNG+하/XSV+았/EP+고/EC+,/SP
이	이/MMD
명단에	명단/NNG+에/JKB
전	전/MMD
대통령이	대통령/NNG+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
16일	16/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.175.5.1
체납 세금은 전 전 대통령이 추징금을 내지 않아 연희동 집 별채가 법원에 의해 강제 경매에 부쳐지며 발생한 지방세 3017만원이다.

체납	체납/NNG
세금은	세금/NNG+은/JX
전	전/MMD
대통령이	대통령/NNG+이/JKS
추징금을	추징금/NNG+을/JKO
내지	내/VV+지/EC
않아	않/VX+아/EC
연희동	연희동/NNP
집	집/NNG
별채가	별채/NNG+가/JKS
법원에	법원/NNG+에/JKB
의해	의하/VV+아/EC
강제	강제/NNG
경매에	경매/NNG+에/JKB
부쳐지며	부치/VV+어/EC+지/VX+며/EC
발생한	발생/NNG+하/XSV+ㄴ/ETM
지방세	지방세/NNG
3017만원이다.	3017/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.175.5.2
이 건물은 처남 이창석씨에게 당시 16억4800만원에 낙찰됐고, 양도소득세 3억1000여만원과 그 10%인 3017만원의 지방세가 발생했다.

이	이/MMD
건물은	건물/NNG+은/JX
처남	처남/NNG
이창석씨에게	이창석/NNP+씨/NNB+에게/JKB
당시	당시/NNG
16억4800만원에	16/SN+억/NR+4800/SN+만/NR+원/NNB+에/JKB
낙찰됐고,	낙찰/NNG+되/XSV+었/EP+고/EC+,/SP
양도소득세	양도/NNG+소득세/NNG
3억1000여만원과	3/SN+억/NR+1000/SN+여/XSN+만/NR+원/NNB+과/JC
그	그/MMD
