# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.369
metadata : {}


# id : NWRW1800000024.369.1.1
인기 토종 캐릭터, 세계를 매혹하다

인기	인기/NNG
토종	토종/NNG
캐릭터,	캐릭터/NNG+,/SP
세계를	세계/NNG+를/JKO
매혹하다	매혹/NNG+하/XSV+다/EF


# id : NWRW1800000024.369.2.1
세계시장에서 국내로!

세계시장에서	세계/NNG+시장/NNG+에서/JKB
국내로!	국내/NNG+로/JKB+!/SF


# id : NWRW1800000024.369.3.1
지난 9월30일~10월1일 이틀 동안 영국 런던 켄싱턴가의 올림피아전시센터에는 전세계인들이 열광하는 캐릭터들이 한자리에 모였다.

지난	지나/VV+ㄴ/ETM
9월30일~10월1일	9/SN+월/NNB+30/SN+일/NNB+~/SO+10/SN+월/NNB+1/SN+일/NNB
이틀	이틀/NNG
동안	동안/NNG
영국	영국/NNP
런던	런던/NNP
켄싱턴가의	켄싱턴가/NNP+의/JKG
올림피아전시센터에는	올림피아전시센터/NNP+에/JKB+는/JX
전세계인들이	전/MMN+세계인/NNG+들/XSN+이/JKS
열광하는	열광/NNG+하/XSV+는/ETM
캐릭터들이	캐릭터/NNG+들/XSN+이/JKS
한자리에	한자리/NNG+에/JKB
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.369.3.2
배트맨, 바비 인형, 스폰지밥 등 세계적 유명 캐릭터 사업체들이 모두 모여 ‘브랜드 라이선싱 유럽 2009’ 행사를 열었다.

배트맨,	배트맨/NNG+,/SP
바비	바비/NNG
인형,	인형/NNG+,/SP
스폰지밥	스폰지밥/NNP
등	등/NNB
세계적	세계/NNG+적/XSN
유명	유명/NNG
캐릭터	캐릭터/NNG
사업체들이	사업체/NNG+들/XSN+이/JKS
모두	모두/MAG
모여	모이/VV+어/EC
‘브랜드	‘/SS+브랜드/NNG
라이선싱	라이선싱/NNG
유럽	유럽/NNP
2009’	2009/SN+’/SS
행사를	행사/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.369.4.1
그러나 이 행사에서 단연 눈길을 끌었던 회사는 다름아닌 한국기업 ㈜부즈였다.

그러나	그러나/MAJ
이	이/MMD
행사에서	행사/NNG+에서/JKB
단연	단연/MAG
눈길을	눈길/NNG+을/JKO
끌었던	끌/VV+었/EP+던/ETM
회사는	회사/NNG+는/JX
다름아닌	다르/VA+ㅁ/ETN+아니/VCN+ㄴ/ETM
한국기업	한국/NNP+기업/NNG
㈜부즈였다.	㈜/SW+부즈/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.369.4.2
눈은 옆으로 찢어지고, 머리 양쪽에 찐빵 모양 스타일을 한 말괄량이 소녀 ‘뿌까’(PUCCA)를 탄생시킨 기업이다.

눈은	눈/NNG+은/JX
옆으로	옆/NNG+으로/JKB
찢어지고,	찢어지/VV+고/EC+,/SP
머리	머리/NNG
양쪽에	양쪽/NNG+에/JKB
찐빵	찐빵/NNG
모양	모양/NNG
스타일을	스타일/NNG+을/JKO
한	하/VV+ㄴ/ETM
말괄량이	말괄량이/NNG
소녀	소녀/NNG
‘뿌까’(PUCCA)를	‘/SS+뿌까/NNG+’/SS+(/SS+PUCCA/SL+)/SS+를/JKO
탄생시킨	탄생/NNG+시키/XSV+ㄴ/ETM
기업이다.	기업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.369.4.3
2000년에 태어난 뿌까는 유럽은 물론 세계 곳곳에서, 일본이 자랑하는 캐릭터 ‘헬로 키티’보다 더 인기를 얻고 있다.

2000년에	2000/SN+년/NNB+에/JKB
태어난	태어나/VV+ㄴ/ETM
뿌까는	뿌까/NNG+는/JX
유럽은	유럽/NNP+은/JX
물론	물론/MAG
세계	세계/NNG
곳곳에서,	곳곳/NNG+에서/JKB+,/SP
일본이	일본/NNP+이/JKS
자랑하는	자랑/NNG+하/XSV+는/ETM
캐릭터	캐릭터/NNG
‘헬로	‘/SS+헬로/NNP
키티’보다	키티/NNG+’/SS+보다/JKB
더	더/MAG
인기를	인기/NNG+를/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.369.5.1
뿌까는 이번 행사에서 또 일을 냈다.

뿌까는	뿌까/NNG+는/JX
이번	이번/NNG
행사에서	행사/NNG+에서/JKB
또	또/MAG
일을	일/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.369.5.2
미국 워너브러더스와 북미, 중남미에 이어 유럽에서도 공동사업을 펼치는 라이선스 계약을 맺은 것이다.

