# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.396
metadata : {}


# id : NWRW1800000048.396.1.1
북, 작년 개성공단 ‘기업인 억류’ 세칙 제시 드러나

북,	북/NNP+,/SP
작년	작년/NNG
개성공단	개성공단/NNP
‘기업인	‘/SS+기업인/NNG
억류’	억류/NNG+’/SS
세칙	세칙/NNG
제시	제시/NNG
드러나	드러나/VV+아/EF


# id : NWRW1800000048.396.2.1
‘기업 창설운영 시행항목’ 만들어

‘기업	‘/SS+기업/NNG
창설운영	창설/NNG+운영/NNG
시행항목’	시행/NNG+항목/NNG+’/SS
만들어	만들/VV+어/EF


# id : NWRW1800000048.396.3.1
통제 강화하려는 움직임 보여

통제	통제/NNG
강화하려는	강화/NNG+하/XSV+려는/ETM
움직임	움직임/NNG
보여	보이/VV+어/EF


# id : NWRW1800000048.396.4.1
정부, 합의 안해줘 실행은 안돼

정부,	정부/NNG+,/SP
합의	합의/NNG
안해줘	안/MAG+하/VV+아/EC+주/VX+어/EC
실행은	실행/NNG+은/JX
안돼	안/MAG+되/XSV+어/EF


# id : NWRW1800000048.396.5.1
북한이 지난해 9월 개성공단 기업인들에게 적용되는 ‘기업 창설운영 시행세칙’을 새로 만들어 제시하면서 ‘기업인 억류’ 조항을 끼워넣은 것으로 드러났다.

북한이	북한/NNP+이/JKS
지난해	지난해/NNG
9월	9/SN+월/NNB
개성공단	개성공단/NNP
기업인들에게	기업인/NNG+들/XSN+에게/JKB
적용되는	적용/NNG+되/XSV+는/ETM
‘기업	‘/SS+기업/NNG
창설운영	창설/NNG+운영/NNG
시행세칙’을	시행/NNG+세칙/NNG+’/SS+을/JKO
새로	새로/MAG
만들어	만들/VV+어/EC
제시하면서	제시/NNG+하/XSV+면서/EC
‘기업인	‘/SS+기업인/NNG
억류’	억류/NNG+’/SS
조항을	조항/NNG+을/JKO
끼워넣은	끼우/VV+어/EC+넣/VV+은/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.396.6.1
통일부 당국자는 26일 “북한에서 개성공단을 총괄하는 중앙특구개발지도총국이 지난해 9월 기업 창설운영 시행세칙안을 만들어 제시했다”며 “이 가운데 기업들이 계약 불이행 때 손해배상을 하게 하고, 재산 능력이 없으면 책임자를 억류하게 한 조항도 들어 있다”고 말했다.

통일부	통일부/NNG
당국자는	당국자/NNG+는/JX
26일	26/SN+일/NNB
“북한에서	“/SS+북한/NNP+에서/JKB
개성공단을	개성공단/NNP+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
중앙특구개발지도총국이	중앙/NNG+특구/NNG+개발/NNG+지도/NNG+총국/NNG+이/JKS
지난해	지난해/NNG
9월	9/SN+월/NNB
기업	기업/NNG
창설운영	창설/NNG+운영/NNG
시행세칙안을	시행/NNG+세칙/NNG+안/NNG+을/JKO
만들어	만들/VV+어/EC
제시했다”며	제시/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이	“/SS+이/NP
가운데	가운데/NNG
기업들이	기업/NNG+들/XSN+이/JKS
계약	계약/NNG
불이행	불/XPN+이행/NNG
때	때/NNG
손해배상을	손해/NNG+배상/NNG+을/JKO
하게	하/VV+게/EC
하고,	하/VX+고/EC+,/SP
재산	재산/NNG
능력이	능력/NNG+이/JKS
