# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.390
metadata : {}


# id : NWRW1800000045.390.1.1
“국정 역사교과서 집필진 30여명 지원”

“국정	“/SS+국정/NNG
역사교과서	역사/NNG+교과서/NNG
집필진	집필진/NNG
30여명	30/SN+여/XSN+명/NNB
지원”	지원/NNG+”/SS


# id : NWRW1800000045.390.2.1
공모 마감… 당국, 신상 안밝히기로

공모	공모/NNG
마감…	마감/NNG+…/SE
당국,	당국/NNG+,/SP
신상	신상/NNG
안밝히기로	안/MAG+밝히/VV+기/ETN+로/JKB


# id : NWRW1800000045.390.3.1
국정 역사 교과서 집필진 공모가 마감됐으나 교육부와 국사편찬위원회가 응모자의 신원은 물론이고 정확한 지원 규모조차 공개하지 않기로 했다.

국정	국정/NNG
역사	역사/NNG
교과서	교과서/NNG
집필진	집필진/NNG
공모가	공모/NNG+가/JKS
마감됐으나	마감/NNG+되/XSV+었/EP+으나/EC
교육부와	교육부/NNG+와/JC
국사편찬위원회가	국사/NNG+편찬/NNG+위원회/NNG+가/JKS
응모자의	응모자/NNG+의/JKG
신원은	신원/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
지원	지원/NNG
규모조차	규모/NNG+조차/JX
공개하지	공개/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.390.3.2
교과서 제작 과정을 투명하게 공개하겠다는 공언과 달리 초반부터 비밀주의로 일관하는 교육 당국에 비판이 쏟아지고 있다.

교과서	교과서/NNG
제작	제작/NNG
과정을	과정/NNG+을/JKO
투명하게	투명/NNG+하/XSA+게/EC
공개하겠다는	공개/NNG+하/XSV+겠/EP+다는/ETM
공언과	공언/NNG+과/JKB
달리	달리/MAG
초반부터	초반/NNG+부터/JX
비밀주의로	비밀주의/NNG+로/JKB
일관하는	일관/NNG+하/XSV+는/ETM
교육	교육/NNG
당국에	당국/NNG+에/JKB
비판이	비판/NNG+이/JKS
쏟아지고	쏟아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.390.4.1
