# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.263
metadata : {}


# id : NWRW1800000038.263.1.1
[춘천마라톤 D-4] 뛰어서 남 준다… 카이스트의 따뜻한 '춘마'

[춘천마라톤	[/SS+춘천/NNP+마라톤/NNG
D-4]	D/SL+-/SO+4/SN+]/SS
뛰어서	뛰/VV+어서/EC
남	남/NNG
준다…	주/VV+ㄴ다/EF+…/SE
카이스트의	카이스트/NNP+의/JKG
따뜻한	따뜻하/VA+ㄴ/ETM
'춘마'	'/SS+춘마/NNG+'/SS


# id : NWRW1800000038.263.2.1
교수·졸업생 등 98명 참가… 'KAIST RUN' 홈피 통해 현재까지 1800만원 모아

교수·졸업생	교수/NNG+·/SP+졸업/NNG+생/XSN
등	등/NNB
98명	98/SN+명/NNB
참가…	참가/NNG+…/SE
'KAIST	'/SS+KAIST/SL
RUN'	RUN/SL+'/SS
홈피	홈피/NNG
통해	통하/VV+아/EC
현재까지	현재/NNG+까지/JX
1800만원	1800/SN+만/NR+원/NNB
모아	모으/VV+아/EF


# id : NWRW1800000038.263.3.1
"우리의 모토는 '뛰어서 남 주는 달리기'입니다."

"우리의	"/SS+우리/NP+의/JKG
모토는	모토/NNG+는/JX
'뛰어서	'/SS+뛰/VV+어서/EC
남	남/NNG
주는	주/VV+는/ETM
달리기'입니다."	달리기/NNG+'/SS+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.263.4.1
한국과학기술원(KAIST) 경영대학원생 진효진(32·정보미디어)씨는 27일 열리는 2013 춘천마라톤(조선일보사·춘천시·스포츠조선·대한육상경기연맹 공동주최)에 참가해 '나눔 정신'을 실천할 계획이다.

한국과학기술원(KAIST)	한국과학기술원/NNP+(/SS+KAIST/SL+)/SS
경영대학원생	경영/NNG+대학원/NNG+생/XSN
진효진(32·정보미디어)씨는	진효진/NNP+(/SS+32/SN+·/SP+정보/NNG+미디어/NNG+)/SS+씨/NNB+는/JX
27일	27/SN+일/NNB
열리는	열리/VV+는/ETM
2013	2013/SN
춘천마라톤(조선일보사·춘천시·스포츠조선·대한육상경기연맹	춘천/NNP+마라톤/NNG+(/SS+조선일보사/NNP+·/SP+춘천시/NNP+·/SP+스포츠조선/NNP+·/SP+대한육상경기연맹/NNP
공동주최)에	공동/NNG+주최/NNG+)/SS+에/JKB
참가해	참가/NNG+하/XSV+아/EC
'나눔	'/SS+나누/VV+ㅁ/ETN
정신'을	정신/NNG+'/SS+을/JKO
실천할	실천/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.263.4.2
진씨를 비롯한 KAIST 학생과 졸업생, 교수, 교직원, 가족 등 98명이 춘마에 도전장을 냈다.

진씨를	진/NNP+씨/NNB+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
KAIST	KAIST/SL
학생과	학생/NNG+과/JC
졸업생,	졸업/NNG+생/XSN+,/SP
교수,	교수/NNG+,/SP
교직원,	교직원/NNG+,/SP
가족	가족/NNG
등	등/NNB
98명이	98/SN+명/NNB+이/JKS
춘마에	춘마/NNG+에/JKB
도전장을	도전장/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.263.5.1
