# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.15
metadata : {}


# id : NWRW1800000021.15.1.1
[다윈은 살아있다]<3>신자유주의, 진화냐 도태냐

[다윈은	[/SS+다윈/NNP+은/JX
살아있다]<3>신자유주의,	살/VV+아/EC+있/VX+다/EF+]/SS+</SS+3/SN+>/SS+신/XPN+자유주의/NNG+,/SP
진화냐	진화/NNG+이/VCP+냐/EF
도태냐	도태/NNG+이/VCP+냐/EF


# id : NWRW1800000021.15.2.1
《“‘보이지 않는 손’은 죽었다.

《“‘보이지	《/SS+“/SS+‘/SS+보이/VV+지/EC
않는	않/VX+는/ETM
손’은	손/NNG+’/SS+은/JX
죽었다.	죽/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.15.2.2
규제여 영원하라.”

규제여	규제/NNG+여/JKV
영원하라.”	영원/NNG+하/XSA+라/EF+./SF+”/SS


# id : NWRW1800000021.15.2.3
“‘보이지 않는 손’은 여전히 살아 있다.”

“‘보이지	“/SS+‘/SS+보이/VV+지/EC
않는	않/VX+는/ETM
손’은	손/NNG+’/SS+은/JX
여전히	여전히/MAG
살아	살/VV+아/EC
있다.”	있/VX+다/EF+./SF+”/SS


# id : NWRW1800000021.15.2.4
미국발(發) 세계 금융위기의 장기화 가능성이 대두되면서 유럽까지 적극적인 구제금융안을 마련하기 시작한 지난해 9월 말.

미국발(發)	미국/NNP+발/XSN+(/SS+發/SH+)/SS
세계	세계/NNG
금융위기의	금융/NNG+위기/NNG+의/JKG
장기화	장기/NNG+화/XSN
가능성이	가능/NNG+성/XSN+이/JKS
대두되면서	대두/NNG+되/XSV+면서/EC
유럽까지	유럽/NNP+까지/JX
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
구제금융안을	구제/NNG+금융/NNG+안/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
지난해	지난해/NNG
9월	9/SN+월/NNB
말.	말/NNB+./SF


# id : NWRW1800000021.15.2.5
경제위기에 대응하는 방식을 둘러싸고 미국의 두 학자가 인터넷 블로그를 통해 이색 논쟁을 벌였다.

경제위기에	경제/NNG+위기/NNG+에/JKB
대응하는	대응/NNG+하/XSV+는/ETM
방식을	방식/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
미국의	미국/NNP+의/JKG
두	두/MMN
학자가	학자/NNG+가/JKS
인터넷	인터넷/NNG
블로그를	블로그/NNG+를/JKO
통해	통하/VV+아/EC
이색	이색/NNG
논쟁을	논쟁/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.15.2.6
‘진화론적 관점에서 볼 때 어떤 대처가 올바른가’를 따지는 논쟁이었다.》

‘진화론적	‘/SS+진화/NNG+론/XSN+적/XSN
관점에서	관점/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
어떤	어떤/MMD
대처가	대처/NNG+가/JKS
올바른가’를	올바르/VA+ㄴ가/EF+’/SS+를/JKO
따지는	따지/VV+는/ETM
논쟁이었다.》	논쟁/NNG+이/VCP+었/EP+다/EF+./SF+》/SS


# id : NWRW1800000021.15.3.1
○ 같은 진화론, 다른 해석

○	○/SW
같은	같/VA+은/ETM
진화론,	진화/NNG+론/XSN+,/SP
다른	다른/MMD
해석	해석/NNG


# id : NWRW1800000021.15.4.1
