# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.271
metadata : {}


# id : NWRW1800000054.271.1.1
'빠른 발'로 만들어낸 사이클링 히트

'빠른	'/SS+빠르/VA+ㄴ/ETM
발'로	발/NNG+'/SS+로/JKB
만들어낸	만들/VV+어/EC+내/VX+ㄴ/ETM
사이클링	사이클링/NNG
히트	히트/NNG


# id : NWRW1800000054.271.2.1
KIA 버나디나 역대 24번째 기록… 단타성 타구로 2루타 만들어내

KIA	KIA/SL
버나디나	버나디나/NNP
역대	역대/NNG
24번째	24/SN+번/NNB+째/XSN
기록…	기록/NNG+…/SE
단타성	단타/NNG+성/XSN
타구로	타구/NNG+로/JKB
2루타	2루타/NNG
만들어내	만들/VV+어/EC+내/VX+어/EC


# id : NWRW1800000054.271.3.1
KIA의 외국인 타자 로저 버나디나(33·사진)가 3일 KT와의 홈 경기에서 KBO리그 올 시즌 3번째이자 역대 24번째 사이클링 히트(Hit for the Cycle·한 경기에서 단타·2루타·3루타·홈런을 모두 친 경우)를 기록했다.

KIA의	KIA/SL+의/JKG
외국인	외국인/NNG
타자	타자/NNG
로저	로저/NNP
버나디나(33·사진)가	버나디나/NNP+(/SS+33/SN+·/SP+사진/NNG+)/SS+가/JKS
3일	3/SN+일/NNB
KT와의	KT/SL+와/JKB+의/JKG
홈	홈/NNG
경기에서	경기/NNG+에서/JKB
KBO리그	KBO/SL+리그/NNG
올	올/NNG
시즌	시즌/NNG
3번째이자	3/SN+번/NNB+째/XSN+이/VCP+자/EC
역대	역대/NNG
24번째	24/SN+번/NNB+째/XSN
사이클링	사이클링/NNG
히트(Hit	히트/NNG+(/SS+Hit/SL
for	for/SL
the	the/SL
Cycle·한	Cycle/SL+·/SP+한/MMN
단타·2루타·3루타·홈런을	단타/NNG+·/SP+2루타/NNG+·/SP+3루타/NNG+·/SP+홈런/NNG+을/JKO
모두	모두/MAG
친	치/VV+ㄴ/ETM
경우)를	경우/NNG+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.271.3.2
외국인 선수로는 매니 마르티네스(2001년·삼성)와 에릭 테임즈(2015년·2회·NC)에 이어 역대 3번째이다.

외국인	외국인/NNG
선수로는	선수/NNG+로/JKB+는/JX
매니	매니/NNP
마르티네스(2001년·삼성)와	마르티네스/NNP+(/SS+2001/SN+년/NNB+·/SP+삼성/NNP+)/SS+와/JC
에릭	에릭/NNP
테임즈(2015년·2회·NC)에	테임즈/NNP+(/SS+2015/SN+년/NNB+·/SP+2/SN+회/NNB+·/SP+NC/SL+)/SS+에/JKB
이어	잇/VV+어/EC
역대	역대/NNG
3번째이다.	3/SN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.271.4.1
3번 타자 겸 중견수로 선발 출장한 그는 1회말 첫 타석에서 우익수 오른쪽 깊숙이 떨어지는 3루타로 산뜻하게 출발했다.

3번	3/SN+번/NNB
타자	타자/NNG
겸	겸/NNB
중견수로	중견수/NNG+로/JKB
선발	선발/NNG
출장한	출장/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
1회말	1/SN+회/NNB+말/NNB
첫	첫/MMN
타석에서	타석/NNG+에서/JKB
우익수	우익수/NNG
오른쪽	오른쪽/NNG
깊숙이	깊숙이/MAG
떨어지는	떨어지/VV+는/ETM
3루타로	3루타/NNG+로/JKB
산뜻하게	산뜻/MAG+하/XSA+게/EC
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.271.4.2
3회말엔 중견수 쪽 짧은 타구 때 전력으로 2루까지 달려 가까스로 세이프 판정을 받았고, 5회말 단타로 출루했다.

3회말엔	3/SN+회/NNB+말/NNB+에/JKB+ㄴ/JX
중견수	중견수/NNG
쪽	쪽/NNB
짧은	짧/VA+은/ETM
타구	타구/NNG
때	때/NNG
전력으로	전력/NNG+으로/JKB
2루까지	2루/NNG+까지/JX
달려	달리/VV+어/EC
가까스로	가까스로/MAG
세이프	세이프/NNG
판정을	판정/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
5회말	5/SN+회/NNB+말/NNB
단타로	단타/NNG+로/JKB
출루했다.	출루/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.271.4.3
그는 8회말 마지막 타석에서 오른쪽 담장을 훌쩍 넘기는 솔로포(시즌 19호)로 진기록을 완성했다.

그는	그/NP+는/JX
8회말	8/SN+회/NNB+말/NNB
마지막	마지막/NNG
타석에서	타석/NNG+에서/JKB
오른쪽	오른쪽/NNG
담장을	담장/NNG+을/JKO
훌쩍	훌쩍/MAG
넘기는	넘기/VV+는/ETM
솔로포(시즌	솔로포/NNG+(/SS+시즌/NNG
19호)로	19/SN+호/NNB+)/SS+로/JKB
진기록을	진기록/NNG+을/JKO
완성했다.	완성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.271.5.1
시즌 초반 '버려지나'로 불릴 만큼 부진했던 그는 이날 4타수 4안타 1사구(死球) 2타점으로, 팀의 9대3 승리를 이끄는 공격 첨병 역할을 했다.

시즌	시즌/NNG
초반	초반/NNG
'버려지나'로	'/SS+버려지/VV+나/EF+'/SS+로/JKB
불릴	불리/VV+ㄹ/ETM
만큼	만큼/NNB
부진했던	부진/NNG+하/XSA+았/EP+던/ETM
그는	그/NP+는/JX
이날	이날/NNG
4타수	4/SN+타수/NNG
4안타	4/SN+안타/NNG
1사구(死球)	1/SN+사구/NNG+(/SS+死球/SH+)/SS
2타점으로,	2/SN+타점/NNG+으로/JKB+,/SP
팀의	팀/NNG+의/JKG
9대3	9/SN+대/NNB+3/SN
승리를	승리/NNG+를/JKO
이끄는	이끌/VV+는/ETM
공격	공격/NNG
