# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.369
metadata : {}


# id : NWRW1800000036.369.1.1
여당, 색깔론 씌워 헌재 다양성 봉쇄

여당,	여당/NNG+,/SP
색깔론	색깔/NNG+론/XSN
씌워	씌우/VV+어/EC
헌재	헌재/NNG
다양성	다양/NNG+성/XSN
봉쇄	봉쇄/NNG


# id : NWRW1800000036.369.2.1
[한겨레] 조용환 헌재재판관 선출안 부결

[한겨레]	[/SS+한겨레/NNP+]/SS
조용환	조용환/NNP
헌재재판관	헌재/NNG+재판관/NNG
선출안	선출/NNG+안/NNG
부결	부결/NNG


# id : NWRW1800000036.369.3.1
‘야당몫’ 좌절 의정사상 처음…야 “헌법 유린” 반발

‘야당몫’	‘/SS+야당/NNG+몫/NNG+’/SS
좌절	좌절/NNG
의정사상	의정/NNG+사상/NNG
처음…야	처음/NNG+…/SE+야/NNG
“헌법	“/SS+헌법/NNG
유린”	유린/NNG+”/SS
반발	반발/NNG


# id : NWRW1800000036.369.4.1
민주통합당이 추천한 조용환 헌법재판소 재판관 후보자 선출안이 9일 국회 본회의에서 부결됐다.

민주통합당이	민주통합당/NNP+이/JKS
추천한	추천/NNG+하/XSV+ㄴ/ETM
조용환	조용환/NNP
헌법재판소	헌법/NNG+재판소/NNG
재판관	재판관/NNG
후보자	후보자/NNG
선출안이	선출/NNG+안/NNG+이/JKS
9일	9/SN+일/NNB
국회	국회/NNG
본회의에서	본회의/NNG+에서/JKB
부결됐다.	부결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.369.4.2
정치적 다양성 확보를 목적으로 헌법에 규정된 ‘야당 몫’ 헌재재판관 선출이 색깔론을 앞세운 여당의 반대로 무산되는 초유의 사태가 벌어졌다.

정치적	정치/NNG+적/XSN
다양성	다양/NNG+성/XSN
확보를	확보/NNG+를/JKO
목적으로	목적/NNG+으로/JKB
헌법에	헌법/NNG+에/JKB
규정된	규정/NNG+되/XSV+ㄴ/ETM
‘야당	‘/SS+야당/NNG
몫’	몫/NNG+’/SS
헌재재판관	헌재/NNG+재판관/NNG
선출이	선출/NNG+이/JKS
색깔론을	색깔/NNG+론/XSN+을/JKO
앞세운	앞세우/VV+ㄴ/ETM
여당의	여당/NNG+의/JKG
반대로	반대/NNG+로/JKB
무산되는	무산/NNG+되/XSV+는/ETM
초유의	초유/NNG+의/JKG
사태가	사태/NNG+가/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.369.5.1
