# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.313
metadata : {}


# id : NWRW1800000021.313.1.1
“무의미한 연명치료중단 이것만은 지킵시다”

“무의미한	“/SS+무/XPN+의미/NNG+하/XSA+ㄴ/ETM
연명치료중단	연명/NNG+치료/NNG+중단/NNG
이것만은	이것/NP+만/JX+은/JX
지킵시다”	지키/VV+ㅂ시다/EF+”/SS


# id : NWRW1800000021.313.2.1
한국보건의료연구원은 전문가와 관련단체 의견 수렴 및 국민인식조사 결과를 토대로 무의미한 연명치료 중단의 제도화를 위한 12개 항의 기본 원칙을 28일 발표했다.

한국보건의료연구원은	한국보건의료연구원/NNP+은/JX
전문가와	전문가/NNG+와/JC
관련단체	관련/NNG+단체/NNG
의견	의견/NNG
수렴	수렴/NNG
및	및/MAG
국민인식조사	국민/NNG+인식/NNG+조사/NNG
결과를	결과/NNG+를/JKO
토대로	토대/NNG+로/JKB
무의미한	무/XPN+의미/NNG+하/XSA+ㄴ/ETM
연명치료	연명/NNG+치료/NNG
중단의	중단/NNG+의/JKG
제도화를	제도/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
12개	12/SN+개/NNB
항의	항의/NNG
기본	기본/NNG
원칙을	원칙/NNG+을/JKO
28일	28/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.313.2.2
연구원은 이번 지침을 보건복지가족부에 제출해 향후 제도 마련의 근거 자료로 활용토록 할 방침이다.

연구원은	연구원/NNG+은/JX
이번	이번/NNG
지침을	지침/NNG+을/JKO
보건복지가족부에	보건/NNG+복지/NNG+가족부/NNG+에/JKB
제출해	제출/NNG+하/XSV+아/EC
향후	향후/NNG
제도	제도/NNG
마련의	마련/NNG+의/JKG
근거	근거/NNG
자료로	자료/NNG+로/JKB
활용토록	활용/NNG+하/XSV+도록/EC
할	하/VX+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.313.3.1
1. 뇌사와 식물인간에 대한 법적 정비 필요

1.	1/SN+./SF
뇌사와	뇌사/NNG+와/JC
식물인간에	식물인간/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법적	법/NNG+적/XSN
정비	정비/NNG
필요	필요/NNG


# id : NWRW1800000021.313.4.1
2. 무의미한 연명치료 중단에 대한 법적 근거 마련

2.	2/SN+./SF
무의미한	무/XPN+의미/NNG+하/XSA+ㄴ/ETM
연명치료	연명/NNG+치료/NNG
중단에	중단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법적	법/NNG+적/XSN
근거	근거/NNG
마련	마련/NNG


# id : NWRW1800000021.313.5.1
3. 사전의료지시서에 대한 공증제 의무화 반대

3.	3/SN+./SF
사전의료지시서에	사전/NNG+의료/NNG+지시서/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
공증제	공증/NNG+제/XSN
의무화	의무/NNG+화/XSN
반대	반대/NNG


# id : NWRW1800000021.313.6.1
4. 회생 가능성 없는 말기환자의 경우 무의미한 연명치료 중단 가능

4.	4/SN+./SF
회생	회생/NNG
가능성	가능/NNG+성/XSN
없는	없/VA+는/ETM
말기환자의	말기/NNG+환자/NNG+의/JKG
경우	경우/NNG
무의미한	무/XPN+의미/NNG+하/XSA+ㄴ/ETM
연명치료	연명/NNG+치료/NNG
중단	중단/NNG
가능	가능/NNG


