# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.71
metadata : {}


# id : NWRW1800000044.71.1.1
일 언론 대부분 ‘무라야마 방한’ 단신으로 처리

일	일/NNP
언론	언론/NNG
대부분	대/XPN+부분/NNG
‘무라야마	‘/SS+무라야마/NNP
방한’	방한/NNG+’/SS
단신으로	단신/NNG+으로/JKB
처리	처리/NNG


# id : NWRW1800000044.71.2.1
[한겨레] 일본 언론도 현재 한-일 관계의 마지막 안전판인 1995년 ‘무라야마 담화’를 발표한 무라야마 도미이치 전 일본 총리의 한국 방문 동정을 보도했지만 대부분 짧은 단신으로 처리했다.

[한겨레]	[/SS+한겨레/NNP+]/SS
일본	일본/NNP
언론도	언론/NNG+도/JX
현재	현재/MAG
한-일	한-일/NNP
관계의	관계/NNG+의/JKG
마지막	마지막/NNG
안전판인	안전판/NNG+이/VCP+ㄴ/ETM
1995년	1995/SN+년/NNB
‘무라야마	‘/SS+무라야마/NNP
담화’를	담화/NNG+’/SS+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
무라야마	무라야마/NNP
도미이치	도미이치/NNP
전	전/MMD
총리의	총리/NNG+의/JKG
한국	한국/NNP
방문	방문/NNG
동정을	동정/NNG+을/JKO
보도했지만	보도/NNG+하/XSV+았/EP+지만/EC
대부분	대/XPN+부분/NNG
짧은	짧/VA+은/ETM
단신으로	단신/NNG+으로/JKB
처리했다.	처리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.71.2.2
사민당 출신의 무라야마 전 총리가 자민당 출신의 전직 총리들과 달리 현실 정치에 대한 영향력이 제한적이라고 판단한 결과로 보인다.

사민당	사민당/NNP
출신의	출신/NNG+의/JKG
무라야마	무라야마/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
자민당	자민당/NNP
전직	전직/NNG
총리들과	총리/NNG+들/XSN+과/JKB
달리	달리/MAG
현실	현실/NNG
정치에	정치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
영향력이	영향력/NNG+이/JKS
제한적이라고	제한/NNG+적/XSN+이/VCP+라고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
결과로	결과/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.71.3.1
<테레비 도쿄>는 12일 “한국의 ‘혁신계 정당’(정의당)의 초청에 응해 서울을 방문한 무라야마 전 총리가 11일 전 위안부 여성 3명과 만났다”고 전했다.

<테레비	</SS+테레비/NNP
도쿄>는	도쿄/NNP+>/SS+는/JX
12일	12/SN+일/NNB
“한국의	“/SS+한국/NNP+의/JKG
‘혁신계	‘/SS+혁신/NNG+계/XSN
정당’(정의당)의	정당/NNG+’/SS+(/SS+정의당/NNP+)/SS+의/JKG
초청에	초청/NNG+에/JKB
응해	응하/VV+아/EC
서울을	서울/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
무라야마	무라야마/NNP
전	전/MMN
총리가	총리/NNG+가/JKS
11일	11/SN+일/NNB
위안부	위안부/NNG
여성	여성/NNG
3명과	3/SN+명/NNB+과/JKB
만났다”고	만나/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.71.3.2
방송은 무라야마 전 총리가 12일 한국의 초당파 의원들을 대상으로 강연을 하며, 이 자리에서 “한반도에 대한 식민지 지배나 침략을 인정한 1995년 무라야마 담화에 대해 설명하는 것과 동시에 일·한 관계 개선을 위해 아베 정권에 대응을 요청할 것으로 보인다”고 짚었다.

방송은	방송/NNG+은/JX
무라야마	무라야마/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
12일	12/SN+일/NNB
한국의	한국/NNP+의/JKG
초당파	초/XPN+당파/NNG
의원들을	의원/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
강연을	강연/NNG+을/JKO
하며,	하/VV+며/EC+,/SP
이	이/MMD
자리에서	자리/NNG+에서/JKB
“한반도에	“/SS+한반도/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
식민지	식민지/NNG
지배나	지배/NNG+나/JC
