# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.394
metadata : {}


# id : NWRW1800000030.394.1.1
[호남] 5·18 31주년 하루 앞… 추모 열기 고조

[호남]	[/SS+호남/NNP+]/SS
5·18	5/SN+·/SP+18/SN
31주년	31/SN+주년/NNB
하루	하루/NNG
앞…	앞/NNG+…/SE
추모	추모/NNG
열기	열기/NNG
고조	고조/NNG


# id : NWRW1800000030.394.2.1
•국제인권네트워크 개막, 오늘 금남로서 전야제… 내일 기념식 등 이어져

•국제인권네트워크	•/SW+국제/NNG+인권/NNG+네트워크/NNG
개막,	개막/NNG+,/SP
오늘	오늘/NNG
금남로서	금남로/NNP+서/JKB
전야제…	전야제/NNG+…/SE
내일	내일/NNG
기념식	기념식/NNG
등	등/NNB
이어져	이어지/VV+어/EF


# id : NWRW1800000030.394.3.1
5·18민주화운동 제31주년 기념일이 다가오면서 광주 곳곳에서 크고 작은 정신 계승 행사가 이어지며 추모분위기가 달아오르고 있다.

5·18민주화운동	5/SN+·/SP+18/SN+민주/NNG+화/XSN+운동/NNG
제31주년	제/XPN+31/SN+주년/NNB
기념일이	기념일/NNG+이/JKS
다가오면서	다가오/VV+면서/EC
광주	광주/NNP
곳곳에서	곳곳/NNG+에서/JKB
크고	크/VA+고/EC
작은	작/VA+은/ETM
정신	정신/NNG
계승	계승/NNG
행사가	행사/NNG+가/JKS
이어지며	이어지/VV+며/EC
추모분위기가	추모/NNG+분위기/NNG+가/JKS
달아오르고	달아오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.394.4.1
기념일을 이틀 앞둔 16일 오전 광주시와 5·18기념재단이 공동 주최하는 2011 국제인권도시네트워크가 광주 김대중컨벤션센터에서 막을 올렸다.

기념일을	기념일/NNG+을/JKO
이틀	이틀/NNG
앞둔	앞두/VV+ㄴ/ETM
16일	16/SN+일/NNB
오전	오전/NNG
광주시와	광주시/NNP+와/JC
5·18기념재단이	5·18기념재단/NNP+이/JKS
공동	공동/NNG
주최하는	주최/NNG+하/XSV+는/ETM
2011	2011/SN
국제인권도시네트워크가	국제/NNG+인권/NNG+도시/NNG+네트워크/NNG+가/JKS
광주	광주/NNP
김대중컨벤션센터에서	김대중컨벤션센터/NNP+에서/JKB
막을	막/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.394.4.2
이번 행사에는 24개 해외 도시와 기구·단체 대표 등 29명과 국내 인사 13명이 참가, '도시로부터 시작하는 지구적 인권 실현'을 주제로 3개 전체회의와 4개 분과회의가 이틀 동안 진행된다.

이번	이번/NNG
행사에는	행사/NNG+에/JKB+는/JX
24개	24/SN+개/NNB
해외	해외/NNG
도시와	도시/NNG+와/JC
기구·단체	기구/NNG+·/SP+단체/NNG
대표	대표/NNG
등	등/NNB
29명과	29/SN+명/NNB+과/JC
국내	국내/NNG
인사	인사/NNG
13명이	13/SN+명/NNB+이/JKS
참가,	참가/NNG+,/SP
'도시로부터	'/SS+도시/NNG+로부터/JKB
시작하는	시작/NNG+하/XSV+는/ETM
지구적	지구/NNG+적/XSN
인권	인권/NNG
실현'을	실현/NNG+'/SS+을/JKO
주제로	주제/NNG+로/JKB
3개	3/SN+개/NNB
전체회의와	전체/NNG+회의/NNG+와/JC
4개	4/SN+개/NNB
분과회의가	분과/NNG+회의/NNG+가/JKS
이틀	이틀/NNG
동안	동안/NNG
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.394.5.1
천주교광주대교구 정의평화위원회는 이날 오후 2시 광주 남동성당에서 기념 미사를 올렸다.

천주교광주대교구	천주교/NNG+광주/NNP+대/XPN+교구/NNG
정의평화위원회는	정의/NNG+평화/NNG+위원회/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
2시	2/SN+시/NNB
광주	광주/NNP
남동성당에서	남동성당/NNP+에서/JKB
기념	기념/NNG
미사를	미사/NNG+를/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.394.5.2
전남대 컨벤션센터 용지홀에서는 이날 오후 2시 '1991년 청춘의 기억'이라는 주제로 전시회가 개막됐다.

전남대	전남대/NNP
컨벤션센터	컨벤션/NNG+센터/NNG
용지홀에서는	용지홀/NNP+에서/JKB+는/JX
이날	이날/NNG
오후	오후/NNG
2시	2/SN+시/NNB
'1991년	'/SS+1991/SN+년/NNB
청춘의	청춘/NNG+의/JKG
기억'이라는	기억/NNG+'/SS+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
전시회가	전시회/NNG+가/JKS
개막됐다.	개막/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.394.6.1
전남대 총학생회는 이날 '오월 2만의 꿈'이라는 주제의 추모행사를 시작, 22일까지 진행한다.

전남대	전남대/NNP
총학생회는	총학생회/NNG+는/JX
이날	이날/NNG
'오월	'/SS+오월/NNG
2만의	2/SN+만/NR+의/JKG
꿈'이라는	꿈/NNG+'/SS+이/VCP+라는/ETM
주제의	주제/NNG+의/JKG
추모행사를	추모/NNG+행사/NNG+를/JKO
시작,	시작/NNG+,/SP
22일까지	22/SN+일/NNB+까지/JX
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.394.7.1
이날 광주 북구 운정동 국립5·18민주묘지에도 참배 발길이 이어졌다.

이날	이날/NNG
광주	광주/NNP
북구	북구/NNP
운정동	운정동/NNP
국립5·18민주묘지에도	국립5·18민주묘지/NNP+에/JKB+도/JX
참배	참배/NNG
발길이	발길/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.394.7.2
이날 하루 김대중 전 대통령 미망인 이희호 여사와 박준영 전남지사, 임승택 전남지방경찰청장, 이금형 광주지방경찰청장직무대리 등이 참배했다.

이날	이날/NNG
하루	하루/NNG
김대중	김대중/NNP
전	전/MMD
대통령	대통령/NNG
미망인	미망인/NNG
이희호	이희호/NNP
여사와	여사/NNG+와/JC
박준영	박준영/NNP
전남지사,	전남/NNP+지사/NNG+,/SP
임승택	임승택/NNP
전남지방경찰청장,	전남지방경찰청장/NNG+,/SP
이금형	이금형/NNP
광주지방경찰청장직무대리	광주지방경찰청장/NNG+직무/NNG+대리/NNG
등이	등/NNB+이/JKS
참배했다.	참배/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.394.8.1
17일에는 옛 전남도청 일원에서 기념행사의 하이라이트인 5·18전야제 등 대규모 행사가 이어져 추모 열기가 절정에 달할 전망이다.

17일에는	17/SN+일/NNB+에/JKB+는/JX
옛	옛/MMA
전남도청	전남도청/NNP
일원에서	일원/NNG+에서/JKB
기념행사의	기념행사/NNG+의/JKG
하이라이트인	하이라이트/NNG+이/VCP+ㄴ/ETM
5·18전야제	5/SN+·/SP+18/SN+전야제/NNG
등	등/NNB
대규모	대/XPN+규모/NNG
행사가	행사/NNG+가/JKS
이어져	이어지/VV+어/EC
추모	추모/NNG
열기가	열기/NNG+가/JKS
절정에	절정/NNG+에/JKB
달할	달하/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.394.9.1
