# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.250
metadata : {}


# id : NWRW1800000025.250.1.1
[문학예술]영화로도 선보일 ‘올빼미 모험담’

[문학예술]영화로도	[/SS+문학예술/NNG+]/SS+영화/NNG+로/JKB+도/JX
선보일	선보이/VV+ㄹ/ETM
‘올빼미	‘/SS+올빼미/NNG
모험담’	모험담/NNG+’/SS


# id : NWRW1800000025.250.2.1
◇ 가디언의 전설 1, 2, 3·캐스린 래스키 지음·정윤희 옮김·각 권 276, 272, 224쪽·각 권 8500원·문학수첩

◇	◇/SW
가디언의	가디언/NNG+의/JKG
전설	전설/NNG
1,	1/SN+,/SP
2,	2/SN+,/SP
3·캐스린	3/SN+·/SP+캐스린/NNP
래스키	래스키/NNP
지음·정윤희	짓/VV+음/ETN+·/SP+정윤희/NNP
옮김·각	옮기/VV+ㅁ/ETN+·/SP+각/MMD
권	권/NNB
276,	276/SN+,/SP
272,	272/SN+,/SP
224쪽·각	224/SN+쪽/NNG+·/SP+각/MMD
8500원·문학수첩	8500/SN+원/NNB+·/SP+문학수첩/NNP


# id : NWRW1800000025.250.3.1
인간 대신 올빼미를 주인공으로 내세운 판타지 소설이다.

인간	인간/NNG
대신	대신/NNG
올빼미를	올빼미/NNG+를/JKO
주인공으로	주인공/NNG+으로/JKB
내세운	내세우/VV+ㄴ/ETM
판타지	판타지/NNG
소설이다.	소설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.250.3.2
타이토 숲 왕국에서 태어난 평범한 올빼미 소렌은 심술궂은 형 클러드 때문에 둥지에서 떨어진 뒤 성 애골리우스 학교로 끌려간다.

타이토	타이토/NNP
숲	숲/NNG
왕국에서	왕국/NNG+에서/JKB
태어난	태어나/VV+ㄴ/ETM
평범한	평범하/VA+ㄴ/ETM
올빼미	올빼미/NNG
소렌은	소렌/NNP+은/JX
심술궂은	심술궂/VA+은/ETM
형	형/NNG
클러드	클러드/NNP
때문에	때문/NNB+에/JKB
둥지에서	둥지/NNG+에서/JKB
떨어진	떨어지/VV+ㄴ/ETM
뒤	뒤/NNG
성	성/NNG
애골리우스	애골리우스/NNP
학교로	학교/NNG+로/JKB
끌려간다.	끌려가/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.250.3.3
이곳은 세계의 모든 올빼미 왕국을 지배하기 위해 힘을 모으고 있는 악한 올빼미들의 성채.

이곳은	이곳/NP+은/JX
세계의	세계/NNG+의/JKG
모든	모든/MMN
올빼미	올빼미/NNG
왕국을	왕국/NNG+을/JKO
지배하기	지배/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
힘을	힘/NNG+을/JKO
모으고	모으/VV+고/EC
있는	있/VX+는/ETM
악한	악/NNG+하/XSA+ㄴ/ETM
올빼미들의	올빼미/NNG+들/XSN+의/JKG
성채.	성채/NNG+./SF


# id : NWRW1800000025.250.3.4
세뇌 교육을 받으며 날아가는 본능을 점점 잊어가던 소렌은 한 올빼미의 도움으로 친구 길피와 함께 성채를 탈출한다.

세뇌	세뇌/NNG
교육을	교육/NNG+을/JKO
받으며	받/VV+으며/EC
날아가는	날아가/VV+는/ETM
본능을	본능/NNG+을/JKO
점점	점점/MAG
잊어가던	잊/VV+어/EC+가/VX+던/ETM
소렌은	소렌/NNP+은/JX
한	한/MMN
올빼미의	올빼미/NNG+의/JKG
도움으로	도움/NNG+으로/JKB
친구	친구/NNG
길피와	길피/NNP+와/JKB
함께	함께/MAG
성채를	성채/NNG+를/JKO
탈출한다.	탈출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.250.3.5
소렌과 길피는 회색 올빼미 트와일라잇, 사막에 홀로 버려진 굴 파기 올빼미 디거 등 또 다른 친구들을 만나 악한 세력을 물리치기 위한 힘을 기르려 전설의 가훌 기사단이 사는 가훌 나무를 찾아 떠난다.

소렌과	소렌/NNP+과/JC
길피는	길피/NNP+는/JX
회색	회색/NNG
올빼미	올빼미/NNG
트와일라잇,	트와일라잇/NNP+,/SP
사막에	사막/NNG+에/JKB
홀로	홀로/MAG
버려진	버려지/VV+ㄴ/ETM
굴	굴/NNG
파기	파/VV+기/ETN
디거	디거/NNP
등	등/NNB
또	또/MAG
다른	다른/MMD
친구들을	친구/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
악한	악/NNG+하/XSA+ㄴ/ETM
세력을	세력/NNG+을/JKO
물리치기	물리치/VV+기/ETN
위한	위하/VV+ㄴ/ETM
힘을	힘/NNG+을/JKO
기르려	기르/VV+려/EC
전설의	전설/NNG+의/JKG
가훌	가훌/NNP
기사단이	기사단/NNG+이/JKS
사는	살/VV+는/ETM
나무를	나무/NNG+를/JKO
찾아	찾/VV+아/EC
떠난다.	떠나/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.250.4.1
뉴베리 영예상 수상작가인 저자는 올빼미들의 삶에 매료돼 논픽션 작품을 집필하기 위해 자료를 모으던 중 소설을 구상했다.

뉴베리	뉴베리/NNP
영예상	영예/NNG+상/NNG
수상작가인	수상/NNG+작가/NNG+이/VCP+ㄴ/ETM
저자는	저자/NNG+는/JX
올빼미들의	올빼미/NNG+들/XSN+의/JKG
삶에	삶/NNG+에/JKB
매료돼	매료/NNG+되/XSV+어/EC
논픽션	논픽션/NNG
작품을	작품/NNG+을/JKO
집필하기	집필/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
자료를	자료/NNG+를/JKO
모으던	모으/VV+던/ETM
중	중/NNB
소설을	소설/NNG+을/JKO
구상했다.	구상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.250.4.2
올해 하반기 애니메이션 개봉을 앞두고 있다.

올해	올해/NNG
하반기	하반기/NNG
애니메이션	애니메이션/NNG
개봉을	개봉/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


