# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.171
metadata : {}


# id : NWRW1800000024.171.1.1
빈부격차 사상 최대

빈부격차	빈부/NNG+격차/NNG
사상	사상/NNG
최대	최대/NNG


# id : NWRW1800000024.171.2.1
지난해 우리나라 지니계수가 사상 최고를 기록했다.

지난해	지난해/NNG
우리나라	우리나라/NNG
지니계수가	지니/NNG+계수/NNG+가/JKS
사상	사상/NNG
최고를	최고/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.171.2.2
빈부 격차가 더 심해졌다는 뜻이다.

빈부	빈부/NNG
격차가	격차/NNG+가/JKS
더	더/MAG
심해졌다는	심하/VA+아/EC+지/VX+었/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.171.3.1
21일 통계청의 ‘소득분배 지표’를 분석해 보면, 지난해 1인 가구와 농촌 가구를 제외한 우리나라 ‘도시 근로자 가구’ 소득을 기준으로 계산한 지니계수는 0.325로 나타났다.

21일	21/SN+일/NNB
통계청의	통계청/NNG+의/JKG
‘소득분배	‘/SS+소득/NNG+분배/NNG
지표’를	지표/NNG+’/SS+를/JKO
분석해	분석/NNG+하/XSV+아/EC
보면,	보/VX+면/EC+,/SP
지난해	지난해/NNG
1인	1/SN+인/NNG
가구와	가구/NNG+와/JC
농촌	농촌/NNG
가구를	가구/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
우리나라	우리나라/NNG
‘도시	‘/SS+도시/NNG
근로자	근로자/NNG
가구’	가구/NNG+’/SS
소득을	소득/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
계산한	계산/NNG+하/XSV+ㄴ/ETM
지니계수는	지니/NNG+계수/NNG+는/JX
0.325로	0/SN+./SP+325/SN+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.171.3.2
1990년 관련 통계를 낸 이후 가장 높은 수치이다.

1990년	1990/SN+년/NNB
관련	관련/NNG
통계를	통계/NNG+를/JKO
낸	내/VV+ㄴ/ETM
이후	이후/NNG
가장	가장/MAG
높은	높/VA+은/ETM
수치이다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.171.3.3
지니계수는 0과 1 사이의 값으로, 1에 가까워질수록 더 불평등함을 뜻한다.

지니계수는	지니/NNG+계수/NNG+는/JX
0과	0/SN+과/JC
1	1/SN
사이의	사이/NNG+의/JKG
값으로,	값/NNG+으로/JKB+,/SP
1에	1/SN+에/JKB
가까워질수록	가깝/VA+어/EC+지/VX+ㄹ수록/EC
더	더/MAG
불평등함을	불/XPN+평등/NNG+하/XSA+ㅁ/ETN+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.171.3.4
1999년 0.303으로 정점을 찍은 뒤 소폭 등락을 거듭하던 우리나라의 지니계수는 2004년(0.301) 이후부터 지속적인 증가세에 접어들었다.

1999년	1999/SN+년/NNB
0.303으로	0/SN+./SP+303/SN+으로/JKB
정점을	정점/NNG+을/JKO
찍은	찍/VV+은/ETM
뒤	뒤/NNG
소폭	소폭/NNG
등락을	등락/NNG+을/JKO
거듭하던	거듭/MAG+하/XSV+던/ETM
우리나라의	우리나라/NNG+의/JKG
지니계수는	지니/NNG+계수/NNG+는/JX
2004년(0.301)	2004/SN+년/NNB+(/SS+0/SN+./SP+301/SN+)/SS
이후부터	이후/NNG+부터/JX
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
증가세에	증가세/NNG+에/JKB
접어들었다.	접어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.171.3.5
1인 가구와 농촌 가구를 제외한 ‘전국 가구’의 지니계수도 2003년 이후 계속 오르고 있다.

1인	1/SN+인/NNG
가구와	가구/NNG+와/JC
농촌	농촌/NNG
가구를	가구/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
‘전국	‘/SS+전국/NNG
가구’의	가구/NNG+’/SS+의/JKG
지니계수도	지니/NNG+계수/NNG+도/JX
2003년	2003/SN+년/NNB
이후	이후/NNG
계속	계속/MAG
오르고	오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.171.3.6
지난해 0.331을 기록했으며 2007년과 비교하면 0.002 올랐다.

지난해	지난해/NNG
0.331을	0/SN+./SP+331/SN+을/JKO
기록했으며	기록/NNG+하/XSV+았/EP+으며/EC
2007년과	2007/SN+년/NNB+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
0.002	0/SN+./SP+002/SN
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.171.4.1
이는 한쪽에서는 회복세로 돌아선 주식·부동산 등으로 자산을 늘리고, 다른 쪽에서는 일자리를 구하지 못해 경제 불안에 시달리는 양극화 현상이 깊어지고 있기 때문으로 풀이된다.

이는	이/NP+는/JX
한쪽에서는	한쪽/NNG+에서/JKB+는/JX
회복세로	회복세/NNG+로/JKB
돌아선	돌아서/VV+ㄴ/ETM
주식·부동산	주식/NNG+·/SP+부동산/NNG
등으로	등/NNB+으로/JKB
자산을	자산/NNG+을/JKO
늘리고,	늘리/VV+고/EC+,/SP
다른	다른/MMD
쪽에서는	쪽/NNB+에서/JKB+는/JX
일자리를	일자리/NNG+를/JKO
구하지	구하/VV+지/EC
못해	못하/VX+아/EC
경제	경제/NNG
불안에	불안/NNG+에/JKB
시달리는	시달리/VV+는/ETM
양극화	양극/NNG+화/XSN
현상이	현상/NNG+이/JKS
