# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.214
metadata : {}


# id : NWRW1800000028.214.1.1
직선과 곡선 /누가 마음을 얻을까

직선과	직선/NNG+과/JC
곡선	곡선/NNG
/누가	//SP+누구/NP+가/JKS
마음을	마음/NNG+을/JKO
얻을까	얻/VV+을까/EF


# id : NWRW1800000028.214.2.1
직선(기아자동차)과 곡선(현대자동차) 중 진정한 승자는?

직선(기아자동차)과	직선/NNG+(/SS+기아자동차/NNP+)/SS+과/JC
곡선(현대자동차)	곡선/NNG+(/SS+현대자동차/NNP+)/SS
중	중/NNB
진정한	진정하/VA+ㄴ/ETM
승자는?	승자/NNG+는/JX+?/SF


# id : NWRW1800000028.214.2.2
요즘 자동차시장의 ‘한 지붕 두 가족’ 사이에 벌어지는 불꽃 튀는 디자인 경쟁을 보고 있자면 ‘누가 먼저 나그네 옷을 벗기느냐’를 놓고 대결하는 태양과 바람의 우화가 떠오른다.

요즘	요즘/NNG
자동차시장의	자동차/NNG+시장/NNG+의/JKG
‘한	‘/SS+한/MMN
지붕	지붕/NNG
두	두/MMN
가족’	가족/NNG+’/SS
사이에	사이/NNG+에/JKB
벌어지는	벌어지/VV+는/ETM
불꽃	불꽃/NNG
튀는	튀/VV+는/ETM
디자인	디자인/NNG
경쟁을	경쟁/NNG+을/JKO
보고	보/VV+고/EC
있자면	있/VX+자면/EC
‘누가	‘/SS+누구/NP+가/JKS
먼저	먼저/MAG
나그네	나그네/NNG
옷을	옷/NNG+을/JKO
벗기느냐’를	벗기/VV+느냐/EF+’/SS+를/JKO
놓고	놓/VV+고/EC
대결하는	대결/NNG+하/XSV+는/ETM
태양과	태양/NNG+과/JC
바람의	바람/NNG+의/JKG
우화가	우화/NNG+가/JKS
떠오른다.	떠오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.214.2.3
절제된 옆모습(K5)과 날카로운 옆주름(YF 쏘나타)이란 상반된 디자인 가운데 어느 쪽이 소비자의 가슴을 여는 데 성공할까?

절제된	절제/NNG+되/XSV+ㄴ/ETM
옆모습(K5)과	옆모습/NNG+(/SS+K/SL+5/SN+)/SS+과/JC
날카로운	날카롭/VA+ㄴ/ETM
옆주름(YF	옆/NNG+주름/NNG+(/SS+YF/SL
쏘나타)이란	쏘나타/NNG+)/SS+이/VCP+란/ETM
상반된	상반/NNG+되/XSV+ㄴ/ETM
디자인	디자인/NNG
가운데	가운데/NNG
어느	어느/MMD
쪽이	쪽/NNB+이/JKS
소비자의	소비자/NNG+의/JKG
가슴을	가슴/NNG+을/JKO
여는	열/VV+는/ETM
데	데/NNB
성공할까?	성공/NNG+하/XSV+ㄹ까/EF+?/SF


# id : NWRW1800000028.214.3.1
■ 직선의 단순화 2006년 독일 폴크스바겐의 수석 디자이너였던 페터 슈라이어 디자인총괄 부사장이 영입된 뒤 기아차가 내세우는 콘셉트다.

■	■/SW
직선의	직선/NNG+의/JKG
단순화	단순/NNG+화/XSN
2006년	2006/SN+년/NNB
독일	독일/NNP
폴크스바겐의	폴크스바겐/NNP+의/JKG
수석	수석/NNG
디자이너였던	디자이너/NNG+이/VCP+었/EP+던/ETM
페터	페터/NNP
슈라이어	슈라이어/NNP
디자인총괄	디자인/NNG+총괄/NNG
부사장이	부사장/NNG+이/JKS
영입된	영입/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
기아차가	기아차/NNP+가/JKS
내세우는	내세우/VV+는/ETM
콘셉트다.	콘셉트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.214.3.2
군더더기를 최소화하고, 기하학적인 선을 연결해 ‘면’을 만드는 방식으로 부드러움을 표현하고 있다.

군더더기를	군더더기/NNG+를/JKO
최소화하고,	최소/NNG+화/XSN+하/XSV+고/EC+,/SP
기하학적인	기하학/NNG+적/XSN+이/VCP+ㄴ/ETM
선을	선/NNG+을/JKO
연결해	연결/NNG+하/XSV+아/EC
‘면’을	‘/SS+면/NNG+’/SS+을/JKO
만드는	만들/VV+는/ETM
방식으로	방식/NNG+으로/JKB
부드러움을	부드럽/VA+ㅁ/ETN+을/JKO
표현하고	표현/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.214.3.3
쏘울, 스포티지아르(R)에서 케이(K)7으로 이어진 이 같은 흐름은 최근 출시된 케이5에서 정점에 이르렀다.

쏘울,	쏘울/NNG+,/SP
스포티지아르(R)에서	스포티지아르/NNG+(/SS+R/SL+)/SS+에서/JKB
케이(K)7으로	케이/NNG+(/SS+K/SL+)/SS+7/SN+으로/JKB
이어진	이어지/VV+ㄴ/ETM
이	이/MMD
같은	같/VA+은/ETM
흐름은	흐름/NNG+은/JX
최근	최근/NNG
출시된	출시/NNG+되/XSV+ㄴ/ETM
케이5에서	케이5/NNP+에서/JKB
정점에	정점/NNG+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.214.3.4
첫인상은 심심해 보이지만, 볼수록 깊은 멋이 느껴진다.

첫인상은	첫인상/NNG+은/JX
심심해	심심하/VA+아/EC
보이지만,	보이/VV+지만/EC+,/SP
볼수록	보/VV+ㄹ수록/EC
깊은	깊/VA+은/ETM
멋이	멋/NNG+이/JKS
느껴진다.	느끼/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.214.3.5
슈라이어 부사장은 “케이5는 기아차 디자인팀의 유럽 ‘챔피언스 리그’ 도전을 성공시킬 차”라고 자신한 바 있다.

슈라이어	슈라이어/NNP
부사장은	부사장/NNG+은/JX
“케이5는	“/SS+케이5/NNP+는/JX
기아차	기아차/NNP
디자인팀의	디자인/NNG+팀/NNG+의/JKG
유럽	유럽/NNP
‘챔피언스	‘/SS+챔피언스/NNG
리그’	리그/NNG+’/SS
도전을	도전/NNG+을/JKO
성공시킬	성공/NNG+시키/XSV+ㄹ/ETM
차”라고	차/NNG+”/SS+라고/JKQ
자신한	자신/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.214.4.1
이는 간소한 기능을 강조하는 기아차의 제품 이미지와도 잘 맞아떨어진다.

이는	이/NP+는/JX
간소한	간소하/VA+ㄴ/ETM
기능을	기능/NNG+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
기아차의	기아차/NNP+의/JKG
제품	제품/NNG
이미지와도	이미지/NNG+와/JKB+도/JX
잘	잘/MAG
맞아떨어진다.	맞아떨어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.214.4.2
그동안 촌스럽게 여겨졌던 ‘KIA’라는 브랜드조차 “알파벳 세 글자의 단순하고 힘있는” 어감으로 새삼 주목받을 정도다.

그동안	그동안/NNG
촌스럽게	촌/NNG+스럽/XSA+게/EC
여겨졌던	여기/VV+어/EC+지/VX+었/EP+던/ETM
‘KIA’라는	‘/SS+KIA/SL+’/SS+이/VCP+라는/ETM
브랜드조차	브랜드/NNG+조차/JX
“알파벳	“/SS+알파벳/NNG
세	세/MMN
글자의	글자/NNG+의/JKG
단순하고	단순/NNG+하/XSA+고/EC
힘있는”	힘/NNG+있/VA+는/ETM+”/SS
어감으로	어감/NNG+으로/JKB
새삼	새삼/MAG
주목받을	주목/NNG+받/XSV+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.214.4.3
여기에 모든 차종을 아울러 호랑이 코를 닮은 라디에이터 그릴로 ‘패밀리 룩’을 입힌 것도 날렵한 이미지를 배가시키고 있다.

여기에	여기/NP+에/JKB
모든	모든/MMN
차종을	차종/NNG+을/JKO
아울러	아울러/MAG
호랑이	호랑이/NNG
코를	코/NNG+를/JKO
닮은	닮/VV+은/ETM
라디에이터	라디에이터/NNG
그릴로	그릴/NNG+로/JKB
‘패밀리	‘/SS+패밀리/NNG
룩’을	룩/NNG+’/SS+을/JKO
입힌	입히/VV+ㄴ/ETM
것도	것/NNB+도/JX
날렵한	날렵하/VA+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
배가시키고	배가/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.214.5.1
■ 곡선의 조화 반면 요즘 현대차가 들고나온 디자인 콘셉트는 다소 난해하다.

■	■/SW
곡선의	곡선/NNG+의/JKG
조화	조화/NNG
반면	반면/NNG
요즘	요즘/NNG
현대차가	현대차/NNP+가/JKS
들고나온	들고나오/VV+ㄴ/ETM
디자인	디자인/NNG
콘셉트는	콘셉트/NNG+는/JX
다소	다소/MAG
난해하다.	난해하/VA+다/EF+./SF


# id : NWRW1800000028.214.5.2
‘플루이딕 스컬프처’(유체역학적 조형).

‘플루이딕	‘/SS+플루이딕/NNG
스컬프처’(유체역학적	스컬프처/NNG+’/SS+(/SS+유체/NNG+역학/NNG+적/XSN
조형).	조형/NNG+)/SS+./SF


# id : NWRW1800000028.214.5.3
물, 바람 등 자연이 남긴 자취를 날카로운 곡선으로 표현하겠다는 것인데, 와이에프(YF) 쏘나타의 보닛과 옆 라인의 ‘굵은 주름’이 대표적이다.

물,	물/NNG+,/SP
바람	바람/NNG
등	등/NNB
자연이	자연/NNG+이/JKS
남긴	남기/VV+ㄴ/ETM
자취를	자취/NNG+를/JKO
날카로운	날카롭/VA+ㄴ/ETM
곡선으로	곡선/NNG+으로/JKB
표현하겠다는	표현/NNG+하/XSV+겠/EP+다는/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
와이에프(YF)	와이에프/NNP+(/SS+YF/SL+)/SS
쏘나타의	쏘나타/NNG+의/JKG
보닛과	보닛/NNG+과/JC
옆	옆/NNG
라인의	라인/NNG+의/JKG
