# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.41
metadata : {}


# id : NWRW1800000026.41.1.1
[호남] 익산에 LED융합 클러스터

[호남]	[/SS+호남/NNP+]/SS
익산에	익산/NNP+에/JKB
LED융합	LED/SL+융합/NNG
클러스터	클러스터/NNG


# id : NWRW1800000026.41.2.1
전북도가 익산지방산단을 중심으로 익산에 LED융합클러스터를 조성하겠다고 3일 밝혔다.

전북도가	전북도/NNP+가/JKS
익산지방산단을	익산지방산단/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
익산에	익산/NNP+에/JKB
LED융합클러스터를	LED/SL+융합/NNG+클러스터/NNG+를/JKO
조성하겠다고	조성/NNG+하/XSV+겠/EP+다고/EC
3일	3/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.41.2.2
내년 말 익산시 삼기면에 279만㎡(85만평)로 조성될 지방산단 내 부지 20만평에 LED기업 50곳을 집적시키고 연구개발·성능평가기관까지 배치한다는 것이다.

내년	내년/NNG
말	말/NNB
익산시	익산시/NNP
삼기면에	삼기면/NNP+에/JKB
279만㎡(85만평)로	279/SN+만/NR+㎡/SW+(/SS+85/SN+만/NR+평/NNB+)/SS+로/JKB
조성될	조성/NNG+되/XSV+ㄹ/ETM
지방산단	지방/NNG+산단/NNG
내	내/NNB
부지	부지/NNG
20만평에	20/SN+만/NR+평/NNB+에/JKB
LED기업	LED/SL+기업/NNG
50곳을	50/SN+곳/NNG+을/JKO
집적시키고	집적/NNG+시키/XSV+고/EC
연구개발·성능평가기관까지	연구/NNG+개발/NNG+·/SP+성능/NNG+평가/NNG+기관/NNG+까지/JX
배치한다는	배치/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.41.3.1
익산에선 광전자와 한국고덴시 등 LED기업들이 가동 중이고, 전북대 서남권LED융합기술지원센터도 올 상반기 익산캠퍼스로 옮기면서 LED를 이용한 100평 규모의 식물공장도 세울 예정이다.

익산에선	익산/NNP+에서/JKB+ㄴ/JX
광전자와	광전자/NNP+와/JC
한국고덴시	한국고덴시/NNP
등	등/NNB
LED기업들이	LED/SL+기업/NNG+들/XSN+이/JKS
가동	가동/NNG
중이고,	중/NNB+이/VCP+고/EC+,/SP
전북대	전북대/NNP
서남권LED융합기술지원센터도	서남/NNG+권/XSN+LED/SL+융합/NNG+기술/NNG+지원/NNG+센터/NNG+도/JX
올	올/NNG
상반기	상반기/NNG
익산캠퍼스로	익산/NNP+캠퍼스/NNG+로/JKB
옮기면서	옮기/VV+면서/EC
LED를	LED/SL+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
100평	100/SN+평/NNB
규모의	규모/NNG+의/JKG
식물공장도	식물/NNG+공장/NNG+도/JX
세울	세우/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


