# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.218
metadata : {}


# id : NWRW1800000038.218.1.1
"작년 미스코리아 대회서 심사위원 매수 뒷돈 줬다"

"작년	"/SS+작년/NNG
미스코리아	미스/NNG+코리아/NNP
대회서	대회/NNG+서/JKB
심사위원	심사/NNG+위원/NNG
매수	매수/NNG
뒷돈	뒷돈/NNG
줬다"	주/VV+었/EP+다/EF+"/SS


# id : NWRW1800000038.218.2.1
본선 후보자 어머니 주장…한국일보 "일부 매수했으나 돈 준 후보자는 탈락…

본선	본선/NNG
후보자	후보자/NNG
어머니	어머니/NNG
주장…한국일보	주장/NNG+…/SE+한국일보/NNP
"일부	"/SS+일부/NNG
매수했으나	매수/NNG+하/XSV+았/EP+으나/EC
돈	돈/NNG
준	주/VV+ㄴ/ETM
후보자는	후보자/NNG+는/JX
탈락…	탈락/NNG+…/SE


# id : NWRW1800000038.218.3.1
작년 미스코리아 선발대회 본선 참가자 가족이 "주최 측 관계자가 심사위원을 매수해야 한다며 뒷돈을 요구해 전달했다"고 주장했다.

작년	작년/NNG
미스코리아	미스/NNG+코리아/NNP
선발대회	선발/NNG+대회/NNG
본선	본선/NNG
참가자	참가자/NNG
가족이	가족/NNG+이/JKS
"주최	"/SS+주최/NNG
측	측/NNB
관계자가	관계자/NNG+가/JKS
심사위원을	심사/NNG+위원/NNG+을/JKO
매수해야	매수/NNG+하/XSV+아야/EC
한다며	하/VX+ㄴ다며/EC
뒷돈을	뒷돈/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
전달했다"고	전달/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.218.3.2
이에 대해 한국일보는 입장 발표를 통해 "후보자 모친이 본사 사업국 직원을 통해 심사위원을 매수했으나, 목적을 달성하지 못하고 미수에 그친 사건"이라고 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
한국일보는	한국일보/NNP+는/JX
입장	입장/NNG
발표를	발표/NNG+를/JKO
통해	통하/VV+아/EC
"후보자	"/SS+후보자/NNG
모친이	모친/NNG+이/JKS
본사	본사/NNG
사업국	사업국/NNG
직원을	직원/NNG+을/JKO
심사위원을	심사/NNG+위원/NNG+을/JKO
매수했으나,	매수/NNG+하/XSV+았/EP+으나/EC+,/SP
목적을	목적/NNG+을/JKO
달성하지	달성/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
미수에	미수/NNG+에/JKB
그친	그치/VV+ㄴ/ETM
사건"이라고	사건/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.218.4.1
작년 대회 참가자의 어머니 A (55)씨는 본선(7월 6일)에 앞서 6월 29일 대회를 주최한 한국일보 사업국의 B팀장으로부터 "현재 따님이 3~7위에 들어가고 결격 사유도 없으니 수상 확률을 높이기 위해서는 심사위원 2명만 사면 된다. 한 명에 2000만원이 필요하다"는 제안을 받았다고 20일 말했다.

작년	작년/NNG
대회	대회/NNG
참가자의	참가자/NNG+의/JKG
어머니	어머니/NNG
A	A/SL
(55)씨는	(/SS+55/SN+)/SS+씨/NNB+는/JX
본선(7월	본선/NNG+(/SS+7/SN+월/NNB
6일)에	6/SN+일/NNB+)/SS+에/JKB
앞서	앞서/VV+어/EC
6월	6/SN+월/NNB
29일	29/SN+일/NNB
대회를	대회/NNG+를/JKO
주최한	주최/NNG+하/XSV+ㄴ/ETM
한국일보	한국일보/NNP
사업국의	사업국/NNG+의/JKG
B팀장으로부터	B/SL+팀장/NNG+으로부터/JKB
"현재	"/SS+현재/MAG
따님이	따님/NNG+이/JKS
3~7위에	3/SN+~/SO+7/SN+위/NNB+에/JKB
들어가고	들어가/VV+고/EC
결격	결격/NNG
사유도	사유/NNG+도/JX
없으니	없/VA+으니/EC
수상	수상/NNG
확률을	확률/NNG+을/JKO
높이기	높이/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
심사위원	심사/NNG+위원/NNG
2명만	2/SN+명/NNB+만/JX
사면	사/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF
한	한/MMN
명에	명/NNB+에/JKB
2000만원이	2000/SN+만/NR+원/NNB+이/JKS
필요하다"는	필요/NNG+하/XSA+다/EF+"/SS+는/ETM
제안을	제안/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
20일	20/SN+일/NNB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.218.5.1
이에 A씨는 대회를 이틀 앞둔 7월 4일 B팀장이 알려준 서울경제TV 법인 계좌로 자기 남편 계좌에서 4000만원을 송금했다며 이체 내용이 인쇄된 예금통장을 제시했다.

이에	이/NP+에/JKB
A씨는	A/SL+씨/NNB+는/JX
대회를	대회/NNG+를/JKO
이틀	이틀/NNG
앞둔	앞두/VV+ㄴ/ETM
7월	7/SN+월/NNB
4일	4/SN+일/NNB
B팀장이	B/SL+팀장/NNG+이/JKS
알려준	알리/VV+어/EC+주/VX+ㄴ/ETM
서울경제TV	서울경제TV/NNP
법인	법인/NNG
계좌로	계좌/NNG+로/JKB
자기	자기/NP
남편	남편/NNG
계좌에서	계좌/NNG+에서/JKB
4000만원을	4000/SN+만/NR+원/NNB+을/JKO
송금했다며	송금/NNG+하/XSV+았/EP+다며/EC
이체	이체/NNG
내용이	내용/NNG+이/JKS
인쇄된	인쇄/NNG+되/XSV+ㄴ/ETM
예금통장을	예금/NNG+통장/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.218.5.2
A씨는 "B팀장으로부터 본선 심사위원 2명이 대회에 협찬금을 내는 형식으로 하라는 말을 듣고, 이들이 전달하는 것처럼 보이기 위해 심사위원들의 이름을 써서 텔레뱅킹으로 송금했다"고 주장했다.

A씨는	A/SL+씨/NNB+는/JX
"B팀장으로부터	"/SS+B/SL+팀장/NNG+으로부터/JKB
본선	본선/NNG
심사위원	심사/NNG+위원/NNG
2명이	2/SN+명/NNB+이/JKS
대회에	대회/NNG+에/JKB
협찬금을	협찬금/NNG+을/JKO
내는	내/VV+는/ETM
형식으로	형식/NNG+으로/JKB
하라는	하/VV+라는/ETM
말을	말/NNG+을/JKO
듣고,	듣/VV+고/EC+,/SP
이들이	이/NP+들/XSN+이/JKS
전달하는	전달/NNG+하/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
보이기	보이/VV+기/ETN
위해	위하/VV+아/EC
심사위원들의	심사/NNG+위원/NNG+들/XSN+의/JKG
이름을	이름/NNG+을/JKO
써서	쓰/VV+어서/EC
텔레뱅킹으로	텔레뱅킹/NNG+으로/JKB
송금했다"고	송금/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.218.6.1
작년 미스코리아 대회는 한국일보·스포츠한국이 주최하고 서울경제·코리아타임스·한국아이닷컴이 후원했다.

작년	작년/NNG
미스코리아	미스/NNG+코리아/NNP
대회는	대회/NNG+는/JX
한국일보·스포츠한국이	한국일보/NNP+·/SP+스포츠한국/NNP+이/JKS
주최하고	주최/NNG+하/XSV+고/EC
서울경제·코리아타임스·한국아이닷컴이	서울경제/NNP+·/SP+코리아타임스/NNP+·/SP+한국아이닷컴/NNP+이/JKS
후원했다.	후원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.218.7.1
그러나 A씨의 딸은 7명이 받는 본상에 뽑히지 못했다.

그러나	그러나/MAJ
A씨의	A/SL+씨/NNB+의/JKG
딸은	딸/NNG+은/JX
7명이	7/SN+명/NNB+이/JKS
받는	받/VV+는/ETM
본상에	본상/NNG+에/JKB
뽑히지	뽑히/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.218.7.2
A씨는 대회 이후 한국일보 고위층을 만나 송금을 공개하고 반환을 요구했으나 돌려받지 못했다고 주장했다.

A씨는	A/SL+씨/NNB+는/JX
대회	대회/NNG
이후	이후/NNG
한국일보	한국일보/NNP
고위층을	고위/NNG+층/XSN+을/JKO
만나	만나/VV+아/EC
송금을	송금/NNG+을/JKO
공개하고	공개/NNG+하/XSV+고/EC
반환을	반환/NNG+을/JKO
요구했으나	요구/NNG+하/XSV+았/EP+으나/EC
돌려받지	돌려받/VV+지/EC
못했다고	못하/VX+았/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.218.8.1
한국일보는 "관련자들이 일부 심사위원을 매수했음에도 후보자가 탈락한 사실은 당시 심사가 금품 수수와 상관없이 공정하게 이루어졌음을 입증한다"고 반박했다.

한국일보는	한국일보/NNP+는/JX
"관련자들이	"/SS+관련자/NNG+들/XSN+이/JKS
일부	일부/NNG
심사위원을	심사/NNG+위원/NNG+을/JKO
매수했음에도	매수/NNG+하/XSV+았/EP+음/ETN+에/JKB+도/JX
후보자가	후보자/NNG+가/JKS
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
사실은	사실/NNG+은/JX
당시	당시/NNG
심사가	심사/NNG+가/JKS
금품	금품/NNG
수수와	수수/NNG+와/JKB
상관없이	상관없이/MAG
공정하게	공정/NNG+하/XSA+게/EC
이루어졌음을	이루어지/VV+었/EP+음/ETN+을/JKO
입증한다"고	입증/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


