# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.333
metadata : {}


# id : NWRW1800000037.333.1.1
[밥값하는 국회로]국정 발목잡은 국회, 동료 구하기엔 ‘척척’

[밥값하는	[/SS+밥값/NNG+하/XSV+는/ETM
국회로]국정	국회/NNG+로/JKB+]/SS+국정/NNG
발목잡은	발목/NNG+잡/VV+은/ETM
국회,	국회/NNG+,/SP
동료	동료/NNG
구하기엔	구하/VV+기/ETN+에/JKB+ㄴ/JX
‘척척’	‘/SS+척척/MAG+’/SS


# id : NWRW1800000037.333.2.1
정부조직법 개정안이 ‘병목’에 막힌 채 장기 표류하고 있다.

정부조직법	정부/NNG+조직법/NNG
개정안이	개정안/NNG+이/JKS
‘병목’에	‘/SS+병목/NNG+’/SS+에/JKB
막힌	막히/VV+ㄴ/ETM
채	채/NNB
장기	장기/NNG
표류하고	표류/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.333.2.2
여야는 ‘타협의 리더십’을 사실상 포기한 채 각자 여론전에 나선 모습이다.

여야는	여야/NNG+는/JX
‘타협의	‘/SS+타협/NNG+의/JKG
리더십’을	리더십/NNG+’/SS+을/JKO
사실상	사실상/MAG
포기한	포기/NNG+하/XSV+ㄴ/ETM
채	채/NNB
각자	각자/MAG
여론전에	여론전/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.333.2.3
여야 대치 속에서 공직선거법 위반 혐의로 불구속 기소된 새누리당 김영주 의원(비례대표)에 대한 체포동의안 처리는 사실상 무산돼 국회는 이래저래 임무 방기 비판에 직면하고 있다.

여야	여야/NNG
대치	대치/NNG
속에서	속/NNG+에서/JKB
공직선거법	공직/NNG+선거법/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
불구속	불/XPN+구속/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
새누리당	새누리당/NNP
김영주	김영주/NNP
의원(비례대표)에	의원/NNG+(/SS+비례/NNG+대표/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
체포동의안	체포/NNG+동의안/NNG
처리는	처리/NNG+는/JX
사실상	사실상/MAG
무산돼	무산/NNG+되/XSV+어/EC
국회는	국회/NNG+는/JX
이래저래	이래저래/MAG
임무	임무/NNG
방기	방기/NNG
비판에	비판/NNG+에/JKB
직면하고	직면/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.333.3.1
여야는 28일 오전 각각 최고위원회와 고위정책회의를 열고 정부조직법 개정안 처리를 위한 당내 의견을 수렴했다.

여야는	여야/NNG+는/JX
28일	28/SN+일/NNB
오전	오전/NNG
각각	각각/MAG
최고위원회와	최고/NNG+위원회/NNG+와/JC
고위정책회의를	고위/NNG+정책/NNG+회의/NNG+를/JKO
열고	열/VV+고/EC
정부조직법	정부/NNG+조직법/NNG
개정안	개정안/NNG
처리를	처리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
당내	당내/NNG
의견을	의견/NNG+을/JKO
수렴했다.	수렴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.333.3.2
미약하게나마 ‘정치적 해결’ 목소리도 나왔지만 강경 분위기에 묻혔다.

미약하게나마	미약하/VA+게/EC+나마/JX
‘정치적	‘/SS+정치/NNG+적/XSN
해결’	해결/NNG+’/SS
목소리도	목소리/NNG+도/JX
나왔지만	나오/VV+았/EP+지만/EC
강경	강경/NNG
분위기에	분위기/NNG+에/JKB
묻혔다.	묻히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.333.4.1
새누리당 최고위 비공개 회의에서 유기준 최고위원은 “논란이 되는 것(미래창조과학부)을 빼고 (여야 합의가 가능한) 나머지 것(부처)부터 통과시키자”는 ‘분리 처리론’을 제안했지만 싸늘한 반응만 돌아온 것으로 알려졌다.

새누리당	새누리당/NNP
최고위	최/XPN+고위/NNG
비공개	비/XPN+공개/NNG
회의에서	회의/NNG+에서/JKB
유기준	유기준/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
“논란이	“/SS+논란/NNG+이/JKC
되는	되/VV+는/ETM
것(미래창조과학부)을	것/NNB+(/SS+미래/NNG+창조/NNG+과학부/NNG+)/SS+을/JKO
빼고	빼/VV+고/EC
(여야	(/SS+여야/NNG
합의가	합의/NNG+가/JKS
가능한)	가능/NNG+하/XSA+ㄴ/ETM+)/SS
나머지	나머지/NNG
것(부처)부터	것/NNB+(/SS+부처/NNG+)/SS+부터/JX
통과시키자”는	통과/NNG+시키/XSV+자/EF+”/SS+는/ETM
‘분리	‘/SS+분리/NNG
처리론’을	처리/NNG+론/XSN+’/SS+을/JKO
제안했지만	제안/NNG+하/XSV+았/EP+지만/EC
싸늘한	싸늘하/VA+ㄴ/ETM
반응만	반응/NNG+만/JX
돌아온	돌아오/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.333.5.1
새누리당 지도부는 이후 민주통합당에 “국회의장단과 여야 대표-원내대표 연석회의를 통해 정부조직 개편안 협상을 타결하자”는 새로운 제안을 내놨다.

새누리당	새누리당/NNP
지도부는	지도부/NNG+는/JX
이후	이후/NNG
민주통합당에	민주통합당/NNP+에/JKB
“국회의장단과	“/SS+국회/NNG+의장단/NNG+과/JC
여야	여야/NNG
대표-원내대표	대표/NNG+-/SO+원내/NNG+대표/NNG
연석회의를	연석회의/NNG+를/JKO
통해	통하/VV+아/EC
정부조직	정부/NNG+조직/NNG
개편안	개편안/NNG
협상을	협상/NNG+을/JKO
타결하자”는	타결/NNG+하/XSV+자/EF+”/SS+는/ETM
새로운	새롭/VA+ㄴ/ETM
제안을	제안/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.333.5.2
황우여 대표는 “주말을 넘기지 말고 해결해야 한다”며 야당을 압박했다.

황우여	황우여/NNP
대표는	대표/NNG+는/JX
“주말을	“/SS+주말/NNG+을/JKO
넘기지	넘기/VV+지/EC
말고	말/VX+고/EC
해결해야	해결/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
야당을	야당/NNG+을/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.333.5.3
이에 민주당 문희상 비상대책위원장은 이날 오후 동아일보 기자와 만나 “황 대표에게 ‘사진만 찍는 모임은 안 한다’고 말했다.

이에	이/NP+에/JKB
민주당	민주당/NNP
문희상	문희상/NNP
비상대책위원장은	비상/NNG+대책/NNG+위원장/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
동아일보	동아일보/NNP
기자와	기자/NNG+와/JKB
만나	만나/VV+아/EC
“황	“/SS+황/NNP
대표에게	대표/NNG+에게/JKB
‘사진만	‘/SS+사진/NNG+만/JX
찍는	찍/VV+는/ETM
모임은	모임/NNG+은/JX
안	안/MAG
한다’고	하/VV+ㄴ다/EF+’/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.333.5.4
정치적 행위보다는 (여당이) 실질적인 것을 들고 와야 한다”며 거부했다.

정치적	정치/NNG+적/XSN
행위보다는	행위/NNG+보다/JKB+는/JX
(여당이)	(/SS+여당/NNG+이/JKS+)/SS
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
것을	것/NNB+을/JKO
들고	들/VV+고/EC
와야	오/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.333.5.5
민주당 내에서도 ‘타협론’이 고개를 들고 있지만 힘을 받지 못하는 상황이다.

민주당	민주당/NNP
내에서도	내/NNB+에서/JKB+도/JX
‘타협론’이	‘/SS+타협론/NNG+’/SS+이/JKS
고개를	고개/NNG+를/JKO
들고	들/VV+고/EC
있지만	있/VX+지만/EC
힘을	힘/NNG+을/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.333.5.6
민주당의 한 중진 의원은 “이제 결단을 내릴 때가 됐다”며 “여야 지도부가 전권을 가지고 이 문제를 해결해야 한다”고 말했다.

민주당의	민주당/NNP+의/JKG
한	한/MMN
중진	중진/NNG
의원은	의원/NNG+은/JX
“이제	“/SS+이제/MAG
결단을	결단/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
때가	때/NNG+가/JKC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“여야	“/SS+여야/NNG
지도부가	지도부/NNG+가/JKS
전권을	전권/NNG+을/JKO
가지고	가지/VV+고/EC
이	이/MMD
문제를	문제/NNG+를/JKO
해결해야	해결/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.333.6.1
정홍원 국무총리도 이날 여야 지도부를 찾아 협조를 구했다.

정홍원	정홍원/NNP
국무총리도	국무총리/NNG+도/JX
이날	이날/NNG
여야	여야/NNG
지도부를	지도부/NNG+를/JKO
찾아	찾/VV+아/EC
협조를	협조/NNG+를/JKO
구했다.	구하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.333.6.2
정 총리는 문 위원장을 만나 “대통령이 철학을 가지고 일할 수 있도록 해 달라”고 요청했다.

정	정/NNP
총리는	총리/NNG+는/JX
문	문/NNP
위원장을	위원장/NNG+을/JKO
만나	만나/VV+아/EC
“대통령이	“/SS+대통령/NNG+이/JKS
철학을	철학/NNG+을/JKO
가지고	가지/VV+고/EC
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해	하/VX+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.333.6.3
이에 문 위원장은 “(정부조직법은) 법률 형태이기 때문에 (여야) 합의 없이 할 순 없다”고 버텼다.

이에	이/NP+에/JKB
문	문/NNP
위원장은	위원장/NNG+은/JX
“(정부조직법은)	“/SS+(/SS+정부/NNG+조직법/NNG+은/JX+)/SS
법률	법률/NNG
형태이기	형태/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
(여야)	(/SS+여야/NNG+)/SS
합의	합의/NNG
없이	없이/MAG
할	하/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
버텼다.	버티/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.333.7.1
한편 2월 26일 국회 본회의에 보고된 김 의원 체포동의안은 ‘보고 이후 72시간 이내 표결’ 규정에 따라 1일까지 표결에 부쳐야 하지만 3·1절에 본회의 일정을 잡지 않아 처리가 무산됐다.

한편	한편/MAG
2월	2/SN+월/NNB
26일	26/SN+일/NNB
국회	국회/NNG
본회의에	본회의/NNG+에/JKB
보고된	보고/NNG+되/XSV+ㄴ/ETM
김	김/NNP
의원	의원/NNG
체포동의안은	체포/NNG+동의안/NNG+은/JX
‘보고	‘/SS+보고/NNG
이후	이후/NNG
72시간	72/SN+시간/NNB
이내	이내/NNG
표결’	표결/NNG+’/SS
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
1일까지	1/SN+일/NNB+까지/JX
표결에	표결/NNG+에/JKB
부쳐야	부치/VV+어야/EC
하지만	하/VX+지만/EC
3·1절에	3·1절/NNG+에/JKB
본회의	본회의/NNG
일정을	일정/NNG+을/JKO
잡지	잡/VV+지/EC
않아	않/VX+아/EC
처리가	처리/NNG+가/JKS
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.333.7.2
국회의 쇄신을 다짐하며 ‘의원 특권 내려놓기’를 경쟁적으로 다짐했던 여야의 약속이 또다시 무색해진 셈이다.

국회의	국회/NNG+의/JKG
쇄신을	쇄신/NNG+을/JKO
다짐하며	다짐/NNG+하/XSV+며/EC
‘의원	‘/SS+의원/NNG
특권	특권/NNG
내려놓기’를	내려놓/VV+기/ETN+’/SS+를/JKO
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
다짐했던	다짐/NNG+하/XSV+았/EP+던/ETM
여야의	여야/NNG+의/JKG
약속이	약속/NNG+이/JKS
또다시	또다시/MAG
무색해진	무색하/VA+아/EC+지/VX+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


