# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.409
metadata : {}


# id : NWRW1800000026.409.1.1
[수도권III] "농업인도 트위터·페이스북 활용해야";용인시 양성 과정 마련

[수도권III]	[/SS+수도/NNG+권/XSN+III/SL+]/SS
"농업인도	"/SS+농업인/NNG+도/JX
트위터·페이스북	트위터/NNP+·/SP+페이스북/NNP
활용해야";용인시	활용/NNG+하/XSV+아야/EC+"/SS+;/SW+용인시/NNP
양성	양성/NNG
과정	과정/NNG
마련	마련/NNG


# id : NWRW1800000026.409.2.1
용인시가 농업 분야 전자상거래 활성화를 위한 'e-비즈니스 전문 멘토 양성 과정' 교육생을 모집한다.

용인시가	용인시/NNP+가/JKS
농업	농업/NNG
분야	분야/NNG
전자상거래	전자/NNG+상거래/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
'e-비즈니스	'/SS+e/SL+-/SO+비즈니스/NNG
전문	전문/NNG
멘토	멘토/NNG
양성	양성/NNG
과정'	과정/NNG+'/SS
교육생을	교육/NNG+생/XSN+을/JKO
모집한다.	모집/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.409.3.1
'e-비즈니스 활성화 프로그램'은 농업인 대상 맞춤형 교육으로 내년 1월 초 워크숍을 통해 교육생이 직접 교육 프로그램을 기획하고 1년 과정으로 집합교육과 현장 컨설팅을 병행해 진행된다.

'e-비즈니스	'/SS+e/SL+-/SO+비즈니스/NNG
활성화	활성/NNG+화/XSN
프로그램'은	프로그램/NNG+'/SS+은/JX
농업인	농업인/NNG
대상	대상/NNG
맞춤형	맞춤/NNG+형/XSN
교육으로	교육/NNG+으로/JKB
내년	내년/NNG
1월	1/SN+월/NNB
초	초/NNB
워크숍을	워크숍/NNG+을/JKO
통해	통하/VV+아/EC
교육생이	교육/NNG+생/XSN+이/JKS
직접	직접/MAG
교육	교육/NNG
프로그램을	프로그램/NNG+을/JKO
기획하고	기획/NNG+하/XSV+고/EC
1년	1/SN+년/NNB
과정으로	과정/NNG+으로/JKB
집합교육과	집합/NNG+교육/NNG+과/JC
현장	현장/NNG
컨설팅을	컨설팅/NNG+을/JKO
병행해	병행/NNG+하/XSV+아/EC
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.409.4.1
프로그램에서는 농업에 정보기술(IT)을 접목해 농업 경쟁력을 높이기 위해 블로그, 페이스북, 트위터 등 최신 전산 관련 교육이 실시되며, 농산물 마케팅전략, 고객 관리방법, 농업회계세무 과정 등의 프로그램이 운영된다.

프로그램에서는	프로그램/NNG+에서/JKB+는/JX
농업에	농업/NNG+에/JKB
정보기술(IT)을	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS+을/JKO
접목해	접목/NNG+하/XSV+아/EC
농업	농업/NNG
경쟁력을	경쟁력/NNG+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+아/EC
블로그,	블로그/NNG+,/SP
페이스북,	페이스북/NNP+,/SP
트위터	트위터/NNP
등	등/NNB
최신	최신/NNG
전산	전산/NNG
관련	관련/NNG
교육이	교육/NNG+이/JKS
실시되며,	실시/NNG+되/XSV+며/EC+,/SP
농산물	농산물/NNG
마케팅전략,	마케팅/NNG+전략/NNG+,/SP
고객	고객/NNG
관리방법,	관리/NNG+방법/NNG+,/SP
농업회계세무	농업/NNG+회계/NNG+세무/NNG
과정	과정/NNG
등의	등/NNB+의/JKG
프로그램이	프로그램/NNG+이/JKS
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.409.5.1
모집기간은 15일부터 30일까지며 정원은 25명이다.

모집기간은	모집/NNG+기간/NNG+은/JX
15일부터	15/SN+일/NNB+부터/JX
30일까지며	30/SN+일/NNB+까지/JX+이/VCP+며/EC
정원은	정원/NNG+은/JX
25명이다.	25/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.409.5.2
용인시 농업기술센터 홈페이지(www.yatc.or.kr)에서 신청서를 내려받아 접수하면 된다.

용인시	용인시/NNP
농업기술센터	농업/NNG+기술/NNG+센터/NNG
홈페이지(www.yatc.or.kr)에서	홈페이지/NNG+(/SS+www/SL+./SP+yatc/SL+./SP+or/SL+./SP+kr/SL+)/SS+에서/JKB
신청서를	신청서/NNG+를/JKO
내려받아	내려받/VV+아/EC
접수하면	접수/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


