# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.457
metadata : {}


# id : NWRW1800000022.457.1.1
[정부 새해 업무보고] 문화부_영화·음악 불법 다운로드땐 민사 책임 '뉴스 콘텐츠 돈내고 보기' 대폭 확대;'읽기 문화' 확산 위해 시·도별 중학교 10곳 선정 신문 구독 지원키로

[정부	[/SS+정부/NNG
새해	새해/NNG
업무보고]	업무/NNG+보고/NNG+]/SS
문화부_영화·음악	문화부/NNG+_/SS+영화/NNG+·/SP+음악/NNG
불법	불법/NNG
다운로드땐	다운로드/NNG+때/NNG+ㄴ/JX
민사	민사/NNG
책임	책임/NNG
'뉴스	'/SS+뉴스/NNG
콘텐츠	콘텐츠/NNG
돈내고	돈/NNG+내/VV+고/EC
보기'	보/VV+기/ETN+'/SS
대폭	대폭/MAG
확대;'읽기	확대/NNG+;/SP+'/SS+읽기/NNG
문화'	문화/NNG+'/SS
확산	확산/NNG
위해	위하/VV+아/EC
시·도별	시·도/NNG+별/XSN
중학교	중학교/NNG
10곳	10/SN+곳/NNG
선정	선정/NNG
신문	신문/NNG
구독	구독/NNG
지원키로	지원/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000022.457.2.1
이르면 내년 말부터 불법 복제된 음원이나 영화 파일을 내려받다 적발될 경우 민사 책임을 지게 된다.

이르면	이르/VA+면/EC
내년	내년/NNG
말부터	말/NNB+부터/JX
불법	불법/NNG
복제된	복제/NNG+되/XSV+ㄴ/ETM
음원이나	음원/NNG+이나/JC
영화	영화/NNG
파일을	파일/NNG+을/JKO
내려받다	내려받/VV+다/EC
적발될	적발/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
민사	민사/NNG
책임을	책임/NNG+을/JKO
지게	지/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.457.2.2
국립중앙박물관 부지에 한글박물관 건립이 추진되고, 광화문 문화체육관광부 자리에는 대한민국 역사박물관 건립 공사가 시작된다.

국립중앙박물관	국립중앙박물관/NNP
부지에	부지/NNG+에/JKB
