# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.254
metadata : {}


# id : NWRW1800000040.254.1.1
‘촛불’ 어떻게 셀까…경찰, 계산법 개선 고심

‘촛불’	‘/SS+촛불/NNG+’/SS
어떻게	어떻/VA+게/EC
셀까…경찰,	세/VV+ㄹ까/EF+…/SE+경찰/NNG+,/SP
계산법	계산법/NNG
개선	개선/NNG
고심	고심/NNG


# id : NWRW1800000040.254.2.1
최고조 시점 인원수만 집계 ‘한계’

최고조	최/XPN+고조/NNG
시점	시점/NNG
인원수만	인원수/NNG+만/JX
집계	집계/NNG
‘한계’	‘/SS+한계/NNG+’/SS


# id : NWRW1800000040.254.3.1
집회 도중 빠진 인원도 추가키로

집회	집회/NNG
도중	도중/NNG
빠진	빠지/VV+ㄴ/ETM
인원도	인원/NNG+도/JX
추가키로	추가/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000040.254.4.1
시국회의, ‘집회방해’ 경찰 고소 방침

시국회의,	시국/NNG+회의/NNG+,/SP
‘집회방해’	‘/SS+집회/NNG+방해/NNG+’/SS
경찰	경찰/NNG
고소	고소/NNG
방침	방침/NNG


# id : NWRW1800000040.254.5.1
주최 쪽 추산 5만명 대 경찰 추산 1만6000명.

주최	주최/NNG
쪽	쪽/NNB
추산	추산/NNG
5만명	5/SN+만/NR+명/NNB
대	대/NNB
경찰	경찰/NNG
1만6000명.	1/SN+만/NR+6000/SN+명/NNB+./SF


# id : NWRW1800000040.254.5.2
달라도 너무 다른 촛불문화제 참가자 계산법을 두고 경찰이 개선 방안을 고심중이다.

달라도	다르/VA+아도/EC
너무	너무/MAG
다른	다른/MMD
촛불문화제	촛불/NNG+문화제/NNG
참가자	참가자/NNG
계산법을	계산법/NNG+을/JKO
두고	두/VV+고/EC
경찰이	경찰/NNG+이/JKS
개선	개선/NNG
방안을	방안/NNG+을/JKO
고심중이다.	고심/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.254.6.1
이성한 경찰청장은 13일 기자간담회에서 “주최 쪽 추산과 격차를 줄일 수 있는 방안을 고민해보겠다”고 밝혔다.

이성한	이성한/NNP
경찰청장은	경찰청장/NNG+은/JX
13일	13/SN+일/NNB
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“주최	“/SS+주최/NNG
쪽	쪽/NNB
추산과	추산/NNG+과/JC
격차를	격차/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안을	방안/NNG+을/JKO
고민해보겠다”고	고민/NNG+하/XSV+아/EC+보/VX+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.254.6.2
이 청장은 “집회가 최고조에 이르렀을 때의 참가자 수를 계산하는 경찰의 현재 집계 방식이 집회에 잠시 참여했다 돌아갔거나 중간에 참여하는 인원을 정확하게 반영하지 못하는 점이 있다”며 경찰 추산의 한계를 인정했다.

이	이/NNP
청장은	청장/NNG+은/JX
“집회가	“/SS+집회/NNG+가/JKS
최고조에	최/XPN+고조/NNG+에/JKB
이르렀을	이르/VV+었/EP+을/ETM
때의	때/NNG+의/JKG
참가자	참가자/NNG
수를	수/NNG+를/JKO
계산하는	계산/NNG+하/XSV+는/ETM
경찰의	경찰/NNG+의/JKG
현재	현재/MAG
집계	집계/NNG
방식이	방식/NNG+이/JKS
집회에	집회/NNG+에/JKB
잠시	잠시/MAG
참여했다	참여/NNG+하/XSV+았/EP+다/EC
돌아갔거나	돌아가/VV+았/EP+거나/EC
중간에	중간/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
인원을	인원/NNG+을/JKO
정확하게	정확/NNG+하/XSA+게/EC
반영하지	반영/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
점이	점/NNG+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
경찰	경찰/NNG
추산의	추산/NNG+의/JKG
한계를	한계/NNG+를/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.254.6.3
이에 따라 “집회 도중 빠지는 인원이 얼마나 되는지 산출해” 참가 연인원을 계산하는 쪽으로 개선할 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
“집회	“/SS+집회/NNG
도중	도중/NNG
빠지는	빠지/VV+는/ETM
인원이	인원/NNG+이/JKS
얼마나	얼마나/MAG
되는지	되/VV+는지/EC
산출해”	산출/NNG+하/XSV+아/EF+”/SS
참가	참가/NNG
연인원을	연인원/NNG+을/JKO
계산하는	계산/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
개선할	개선/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.254.7.1
경찰은 집회의 특정 시점에 3.3㎡(1평)당 몇 명이 모였는지를 기준으로 삼아 전체 면적을 고려해 인원을 추산한다.

경찰은	경찰/NNG+은/JX
집회의	집회/NNG+의/JKG
특정	특정/NNG
시점에	시점/NNG+에/JKB
3.3㎡(1평)당	3/SN+./SP+3/SN+㎡/SW+(/SS+1/SN+평/NNB+)/SS+당/XSN
몇	몇/NR
명이	명/NNB+이/JKS
모였는지를	모이/VV+었/EP+는지/EF+를/JKO
기준으로	기준/NNG+으로/JKB
삼아	삼/VV+아/EC
전체	전체/NNG
면적을	면적/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
인원을	인원/NNG+을/JKO
추산한다.	추산/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.254.7.2
반면 집회를 주최하는 쪽은 각 참가 단위로부터 보고받은 참석 인원들을 집계하거나 집회 장소에 모일 수 있는 최다 인원을 기준으로 집회 도중 돌아간 참가자들을 더해 집계한다.

반면	반면/NNG
집회를	집회/NNG+를/JKO
주최하는	주최/NNG+하/XSV+는/ETM
쪽은	쪽/NNB+은/JX
각	각/MMD
참가	참가/NNG
단위로부터	단위/NNG+로부터/JKB
보고받은	보고/NNG+받/XSV+은/ETM
참석	참석/NNG
인원들을	인원/NNG+들/XSN+을/JKO
집계하거나	집계/NNG+하/XSV+거나/EC
집회	집회/NNG
장소에	장소/NNG+에/JKB
모일	모이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
최다	최다/NNG
인원을	인원/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
도중	도중/NNG
돌아간	돌아가/VV+ㄴ/ETM
참가자들을	참가자/NNG+들/XSN+을/JKO
더해	더/MAG+하/XSV+아/EC
집계한다.	집계/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.254.8.1
지난 10일 서울시청 앞 서울광장에서 열린 국가정보원의 대선개입 규탄 촛불문화제 참가자의 경우 주최 쪽은 5만명, 경찰은 1만6000명이라고 추산했다.

지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
서울시청	서울시청/NNP
앞	앞/NNG
서울광장에서	서울광장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국가정보원의	국가/NNG+정보원/NNG+의/JKG
대선개입	대선/NNG+개입/NNG
규탄	규탄/NNG
촛불문화제	촛불/NNG+문화제/NNG
참가자의	참가자/NNG+의/JKG
경우	경우/NNG
주최	주최/NNG
쪽은	쪽/NNB+은/JX
5만명,	5/SN+만/NR+명/NNB+,/SP
경찰은	경찰/NNG+은/JX
1만6000명이라고	1/SN+만/NR+6000/SN+명/NNB+이/VCP+라고/EC
추산했다.	추산/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.254.8.2
경찰은 “최고조 시점의 집회장소를 사진으로 찍어 직접 인원수를 헤아렸다”고 밝혔고, 주최 쪽인 시국회의는 “서울광장에 월드컵 응원단이 꽉 찼을 때 최다 인원을 5만명으로 본다.

경찰은	경찰/NNG+은/JX
“최고조	“/SS+최/XPN+고조/NNG
시점의	시점/NNG+의/JKG
집회장소를	집회/NNG+장소/NNG+를/JKO
사진으로	사진/NNG+으로/JKB
찍어	찍/VV+어/EC
직접	직접/MAG
인원수를	인원수/NNG+를/JKO
헤아렸다”고	헤아리/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔고,	밝히/VV+었/EP+고/EC+,/SP
주최	주최/NNG
쪽인	쪽/NNB+이/VCP+ㄴ/ETM
시국회의는	시국/NNG+회의/NNG+는/JX
“서울광장에	“/SS+서울광장/NNP+에/JKB
월드컵	월드컵/NNG
응원단이	응원단/NNG+이/JKS
꽉	꽉/MAG
찼을	차/VV+았/EP+을/ETM
때	때/NNG
최다	최다/NNG
인원을	인원/NNG+을/JKO
5만명으로	5/SN+만/NR+명/NNB+으로/JKB
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.254.8.3
이보다는 적었지만 중간에 돌아간 인원들을 고려한 수치”라고 설명했다.

이보다는	이/NP+보다/JKB+는/JX
적었지만	적/VA+었/EP+지만/EC
중간에	중간/NNG+에/JKB
돌아간	돌아가/VV+ㄴ/ETM
인원들을	인원/NNG+들/XSN+을/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
수치”라고	수치/NNG+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.254.9.1
앞서 3일 집회에서도 3만명 대 4000명, 지난달 27일에도 2만5000명 대 7500명 등 주최 쪽과 경찰의 인원 집계엔 최대 6~7배의 차이가 났다.

앞서	앞서/MAG
3일	3/SN+일/NNB
집회에서도	집회/NNG+에서/JKB+도/JX
3만명	3/SN+만/NR+명/NNB
대	대/NNB
4000명,	4000/SN+명/NNB+,/SP
지난달	지난달/NNG
27일에도	27/SN+일/NNB+에/JKB+도/JX
2만5000명	2/SN+만/NR+5000/SN+명/NNB
7500명	7500/SN+명/NNB
등	등/NNB
주최	주최/NNG
쪽과	쪽/NNB+과/JC
경찰의	경찰/NNG+의/JKG
인원	인원/NNG
집계엔	집계/NNG+에/JKB+ㄴ/JX
최대	최대/NNG
6~7배의	6/SN+~/SO+7/SN+배/NNG+의/JKG
차이가	차이/NNG+가/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.254.9.2
시국회의 관계자는 “주최 쪽 추산에 ‘허수’가 포함됐을 수 있겠지만, 연인원을 반영한 수치인 만큼 실제 참가자 수에 근접해 있다고 본다”고 말했다.

시국회의	시국/NNG+회의/NNG
관계자는	관계자/NNG+는/JX
“주최	“/SS+주최/NNG
쪽	쪽/NNB
추산에	추산/NNG+에/JKB
‘허수’가	‘/SS+허수/NNG+’/SS+가/JKS
포함됐을	포함/NNG+되/XSV+었/EP+을/ETM
수	수/NNB
있겠지만,	있/VA+겠/EP+지만/EC+,/SP
연인원을	연인원/NNG+을/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
수치인	수치/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
실제	실제/NNG
참가자	참가자/NNG
수에	수/NNG+에/JKB
근접해	근접/NNG+하/XSV+아/EC
있다고	있/VX+다고/EC
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.254.10.1
한편, 시국회의는 촛불집회를 방해한 경찰 관계자들을 고소하기로 했다.

한편,	한편/MAG+,/SP
시국회의는	시국/NNG+회의/NNG+는/JX
촛불집회를	촛불/NNG+집회/NNG+를/JKO
방해한	방해/NNG+하/XSV+ㄴ/ETM
경찰	경찰/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
고소하기로	고소/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.254.10.2
시국회의는 이날 오후 서울 종로구 서울지방경찰청 앞에서 기자회견을 열어 “경찰이 10일 저녁 덕수궁 대한문 앞 건널목 한쪽 끝을 경찰버스로 막아 촛불문화제에 참여하려는 시민들이 문화제가 열리는 서울광장에 들어오지 못했다”며 김정석 서울지방경찰청장 등 경찰 관계자들을 고소할 방침을 밝혔다.

시국회의는	시국/NNG+회의/NNG+는/JX
이날	이날/NNG
