# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.241
metadata : {}


# id : NWRW1800000052.241.1.1
청년 일자리 더 나빠졌다…음식숙박업이나 임시직

청년	청년/NNG
일자리	일자리/NNG
더	더/MAG
나빠졌다…음식숙박업이나	나빠지/VV+었/EP+다/EF+…/SE+음식/NNG+숙박업/NNG+이나/JC
임시직	임시직/NNG


# id : NWRW1800000052.241.2.1
한국노동연구원, 올 상반기 노동시장 평가 보고서

한국노동연구원,	한국노동연구원/NNP+,/SP
올	올/NNG
상반기	상반기/NNG
노동시장	노동/NNG+시장/NNG
평가	평가/NNG
보고서	보고서/NNG


# id : NWRW1800000052.241.3.1
20대 노동시장 진입 활발… 취업자·실업자 모두 늘어

20대	20/SN+대/NNB
노동시장	노동/NNG+시장/NNG
진입	진입/NNG
활발…	활발/XR+…/SE
취업자·실업자	취업자/NNG+·/SP+실업자/NNG
모두	모두/MAG
늘어	늘/VV+어/EF


# id : NWRW1800000052.241.4.1
음식숙박업·임시직↑ 제조업↓…“지속가능 일자리 창출 필요”

음식숙박업·임시직↑	음식/NNG+숙박업/NNG+·/SP+임시직/NNG+↑/SW
제조업↓…“지속가능	제조업/NNG+↓/SW+…/SE+“/SS+지속/NNG+가능/NNG
일자리	일자리/NNG
창출	창출/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000052.241.5.1
올 상반기에 노동시장에 뛰어든 청년층은 많아졌지만 새로 생긴 일자리는 음식·숙박업에 몰려 있고 그마저도 임시직이라서 질이 좋지 않은 것으로 나타났다.

올	올/NNG
상반기에	상반기/NNG+에/JKB
노동시장에	노동/NNG+시장/NNG+에/JKB
뛰어든	뛰어들/VV+ㄴ/ETM
청년층은	청년/NNG+층/XSN+은/JX
많아졌지만	많아지/VV+었/EP+지만/EC
새로	새로/MAG
생긴	생기/VV+ㄴ/ETM
일자리는	일자리/NNG+는/JX
음식·숙박업에	음식/NNG+·/SP+숙박업/NNG+에/JKB
몰려	몰리/VV+어/EC
있고	있/VX+고/EC
그마저도	그/NP+마저/JX+도/JX
임시직이라서	임시직/NNG+이/VCP+라서/EC
질이	질/NNG+이/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.241.5.2
지속 가능한 일자리를 창출할 수 있는 정부 정책이 필요하다는 지적이 나온다.

지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일자리를	일자리/NNG+를/JKO
창출할	창출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
정부	정부/NNG
정책이	정책/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.241.6.1
9일 한국노동연구원 동향분석실이 펴낸 ‘2016년 상반기 노동시장 평가와 하반기 고용전망’ 보고서를 보면, 올 상반기 취업자(1~6월) 수는 전년 같은 기간 대비 28만8000명 늘어났지만, 지난해 상반기 증가분(31만1000명)엔 미치지 못했다.

9일	9/SN+일/NNB
한국노동연구원	한국노동연구원/NNP
동향분석실이	동향/NNG+분석실/NNG+이/JKS
펴낸	펴내/VV+ㄴ/ETM
‘2016년	‘/SS+2016/SN+년/NNB
상반기	상반기/NNG
노동시장	노동/NNG+시장/NNG
평가와	평가/NNG+와/JC
하반기	하반기/NNG
고용전망’	고용/NNG+전망/NNG+’/SS
보고서를	보고서/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
올	올/NNG
취업자(1~6월)	취업자/NNG+(/SS+1/SN+~/SO+6/SN+월/NNB+)/SS
수는	수/NNG+는/JX
전년	전년/NNG
같은	같/VA+은/ETM
기간	기간/NNG
대비	대비/NNG
28만8000명	28/SN+만/NR+8000/SN+명/NNB
늘어났지만,	늘어나/VV+았/EP+지만/EC+,/SP
지난해	지난해/NNG
증가분(31만1000명)엔	증가/NNG+분/XSN+(/SS+31/SN+만/NR+1000/SN+명/NNB+)/SS+에/JKB+ㄴ/JX
미치지	미치/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.241.6.2
보고서는 “조선업을 중심으로 한 산업구조구조정과 경기둔화 등이 노동시장을 얼어붙게 한 주요 원인”이라고 풀이했다.

보고서는	보고서/NNG+는/JX
“조선업을	“/SS+조선업/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
한	하/VX+ㄴ/ETM
산업구조구조정과	산업/NNG+구조/NNG+구조정/NNG+과/JC
경기둔화	경기/NNG+둔화/NNG
등이	등/NNB+이/JKS
노동시장을	노동/NNG+시장/NNG+을/JKO
얼어붙게	얼어붙/VV+게/EC
주요	주요/NNG
원인”이라고	원인/NNG+”/SS+이라고/JKQ
풀이했다.	풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.241.6.3
실제로 이직 사유를 보면, 개인·가족·육아·가사 등 개인적 사유로 꼽은 수는 3만9000명 감소한 반면, 휴·폐업이나 명예·조기퇴직·정리해고 등 비자발적 사유가 1만6000명 늘었다.

실제로	실제로/MAG
이직	이직/NNG
사유를	사유/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
개인·가족·육아·가사	개인/NNG+·/SP+가족/NNG+·/SP+육아/NNG+·/SP+가사/NNG
등	등/NNB
개인적	개인/NNG+적/XSN
사유로	사유/NNG+로/JKB
꼽은	꼽/VV+은/ETM
수는	수/NNG+는/JX
3만9000명	3/SN+만/NR+9000/SN+명/NNB
감소한	감소/NNG+하/XSV+ㄴ/ETM
반면,	반면/NNG+,/SP
휴·폐업이나	휴·폐업/NNG+이나/JC
명예·조기퇴직·정리해고	명예/NNG+·/SP+조기/NNG+퇴직/NNG+·/SP+정리/NNG+해고/NNG
비자발적	비/XPN+자발/NNG+적/XSN
사유가	사유/NNG+가/JKS
1만6000명	1/SN+만/NR+6000/SN+명/NNB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.241.6.4
하반기에도 경제성장률정망치가 2.4%(연간 2.7%)로 나타나 경기회복은 어려울 것으로 예측된다.

하반기에도	하반기/NNG+에/JKB+도/JX
경제성장률정망치가	경제/NNG+성장/NNG+률/XSN+정망/NNG+치/XSN+가/JKS
2.4%(연간	2/SN+./SP+4/SN+%/SW+(/SS+연간/NNG
2.7%)로	2/SN+./SP+7/SN+%/SW+)/SS+로/JKB
나타나	나타나/VV+아/EC
경기회복은	경기/NNG+회복/NNG+은/JX
어려울	어렵/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측된다.	예측/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.241.7.1
청년층(20~29살)은 상대적으로 노동시장 진입이 활발해 취업자와 실업자가 모두 늘어나고 비경제활동인구가 줄어들었다.

청년층(20~29살)은	청년/NNG+층/XSN+(/SS+20/SN+~/SO+29/SN+살/NNB+)/SS+은/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
노동시장	노동/NNG+시장/NNG
진입이	진입/NNG+이/JKS
활발해	활발하/VA+아/EC
취업자와	취업자/NNG+와/JC
실업자가	실업자/NNG+가/JKS
모두	모두/MAG
늘어나고	늘어나/VV+고/EC
비경제활동인구가	비/XPN+경제/NNG+활동/NNG+인구/NNG+가/JKS
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.241.7.2
취업자 수는 6만8000명 증가했고 실업률은 10.8%를 기록했다.

취업자	취업자/NNG
수는	수/NNG+는/JX
6만8000명	6/SN+만/NR+8000/SN+명/NNB
증가했고	증가/NNG+하/XSV+았/EP+고/EC
실업률은	실업/NNG+률/XSN+은/JX
10.8%를	10/SN+./SP+8/SN+%/SW+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


