# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.426
metadata : {}


# id : NWRW1800000026.426.1.1
"NPT 탈퇴하고 사찰단 내쫓은 北이 核권리?

"NPT	"/SS+NPT/SL
탈퇴하고	탈퇴/NNG+하/XSV+고/EC
사찰단	사찰단/NNG
내쫓은	내쫓/VV+은/ETM
北이	北/SH+이/JKS
核권리?	核/SH+권리/NNG+?/SF


# id : NWRW1800000026.426.1.2
中, 책임있는 대국의 자세 아니다";한국 정부 반응

中,	中/SH+,/SP
책임있는	책임/NNG+있/VA+는/ETM
대국의	대국/NNG+의/JKG
자세	자세/NNG
아니다";한국	아니/VCN+다/EF+"/SS+;/SW+한국/NNP
정부	정부/NNG
반응	반응/NNG


# id : NWRW1800000026.426.2.1
'북한도 핵을 이용할 권리가 있다'는 중국 외교부 대변인의 21일 언급에 대해 우리 정부 내에선 "중국이 사리판단력을 상실한 것 같다"는 반응이 나오고 있다.

'북한도	'/SS+북한/NNP+도/JX
핵을	핵/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
권리가	권리/NNG+가/JKS
있다'는	있/VA+다/EF+'/SS+는/ETM
중국	중국/NNP
외교부	외교부/NNG
대변인의	대변인/NNG+의/JKG
21일	21/SN+일/NNB
언급에	언급/NNG+에/JKB
대해	대하/VV+아/EC
우리	우리/NP
정부	정부/NNG
내에선	내/NNB+에서/JKB+ㄴ/JX
"중국이	"/SS+중국/NNP+이/JKS
사리판단력을	사리/NNG+판단력/NNG+을/JKO
상실한	상실/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다"는	같/VA+다/EF+"/SS+는/ETM
반응이	반응/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.426.3.1
외교부 당국자는 22일 "NPT(핵확산금지조약)에 가입해 있고 IAEA (국제원자력기구)의 감시·감독을 받는 나라에 대해선 평화적 핵 이용권을 논할 수 있지만, NPT를 탈퇴하고 IAEA 사찰단을 내쫓은 북한엔 전혀 맞지 않는 소리"라며 "이런 맥락을 모를 리 없는 중국이 북한의 비핵화라는 사안의 본질을 호도하고 있다"고 말했다.

외교부	외교부/NNG
당국자는	당국자/NNG+는/JX
22일	22/SN+일/NNB
"NPT(핵확산금지조약)에	"/SS+NPT/SL+(/SS+핵/NNG+확산/NNG+금지/NNG+조약/NNG+)/SS+에/JKB
가입해	가입/NNG+하/XSV+아/EC
있고	있/VX+고/EC
IAEA	IAEA/SL
(국제원자력기구)의	(/SS+국제원자력기구/NNP+)/SS+의/JKG
감시·감독을	감시/NNG+·/SP+감독/NNG+을/JKO
받는	받/VV+는/ETM
나라에	나라/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
