# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.98
metadata : {}


# id : NWRW1800000056.98.1.1
틸러슨-트럼프 또 엇박자…“대북 매파 폼페이오로 국무 교체 계획”

틸러슨-트럼프	틸러슨/NNP+-/SO+트럼프/NNP
또	또/MAG
엇박자…“대북	엇박자/NNG+…/SE+“/SS+대북/NNG
매파	매파/NNG
폼페이오로	폼페이오/NNP+로/JKB
국무	국무/NNG
교체	교체/NNG
계획”	계획/NNG+”/SS


# id : NWRW1800000056.98.2.1
[한겨레] 틸러슨 “중국에 석유 더 제한 요구…중단은 아니다”

[한겨레]	[/SS+한겨레/NNP+]/SS
틸러슨	틸러슨/NNP
“중국에	“/SS+중국/NNP+에/JKB
석유	석유/NNG
더	더/MAG
제한	제한/NNG
요구…중단은	요구/NNG+…/SE+중단/NNG+은/JX
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000056.98.3.1
“트럼프, 시진핑 주석에게 중단 요구” 전언과 달라

“트럼프,	“/SS+트럼프/NNP+,/SP
시진핑	시진핑/NNP
주석에게	주석/NNG+에게/JKB
중단	중단/NNG
요구”	요구/NNG+”/SS
전언과	전언/NNG+과/JC
달라	다르/VA+아/EF


# id : NWRW1800000056.98.4.1
미 언론 “백악관, 몇주 내 폼페이오로 국무장관 교체 계획”

미	미/NNP
언론	언론/NNG
“백악관,	“/SS+백악관/NNP+,/SP
몇주	몇/NR+주/NNB
내	내/NNB
폼페이오로	폼페이오/NNP+로/JKB
국무장관	국무/NNG+장관/NNG
교체	교체/NNG
계획”	계획/NNG+”/SS


# id : NWRW1800000056.98.5.1
렉스 틸러슨 미국 국무장관이 마이크 폼페이오 중앙정보국(CIA) 국장으로 교체될 것이라는 미국 언론 보도가 일제히 나온 가운데, 도널드 트럼프 대통령과 틸러슨 장관의 엇박자가 또다시 불거졌다.

렉스	렉스/NNP
틸러슨	틸러슨/NNP
미국	미국/NNP
국무장관이	국무/NNG+장관/NNG+이/JKS
마이크	마이크/NNP
폼페이오	폼페이오/NNP
중앙정보국(CIA)	중앙정보국/NNP+(/SS+CIA/SL+)/SS
국장으로	국장/NNG+으로/JKB
교체될	교체/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
언론	언론/NNG
보도가	보도/NNG+가/JKS
일제히	일제히/MAG
나온	나오/VV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
도널드	도널드/NNP
트럼프	트럼프/NNP
대통령과	대통령/NNG+과/JC
장관의	장관/NNG+의/JKG
엇박자가	엇박자/NNG+가/JKS
또다시	또다시/MAG
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.98.6.1
틸러슨 장관은 30일(현지시각) 국무부 청사에서 한 지그마어 가브리엘 독일 외무장관과의 회담 머리발언에서 “우리는 중국에 석유를 더 많이 제한하라고 요구하고 있다”면서도 “완전히 석유 공급을 중단하라고 요구하고 있는 것은 아니다”라고 밝혔다.

틸러슨	틸러슨/NNP
장관은	장관/NNG+은/JX
30일(현지시각)	30/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
