# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.151
metadata : {}


# id : NWRW1800000026.151.1.1
[울산] 울산박물관에 유물 29점 기증;김진수씨, 선대 유품 내놓아

[울산]	[/SS+울산/NNP+]/SS
울산박물관에	울산박물관/NNP+에/JKB
유물	유물/NNG
29점	29/SN+점/NNB
기증;김진수씨,	기증/NNG+;/SW+김진수/NNP+씨/NNB+,/SP
선대	선대/NNG
유품	유품/NNG
내놓아	내놓/VV+아/EF


# id : NWRW1800000026.151.2.1
울산 중구 김진수(73·의사·사진)씨가 과거급제 홍패와 고서 등 29점을 4일 울산박물관에 기증했다.

울산	울산/NNP
중구	중구/NNP
김진수(73·의사·사진)씨가	김진수/NNP+(/SS+73/SN+·/SP+의사/NNG+·/SP+사진/NNG+)/SS+씨/NNB+가/JKS
과거급제	과거/NNG+급제/NNG
홍패와	홍패/NNG+와/JC
고서	고서/NNG
등	등/NNB
29점을	29/SN+점/NNB+을/JKO
4일	4/SN+일/NNB
울산박물관에	울산박물관/NNP+에/JKB
기증했다.	기증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.151.3.1
기증 유물은 김씨의 선친 등 선대(先代)부터 전해내려오는 것들로, 1899년 간행된 '백촌(白村) 김선생 유사', 1882년 무과급제 홍패, 1915년의 묘적(墓籍) 신고서, 1932년의 김녕 김씨 화수계 장부, 1938년의 혼인 날짜 택일 편지 등이다.

기증	기증/NNG
유물은	유물/NNG+은/JX
김씨의	김/NNP+씨/NNB+의/JKG
선친	선친/NNG
등	등/NNB
선대(先代)부터	선대/NNG+(/SS+先代/SH+)/SS+부터/JX
전해내려오는	전하/VV+아/EC+내려오/VV+는/ETM
것들로,	것/NNB+들/XSN+로/JKB+,/SP
1899년	1899/SN+년/NNB
간행된	간행/NNG+되/XSV+ㄴ/ETM
'백촌(白村)	'/SS+백촌/NNP+(/SS+白村/SH+)/SS
김선생	김/NNP+선생/NNG
유사',	유사/NNG+'/SS+,/SP
1882년	1882/SN+년/NNB
무과급제	무과/NNG+급제/NNG
홍패,	홍패/NNG+,/SP
1915년의	1915/SN+년/NNB+의/JKG
묘적(墓籍)	묘적/NNG+(/SS+墓籍/SH+)/SS
신고서,	신고서/NNG+,/SP
1932년의	1932/SN+년/NNB+의/JKG
김녕	김녕/NNP
김씨	김/NNP+씨/NNB
화수계	화수계/NNG
장부,	장부/NNG+,/SP
1938년의	1938/SN+년/NNB+의/JKG
혼인	혼인/NNG
날짜	날짜/NNG
택일	택일/NNG
편지	편지/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.151.4.1
울산박물관 신형석 학예사는 "백촌 김선생 유사는 공조판서를 지내고 단종 복위에 가담했다가 사육신과 함께 숨을 거둔 김문기(1399~1456) 선생의 업적을 정리한 책으로 사료적 가치가 높다"고 말했다.

울산박물관	울산박물관/NNP
신형석	신형석/NNP
학예사는	학예사/NNG+는/JX
"백촌	"/SS+백촌/NNP
김선생	김/NNP+선생/NNG
유사는	유사/NNG+는/JX
공조판서를	공조/NNG+판서/NNG+를/JKO
지내고	지내/VV+고/EC
단종	단종/NNP
복위에	복위/NNG+에/JKB
가담했다가	가담/NNG+하/XSV+았/EP+다가/EC
사육신과	사육신/NNG+과/JKB
함께	함께/MAG
숨을	숨/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
김문기(1399~1456)	김문기/NNP+(/SS+1399/SN+~/SO+1456/SN+)/SS
선생의	선생/NNG+의/JKG
업적을	업적/NNG+을/JKO
정리한	정리/NNG+하/XSV+ㄴ/ETM
책으로	책/NNG+으로/JKB
사료적	사료/NNG+적/XSN
가치가	가치/NNG+가/JKS
높다"고	높/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.151.4.2
또 홍패는 1882년(고종 19년) 김태현이 무과에 급제해 받은 것으로 알려졌다.

또	또/MAG
홍패는	홍패/NNG+는/JX
1882년(고종	1882/SN+년/NNB+(/SS+고종/NNP
19년)	19/SN+년/NNB+)/SS
김태현이	김태현/NNP+이/JKS
무과에	무과/NNG+에/JKB
급제해	급제/NNG+하/XSV+아/EC
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


