# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.174
metadata : {}


# id : NWRW1800000046.174.1.1
"北韓동포 돕기 교회가 앞장서자"

"北韓동포	"/SS+北韓/SH+동포/NNG
돕기	돕/VV+기/ETN
교회가	교회/NNG+가/JKS
앞장서자"	앞장서/VV+자/EF+"/SS


# id : NWRW1800000046.174.2.1
서울광장 평화통일 기도회

서울광장	서울광장/NNP
평화통일	평화/NNG+통일/NNG
기도회	기도회/NNG


# id : NWRW1800000046.174.3.1
"민족의 평화통일을 위해 온 교회가 기도하자!" "북한 동포를 돕는 일에 교회가 앞장서자!" "통일기금 조성에 모두가 합력하자!"

"민족의	"/SS+민족/NNG+의/JKG
평화통일을	평화/NNG+통일/NNG+을/JKO
위해	위하/VV+아/EC
온	온/MMN
교회가	교회/NNG+가/JKS
기도하자!"	기도/NNG+하/XSV+자/EF+!/SF+"/SS
"북한	"/SS+북한/NNP
동포를	동포/NNG+를/JKO
돕는	돕/VV+는/ETM
일에	일/NNG+에/JKB
앞장서자!"	앞장서/VV+자/EF+!/SF+"/SS
"통일기금	"/SS+통일/NNG+기금/NNG
조성에	조성/NNG+에/JKB
모두가	모두/NNG+가/JKS
합력하자!"	합력/NNG+하/XSV+자/EF+!/SF+"/SS


# id : NWRW1800000046.174.4.1
9일 오후 서울시청 앞 서울광장.

9일	9/SN+일/NNB
오후	오후/NNG
서울시청	서울시청/NNP
앞	앞/NNG
서울광장.	서울광장/NNP+./SF


# id : NWRW1800000046.174.4.2
'광복 70주년 한국 교회 평화통일 기도회'에 참석한 개신교인 20만명(경찰 추산 10만명)은 평화통일을 위한 한국 교회 7대 실천 강령을 한목소리로 외쳤다.

'광복	'/SS+광복/NNG
70주년	70/SN+주년/NNB
한국	한국/NNP
교회	교회/NNG
평화통일	평화/NNG+통일/NNG
기도회'에	기도회/NNG+'/SS+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
개신교인	개신교인/NNG
20만명(경찰	20/SN+만/NR+명/NNB+(/SS+경찰/NNG
추산	추산/NNG
10만명)은	10/SN+만/NR+명/NNB+)/SS+은/JX
평화통일을	평화/NNG+통일/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
7대	7/SN+대/NNG
실천	실천/NNG
강령을	강령/NNG+을/JKO
한목소리로	한목소리/NNG+로/JKB
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.174.5.1
이날 기도회는 조국의 개화와 자주·독립 정신을 고취하고 근대화·민주화를 이끈 한국 개신교가 이제 통일 운동에 앞장설 것을 다짐하는 자리였다.

이날	이날/NNG
기도회는	기도회/NNG+는/JX
조국의	조국/NNG+의/JKG
개화와	개화/NNG+와/JC
자주·독립	자주/NNG+·/SP+독립/NNG
정신을	정신/NNG+을/JKO
고취하고	고취/NNG+하/XSV+고/EC
근대화·민주화를	근대/NNG+화/XSN+·/SP+민주/NNG+화/XSN+를/JKO
이끈	이끌/VV+ㄴ/ETM
한국	한국/NNP
개신교가	개신교/NNG+가/JKS
이제	이제/MAG
통일	통일/NNG
운동에	운동/NNG+에/JKB
앞장설	앞장서/VV+ㄹ/ETM
것을	것/NNB+을/JKO
다짐하는	다짐/NNG+하/XSV+는/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.174.5.2
장로교, 감리교, 성결교 등 70개 교단과 한국기독교총연합회, 한국교회연합, 한국장로교총연합회 등이 마음을 모았다.

장로교,	장로교/NNG+,/SP
감리교,	감리교/NNG+,/SP
성결교	성결교/NNG
등	등/NNB
70개	70/SN+개/NNB
교단과	교단/NNG+과/JC
한국기독교총연합회,	한국기독교총연합회/NNP+,/SP
한국교회연합,	한국교회연합/NNP+,/SP
한국장로교총연합회	한국장로교총연합회/NNP
등이	등/NNB+이/JKS
마음을	마음/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.174.6.1
기도와 설교에 나선 목회자들은 옛 동독 지역 라이프치히의 니콜라이 교회에서 매주 월요일 열린 기도회가 독일 통일 과정에서 큰 역할을 했음을 상기하며 '기도의 힘'을 믿는다고 강조했다.

기도와	기도/NNG+와/JC
설교에	설교/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
목회자들은	목회자/NNG+들/XSN+은/JX
옛	옛/MMA
동독	동독/NNP
지역	지역/NNG
라이프치히의	라이프치히/NNP+의/JKG
니콜라이	니콜라이/NNP
교회에서	교회/NNG+에서/JKB
매주	매주/MAG
월요일	월요일/NNG
열린	열리/VV+ㄴ/ETM
기도회가	기도회/NNG+가/JKS
독일	독일/NNP
통일	통일/NNG
과정에서	과정/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
했음을	하/VV+았/EP+음/ETN+을/JKO
상기하며	상기/NNG+하/XSV+며/EC
'기도의	'/SS+기도/NNG+의/JKG
힘'을	힘/NNG+'/SS+을/JKO
믿는다고	믿/VV+는다고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.174.6.2
김삼환(명성교회 목사) 기도회 대표 회장은 "평화통일은 한국 교회가 일어나고, 대한민국이 일어나고, 남북이 다 함께 일어나는 길"이라며 "눈물로 기도하자"고 했다.

김삼환(명성교회	김삼환/NNP+(/SS+명성교회/NNP
목사)	목사/NNG+)/SS
기도회	기도회/NNG
대표	대표/NNG
회장은	회장/NNG+은/JX
"평화통일은	"/SS+평화/NNG+통일/NNG+은/JX
한국	한국/NNP
교회가	교회/NNG+가/JKS
일어나고,	일어나/VV+고/EC+,/SP
대한민국이	대한민국/NNP+이/JKS
남북이	남북/NNP+이/JKS
다	다/MAG
함께	함께/MAG
일어나는	일어나/VV+는/ETM
길"이라며	길/NNG+"/SS+이/VCP+라며/EC
"눈물로	"/SS+눈물/NNG+로/JKB
기도하자"고	기도/NNG+하/XSV+자/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.174.6.3
양병희 한국교회연합 대표 회장도 "분단의 빗장을 풀고 통일의 문을 열어 민족 소원을 이루자"고 말했다.

양병희	양병희/NNP
한국교회연합	한국교회연합/NNP
대표	대표/NNG
회장도	회장/NNG+도/JX
"분단의	"/SS+분단/NNG+의/JKG
빗장을	빗장/NNG+을/JKO
풀고	풀/VV+고/EC
통일의	통일/NNG+의/JKG
문을	문/NNG+을/JKO
열어	열/VV+어/EC
민족	민족/NNG
소원을	소원/NNG+을/JKO
