# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.196
metadata : {}


# id : NWRW1800000053.196.1.1
[단독]비위 징계없이 퇴직 사립교원, 국공립 4배

[단독]비위	[/SS+단독/NNG+]/SS+비위/NNG
징계없이	징계/NNG+없이/MAG
퇴직	퇴직/NNG
사립교원,	사립/NNG+교원/NNG+,/SP
국공립	국공립/NNG
4배	4/SN+배/NNG


# id : NWRW1800000053.196.2.1
5년간 47명 아무 불이익 안받아… 중징계율 사립 47%-국공립 86% 교육청에 징계권한 없어 요구 무시

5년간	5/SN+년/NNB+간/XSN
47명	47/SN+명/NNB
아무	아무/MMD
불이익	불/XPN+이익/NNG
안받아…	안/MAG+받/VV+아/EC+…/SE
중징계율	중징계/NNG+율/XSN
사립	사립/NNG
47%-국공립	47/SN+%/SW+-/SO+국공립/NNG
86%	86/SN+%/SW
교육청에	교육청/NNG+에/JKB
징계권한	징계/NNG+권한/NNG
없어	없/VA+어/EC
요구	요구/NNG
무시	무시/NNG


# id : NWRW1800000053.196.3.1
비위를 저지르고도 합당한 처분 없이 퇴직한 교직원이 국공립학교보다 사립학교에 월등히 많은 것으로 나타났다.

비위를	비위/NNG+를/JKO
저지르고도	저지르/VV+고/EC+도/JX
합당한	합당하/VA+ㄴ/ETM
처분	처분/NNG
없이	없이/MAG
퇴직한	퇴직/NNG+하/XSV+ㄴ/ETM
교직원이	교직원/NNG+이/JKS
국공립학교보다	국공립/NNG+학교/NNG+보다/JKB
사립학교에	사립/NNG+학교/NNG+에/JKB
월등히	월등히/MAG
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.196.4.1
1일 국회 교육문화체육관광위원회 유성엽 의원(국민의당)이 전국 17개 시도교육청으로부터 제출받은 ‘2013∼2017년 초중고교 감사 현황’을 분석한 결과 사립학교 교원에게 내려진 징계 처분 중 ‘퇴직불문’으로 처리된 경우가 47건에 달한 것으로 집계됐다.

1일	1/SN+일/NNB
국회	국회/NNG
교육문화체육관광위원회	교육/NNG+문화/NNG+체육/NNG+관광/NNG+위원회/NNG
유성엽	유성엽/NNP
의원(국민의당)이	의원/NNG+(/SS+국민의당/NNP+)/SS+이/JKS
전국	전국/NNG
