# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.171
metadata : {}


# id : NWRW1800000032.171.1.1
김현, 고향 목포에서 되살아나다

김현,	김현/NNP+,/SP
고향	고향/NNG
목포에서	목포/NNP+에서/JKB
되살아나다	되살아나/VV+다/EF


# id : NWRW1800000032.171.2.1
‘문학비평 거목’ 전시관 개관

‘문학비평	‘/SS+문학/NNG+비평/NNG
거목’	거목/NNG+’/SS
전시관	전시관/NNG
개관	개관/NNG


# id : NWRW1800000032.171.3.1
일기·저서·편지 등 자료 빼곡

일기·저서·편지	일기/NNG+·/SP+저서/NNG+·/SP+편지/NNG
등	등/NNB
자료	자료/NNG
빼곡	빼곡/MAG


# id : NWRW1800000032.171.4.1
문우들의 인터뷰·생전모습도

문우들의	문우/NNG+들/XSN+의/JKG
인터뷰·생전모습도	인터뷰/NNG+·/SP+생전/NNG+모습/NNG+도/JX


# id : NWRW1800000032.171.5.1
한국 현대 문학비평의 거목 김현(1942~1990)의 문학 세계를 한눈에 볼 수 있는 전시관이 그의 고향 목포에 문을 열었다.

한국	한국/NNP
현대	현대/NNG
문학비평의	문학/NNG+비평/NNG+의/JKG
거목	거목/NNG
김현(1942~1990)의	김현/NNP+(/SS+1942/SN+~/SO+1990/SN+)/SS+의/JKG
문학	문학/NNG
세계를	세계/NNG+를/JKO
한눈에	한눈/NNG+에/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전시관이	전시관/NNG+이/JKS
그의	그/NP+의/JKG
고향	고향/NNG
목포에	목포/NNP+에/JKB
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.171.5.2
지난달 30일 오후 2시 전남 목포 용해동 ‘갓바위 공원’의 목포문학관 2층에 들어선 김현 문학 전시관이 그곳이다.

지난달	지난달/NNG
30일	30/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
전남	전남/NNP
목포	목포/NNP
용해동	용해동/NNP
‘갓바위	‘/SS+갓바위/NNP
공원’의	공원/NNG+’/SS+의/JKG
목포문학관	목포문학관/NNP
2층에	2/SN+층/NNG+에/JKB
들어선	들어서/VV+ㄴ/ETM
김현	김현/NNP
문학	문학/NNG
전시관이	전시관/NNG+이/JKS
그곳이다.	그곳/NP+이/VCP+다/EF+./SF


# id : NWRW1800000032.171.6.1
전시관은 지난해 유족과 김현문학기념사업회(회장 김치수)가 기증한 유품 300여점과 고인의 소장 도서 3000여권을 바탕으로 꾸며졌다.

전시관은	전시관/NNG+은/JX
지난해	지난해/NNG
유족과	유족/NNG+과/JC
김현문학기념사업회(회장	김현문학기념사업회/NNP+(/SS+회장/NNG
김치수)가	김치수/NNP+)/SS+가/JKS
기증한	기증/NNG+하/XSV+ㄴ/ETM
유품	유품/NNG
300여점과	300/SN+여/XSN+점/NNB+과/JC
고인의	고인/NNG+의/JKG
소장	소장/NNG
도서	도서/NNG
3000여권을	3000/SN+여/XSN+권/NNB+을/JKO
바탕으로	바탕/NNG+으로/JKB
꾸며졌다.	꾸미/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.171.6.2
목포문학관 들머리의 김현 흉상을 제작한 박정환·신옥주 부부 조각가와 김현의 절친한 문우인 김치수 이화여대 명예교수의 자문과 감수를 받아 세워진 김현 문학 전시관은 김현 문학의 안과 밖을 보여주는 공간으로 크게 양분되었다.

목포문학관	목포문학관/NNP
들머리의	들머리/NNG+의/JKG
김현	김현/NNP
흉상을	흉상/NNG+을/JKO
제작한	제작/NNG+하/XSV+ㄴ/ETM
박정환·신옥주	박정환/NNP+·/SP+신옥주/NNP
부부	부부/NNG
조각가와	조각가/NNG+와/JC
김현의	김현/NNP+의/JKG
절친한	절친하/VA+ㄴ/ETM
문우인	문우/NNG+이/VCP+ㄴ/ETM
김치수	김치수/NNP
이화여대	이화여대/NNP
명예교수의	명예/NNG+교수/NNG+의/JKG
자문과	자문/NNG+과/JC
감수를	감수/NNG+를/JKO
받아	받/VV+아/EC
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
문학	문학/NNG
전시관은	전시관/NNG+은/JX
문학의	문학/NNG+의/JKG
안과	안/NNG+과/JC
밖을	밖/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
공간으로	공간/NNG+으로/JKB
크게	크/VA+게/EC
양분되었다.	양분/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.171.7.1
전시관에 들어서면 들머리 왼쪽에 연보와 사진 자료 등이, 오른쪽에는 김윤식·최하림·김지하·이성복씨 등 문인들이 그에 대해 쓴 문구들이 ‘김현을 말하다’라는 제목으로 배치되었다.

전시관에	전시관/NNG+에/JKB
들어서면	들어서/VV+면/EC
들머리	들머리/NNG
왼쪽에	왼쪽/NNG+에/JKB
연보와	연보/NNG+와/JC
사진	사진/NNG
자료	자료/NNG
등이,	등/NNB+이/JKS+,/SP
오른쪽에는	오른쪽/NNG+에/JKB+는/JX
김윤식·최하림·김지하·이성복씨	김윤식/NNP+·/SP+최하림/NNP+·/SP+김지하/NNP+·/SP+이성복/NNP+씨/NNB
등	등/NNB
문인들이	문인/NNG+들/XSN+이/JKS
그에	그/NP+에/JKB
대해	대하/VV+아/EC
쓴	쓰/VV+ㄴ/ETM
문구들이	문구/NNG+들/XSN+이/JKS
‘김현을	‘/SS+김현/NNP+을/JKO
말하다’라는	말/NNG+하/XSV+다/EF+’/SS+이/VCP+라는/ETM
제목으로	제목/NNG+으로/JKB
