# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.26
metadata : {}


# id : NWRW1800000056.26.1.1
“경제민주화, 국회만 쳐다보지 말고 하위 법령 개정부터”

“경제민주화,	“/SS+경제/NNG+민주/NNG+화/XSN+,/SP
국회만	국회/NNG+만/JX
쳐다보지	쳐다보/VV+지/EC
말고	말/VX+고/EC
하위	하위/NNG
법령	법령/NNG
개정부터”	개정/NNG+부터/JX+”/SS


# id : NWRW1800000056.26.2.1
[한겨레] 경제개혁연대 “법률 개정 어렵다면

[한겨레]	[/SS+한겨레/NNP+]/SS
경제개혁연대	경제/NNG+개혁/NNG+연대/NNG
“법률	“/SS+법률/NNG
개정	개정/NNG
어렵다면	어렵/VA+다면/EC


# id : NWRW1800000056.26.3.1
당장 가능한 시행령 등부터 손보자”

당장	당장/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
시행령	시행령/NNG
등부터	등/NNB+부터/JX
손보자”	손보/VV+자/EF+”/SS


# id : NWRW1800000056.26.4.1
일감몰아주기 규제 등 36개 과제 내놔

일감몰아주기	일감/NNG+몰아주기/NNG
규제	규제/NNG
등	등/NNB
36개	36/SN+개/NNB
과제	과제/NNG
내놔	내놓/VV+아/EF


# id : NWRW1800000056.26.5.1
경제개혁연대가 현행 여소야대 국회에서는 경제민주화 관련 법의 제·개정이 쉽지 않다며, 문재인 정부가 자체적으로 할 수 있는 시행령 등 하위법령 개정을 통해 경제민주화를 진전시킬 것을 제안했다.

경제개혁연대가	경제/NNG+개혁/NNG+연대/NNG+가/JKS
현행	현행/NNG
여소야대	여소/NNG+야대/NNG
국회에서는	국회/NNG+에서/JKB+는/JX
경제민주화	경제/NNG+민주/NNG+화/XSN
관련	관련/NNG
법의	법/NNG+의/JKG
제·개정이	제·개정/NNG+이/JKS
쉽지	쉽/VA+지/EC
않다며,	않/VX+다며/EC+,/SP
문재인	문재인/NNP
정부가	정부/NNG+가/JKS
자체적으로	자체/NNG+적/XSN+으로/JKB
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시행령	시행령/NNG
등	등/NNB
하위법령	하위/NNG+법령/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+아/EC
경제민주화를	경제/NNG+민주/NNG+화/XSN+를/JKO
진전시킬	진전/NNG+시키/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.26.5.2
