# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.381
metadata : {}


# id : NWRW1800000021.381.1.1
[부동산 특집]수도권 대규모 재건축단지 주목!

[부동산	[/SS+부동산/NNG
특집]수도권	특집/NNG+]/SS+수도/NNG+권/XSN
대규모	대/XPN+규모/NNG
재건축단지	재/XPN+건축/NNG+단지/NNG
주목!	주목/NNG+!/SF


# id : NWRW1800000021.381.2.1
12월에는 전국에서 2만여 채에 이르는 아파트가 새 주인을 맞는다.

12월에는	12/SN+월/NNB+에/JKB+는/JX
전국에서	전국/NNG+에서/JKB
2만여	2/SN+만/NR+여/XSN
채에	채/NNB+에/JKB
이르는	이르/VV+는/ETM
아파트가	아파트/NNG+가/JKS
새	새/MMA
주인을	주인/NNG+을/JKO
맞는다.	맞/VV+는다/EF+./SF


# id : NWRW1800000021.381.2.2
부동산정보업체 부동산써브에 따르면 전국 39개 단지에서 총 1만8785채가 입주 예정인 것으로 나타났다.

부동산정보업체	부동산/NNG+정보업체/NNG
부동산써브에	부동산써브/NNP+에/JKB
따르면	따르/VV+면/EC
전국	전국/NNG
39개	39/SN+개/NNB
단지에서	단지/NNG+에서/JKB
총	총/MMA
1만8785채가	1/SN+만/NR+8785/SN+채/NNB+가/JKS
입주	입주/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.381.2.3
이는 11월 1만8310채보다 475채 증가한 물량이다.

이는	이/NP+는/JX
11월	11/SN+월/NNB
1만8310채보다	1/SN+만/NR+8310/SN+채/NNB+보다/JKB
475채	475/SN+채/NNB
증가한	증가/NNG+하/XSV+ㄴ/ETM
물량이다.	물량/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.381.3.1
○ 고양시, 광명시 재건축 대단지 입주 눈길

○	○/SW
고양시,	고양시/NNP+,/SP
광명시	광명시/NNP
재건축	재/XPN+건축/NNG
대단지	대/XPN+단지/NNG
입주	입주/NNG
눈길	눈길/NNG


# id : NWRW1800000021.381.4.1
수도권에서는 11월보다 44.25% 감소한 8458채가 입주를 앞두고 있는 가운데 서울 4개 단지 568채, 경기도 18개 단지 7890채가 각각 입주한다.

수도권에서는	수도/NNG+권/XSN+에서/JKB+는/JX
11월보다	11/SN+월/NNB+보다/JKB
44.25%	44/SN+./SP+25/SN+%/SW
감소한	감소/NNG+하/XSV+ㄴ/ETM
8458채가	8458/SN+채/NNB+가/JKS
입주를	입주/NNG+를/JKO
앞두고	앞두/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
서울	서울/NNP
4개	4/SN+개/NNB
단지	단지/MAG
568채,	568/SN+채/NNB+,/SP
경기도	경기도/NNP
18개	18/SN+개/NNB
7890채가	7890/SN+채/NNB+가/JKS
각각	각각/MAG
입주한다.	입주/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.381.5.1
서울 중구 회현동에서는 남산리더스뷰가 입주를 앞두고 있다.

서울	서울/NNP
중구	중구/NNP
회현동에서는	회현동/NNP+에서/JKB+는/JX
남산리더스뷰가	남산리더스뷰/NNG+가/JKS
입주를	입주/NNG+를/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.381.5.2
지상 30층 2개 동 규모의 건물로 138∼300m² 233채 규모다.

지상	지상/NNG
30층	30/SN+층/NNG
2개	2/SN+개/NNB
동	동/NNB
규모의	규모/NNG+의/JKG
건물로	건물/NNG+로/JKB
138∼300m²	138/SN+∼/SO+300/SN+m²/SW
233채	233/SN+채/NNB
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.381.5.3
지하철 4호선 회현역과 인접해 있고 퇴계로와 반포로가 단지 바로 옆에 있어 교통이 편리하다.

지하철	지하철/NNG
4호선	4/SN+호선/NNB
회현역과	회현역/NNP+과/JKB
인접해	인접/NNG+하/XSV+아/EC
있고	있/VX+고/EC
퇴계로와	퇴계로/NNP+와/JC
반포로가	반포로/NNP+가/JKS
단지	단지/NNG
바로	바로/MAG
옆에	옆/NNG+에/JKB
있어	있/VA+어/EC
교통이	교통/NNG+이/JKS
편리하다.	편리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.381.5.4
도심 한가운데에 있지만 남산초, 리라초, 계성여고 등 도보로 통학할 수 있는 학교도 있다.

도심	도심/NNG
한가운데에	한/XPN+가운데/NNG+에/JKB
있지만	있/VA+지만/EC
남산초,	남산초/NNP+,/SP
리라초,	리라초/NNP+,/SP
계성여고	계성여고/NNP
등	등/NNB
도보로	도보/NNG+로/JKB
통학할	통학/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
학교도	학교/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.381.6.1
한국토지주택공사의 백현마을 휴먼시아 777채가 입주를 시작한다.

한국토지주택공사의	한국토지주택공사/NNP+의/JKG
백현마을	백현마을/NNP
휴먼시아	휴먼시아/NNP
777채가	777/SN+채/NNB+가/JKS
입주를	입주/NNG+를/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.381.6.2
9∼25층 13개동으로 이뤄진 단지에 107∼152m²로 구성돼 있다.

9∼25층	9/SN+∼/SO+25/SN+층/NNG
13개동으로	13/SN+개/NNB+동/NNB+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
단지에	단지/NNG+에/JKB
107∼152m²로	107/SN+∼/SO+152/SN+m²/SW+로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.381.6.3
단지에서 신촌공원이 보이는 이 단지는 판교지구 내에 있어 앞으로 여러 인프라가 갖춰질 예정이다.

단지에서	단지/NNG+에서/JKB
신촌공원이	신촌공원/NNP+이/JKS
보이는	보이/VV+는/ETM
이	이/MMD
단지는	단지/NNG+는/JX
판교지구	판교지구/NNP
내에	내/NNB+에/JKB
있어	있/VA+어/EC
앞으로	앞/NNG+으로/JKB
여러	여러/MMN
인프라가	인프라/NNG+가/JKS
갖춰질	갖추/VV+어/EC+지/VX+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.381.6.4
인근에 낙생초등학교를 비롯해 5분 거리 내에 초중고교가 개교 예정이다.

인근에	인근/NNG+에/JKB
낙생초등학교를	낙생초등학교/NNP+를/JKO
비롯해	비롯하/VV+아/EC
5분	5/SN+분/NNB
거리	거리/NNG
내에	내/NNB+에/JKB
